"year","OHI_region_est","AFO_Score"
2018,"region_1",96.4527106319
2018,"region_2",84.0437010727031
2018,"region_3",84.1254032922608
2018,"region_4",84.7912652285576
2018,"region_5",75.537949040305
2018,"region_6",87.3328898419442
2018,"region_7",88.1114373428309
2018,"region_8",90.6184732346479
2018,"region_9",67.7669327475723
2018,NA,78.7411893425165
2019,"region_1",91.4140326444188
2019,"region_2",82.4639095613706
2019,"region_3",82.9869462869131
2019,"region_4",87.3612942031549
2019,"region_5",98.3927304061566
2019,"region_6",79.420036680408
2019,"region_7",85.6738150216571
2019,"region_8",88.721107251662
2019,"region_9",80.0635832031497
2019,NA,71.3368484901371
2020,"region_1",92.2887307762355
2020,"region_2",88.3915043359261
2020,"region_3",83.2665300785754
2020,"region_4",85.7085134208274
2020,"region_5",93.1314840703593
2020,"region_6",80.2158685050206
2020,"region_7",75.8401429678132
2020,"region_8",88.4830974703711
2020,"region_9",93.6180320634502
2020,NA,80.7804906682114
2021,"region_1",79.9755371022421
2021,"region_2",88.8449188263948
2021,"region_3",80.1018083537077
2021,"region_4",82.5112348308719
2021,"region_5",67.2311781131699
2021,"region_6",74.2735855633902
2021,"region_7",72.0918601814823
2021,"region_8",80.5578676080028
2021,"region_9",91.4045432070384
2021,NA,87.0049427648276
2022,"region_1",73.9482206965805
2022,"region_2",86.1447971273154
2022,"region_3",71.1082986558081
2022,"region_4",76.7323003048848
2022,"region_5",82.0381497499164
2022,"region_6",77.2988355700514
2022,"region_7",77.7861089073214
2022,"region_8",79.0032284765268
2022,"region_9",90.5164906727343
2022,NA,69.1142829350433
2023,"region_1",73.0774151157404
2023,"region_2",78.8403974450952
2023,"region_3",53.1350104410315
2023,"region_4",70.384232805294
2023,"region_5",61.7394485400674
2023,"region_6",77.807815316682
2023,"region_7",76.3290772613785
2023,"region_8",72.5422336345486
2023,"region_9",85.1579102858109
2023,NA,78.0653045660527
2024,"region_1",63.4845456965312
2024,"region_2",74.4910360125677
2024,"region_3",55.4568790549795
2024,"region_4",71.040479838661
2024,"region_5",86.4240196294493
2024,"region_6",69.3836507725678
2024,"region_7",38.9348772566972
2024,"region_8",63.1188182686253
2024,"region_9",85.3075913651987
2024,NA,68.8927704308187
