"year","OHI_region","BD_score","biome_types"
2020,"region_1",74.5247075518529,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_2",70.25,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_3",81.3333333333333,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_4",60.4537234902469,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_5",66.6572236015891,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_6",85.4079651141349,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_7",68.0343830279486,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_8",70.4973483260986,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2020,"region_9",59.3450814290251,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_1",74.5247147264657,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_2",81.5,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_3",78,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_4",61.4377476205408,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_5",66.5953329630192,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_6",85.3769775555299,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_7",67.6911446392464,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_8",71.3221999863147,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2021,"region_9",59.3802131332518,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_1",77.8580552344134,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_2",70.5,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_3",81.3333333333333,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_4",63.6752572841556,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_5",54.9001807022875,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_6",86.3461634162689,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_7",71.1146538906198,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_8",71.1511538548469,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2022,"region_9",63.1654023752719,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_1",84.524729075696,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_2",68.5,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_3",78,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_4",65.9162068042316,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_5",52.3539604302965,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_6",86.3155222837338,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_7",70.8044693270159,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_8",68.9841495322099,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2023,"region_9",63.2006492469624,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_1",77.8580695836469,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_2",70.5,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_3",81.3333333333333,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_4",66.9105511024903,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_5",59.8078386957764,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_6",85.285053746645,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_7",64.2601628866141,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_8",69.8211276780104,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
2024,"region_9",56.9859538403471,"mangrove, coastal_dune, saltmarsh, seagrass, open_ocean"
