year,OHI_region,biome_type,habitat_condition,HAB_score,condition_provenance
2018,region_1,open_ocean,0.5,50,observed
2019,region_1,open_ocean,0.6,60,observed
2020,region_1,open_ocean,0.7,70,observed
2021,region_1,open_ocean,0.7,70,observed
2022,region_1,open_ocean,0.8,80,observed
2023,region_1,open_ocean,1,100,observed
2024,region_1,open_ocean,0.8,80,observed
2018,region_2,open_ocean,0.25,25,observed
2019,region_2,open_ocean,0.62,62,observed
2020,region_2,open_ocean,0.27,27,observed
2021,region_2,open_ocean,0.72,72,observed
2022,region_2,open_ocean,0.28,28,observed
2023,region_2,open_ocean,0.2,20,observed
2024,region_2,open_ocean,0.28,28,observed
2018,region_3,open_ocean,0.9,90,observed
2019,region_3,open_ocean,0.8,80,observed
2020,region_3,open_ocean,0.9,90,observed
2021,region_3,open_ocean,0.8,80,observed
2022,region_3,open_ocean,0.9,90,observed
2023,region_3,open_ocean,0.8,80,observed
2024,region_3,open_ocean,0.9,90,observed
2018,region_4,open_ocean,0.5,50,observed
2019,region_4,open_ocean,0.4,40,observed
2020,region_4,open_ocean,0.3,30,observed
2021,region_4,open_ocean,0.35,35,observed
2022,region_4,open_ocean,0.45,45,observed
2023,region_4,open_ocean,0.55,55,observed
2024,region_4,open_ocean,0.6,60,observed
2018,region_5,open_ocean,0.2,20,observed
2019,region_5,open_ocean,0.3,30,observed
2020,region_5,open_ocean,NA,NA,observed
2021,region_5,open_ocean,NA,NA,observed
2022,region_5,open_ocean,0.2,20,observed
2023,region_5,open_ocean,0.1,10,observed
2024,region_5,open_ocean,0.4,40,observed
2018,region_6,open_ocean,0.7,70,observed
2019,region_6,open_ocean,0.7,70,observed
2020,region_6,open_ocean,0.75,75,observed
2021,region_6,open_ocean,0.75,75,observed
2022,region_6,open_ocean,0.8,80,observed
2023,region_6,open_ocean,0.8,80,observed
2024,region_6,open_ocean,0.75,75,observed
2018,region_7,open_ocean,0.6,60,observed
2019,region_7,open_ocean,0.6,60,observed
2020,region_7,open_ocean,0.55,55,observed
2021,region_7,open_ocean,0.55,55,observed
2022,region_7,open_ocean,0.7,70,observed
2023,region_7,open_ocean,0.7,70,observed
2024,region_7,open_ocean,0.45,45,observed
2018,region_8,open_ocean,0.8,80,observed
2019,region_8,open_ocean,0.85,85,observed
2020,region_8,open_ocean,0.95,95,observed
2021,region_8,open_ocean,1,100,observed
2022,region_8,open_ocean,1,100,observed
2023,region_8,open_ocean,0.9,90,observed
2024,region_8,open_ocean,0.95,95,observed
2018,region_9,open_ocean,0.6,60,observed
2019,region_9,open_ocean,0.6,60,observed
2020,region_9,open_ocean,0.55,55,observed
2021,region_9,open_ocean,0.55,55,observed
2022,region_9,open_ocean,0.7,70,observed
2023,region_9,open_ocean,0.7,70,observed
2024,region_9,open_ocean,0.45,45,observed
