"OHI_region","year","mean_NRSI","n_reefs","OHI_region_name","ROK_score"
"region_4",1998,0.28611612758457,22,"Western Southern Gulf",28.611612758457
"region_2",1999,0.351869681750873,1,"Western Midriff Islands",35.1869681750873
"region_3",1999,0.340246545710181,1,"Western Central Gulf",34.0246545710181
"region_4",1999,0.457065167373485,26,"Western Southern Gulf",45.7065167373485
"region_4",2000,0.427736124903852,24,"Western Southern Gulf",42.7736124903852
"region_4",2001,0.362212671209839,21,"Western Southern Gulf",36.2212671209839
"region_4",2002,0.389147794978708,20,"Western Southern Gulf",38.9147794978708
"region_4",2003,0.385263314211999,20,"Western Southern Gulf",38.5263314211999
"region_4",2004,0.353709871266738,22,"Western Southern Gulf",35.3709871266738
"region_2",2005,0.129968071166744,4,"Western Midriff Islands",12.9968071166744
"region_4",2005,0.337139993307605,21,"Western Southern Gulf",33.7139993307605
"region_2",2006,0.284935206665082,6,"Western Midriff Islands",28.4935206665082
"region_4",2006,0.415227281406616,22,"Western Southern Gulf",41.5227281406616
NA,2006,0.249598391799654,2,NA,24.9598391799654
"region_2",2007,0.152933665091988,6,"Western Midriff Islands",15.2933665091988
"region_4",2007,0.36854235548481,22,"Western Southern Gulf",36.854235548481
"region_2",2008,0.131501393488226,6,"Western Midriff Islands",13.1501393488226
"region_4",2008,0.37856648536836,20,"Western Southern Gulf",37.856648536836
"region_2",2009,0.210580395606403,6,"Western Midriff Islands",21.0580395606403
"region_3",2009,0.270695712275968,2,"Western Central Gulf",27.0695712275968
"region_4",2009,0.383052301384253,51,"Western Southern Gulf",38.3052301384253
"region_2",2010,0.268797892549892,7,"Western Midriff Islands",26.8797892549892
"region_3",2010,0.399618784525748,2,"Western Central Gulf",39.9618784525748
"region_4",2010,0.429226688038083,43,"Western Southern Gulf",42.9226688038083
"region_4",2011,0.441379613548678,51,"Western Southern Gulf",44.1379613548678
"region_4",2012,0.481042008618623,46,"Western Southern Gulf",48.1042008618623
"region_4",2013,0.429530924049876,71,"Western Southern Gulf",42.9530924049876
"region_4",2014,0.464842625592141,65,"Western Southern Gulf",46.4842625592141
"region_4",2015,0.434483503516723,68,"Western Southern Gulf",43.4483503516723
"region_2",2016,0.293424341244904,2,"Western Midriff Islands",29.3424341244904
"region_3",2016,0.66215933890289,1,"Western Central Gulf",66.215933890289
"region_4",2016,0.378831142284851,70,"Western Southern Gulf",37.8831142284851
NA,2016,0.601138829246696,2,NA,60.1138829246696
"region_4",2017,0.440829612126498,70,"Western Southern Gulf",44.0829612126498
NA,2017,0.631543886672477,2,NA,63.1543886672477
"region_4",2018,0.43746410799696,79,"Western Southern Gulf",43.746410799696
"region_3",2019,0.349759389302069,2,"Western Central Gulf",34.9759389302069
"region_4",2019,0.426931351862832,73,"Western Southern Gulf",42.6931351862832
"region_4",2020,0.619754068490159,10,"Western Southern Gulf",61.9754068490159
"region_3",2021,0.186099550519889,3,"Western Central Gulf",18.6099550519889
"region_4",2021,0.367751144773101,60,"Western Southern Gulf",36.7751144773101
"region_3",2022,0.311254276781456,3,"Western Central Gulf",31.1254276781456
"region_4",2022,0.363155675856585,55,"Western Southern Gulf",36.3155675856585
"region_2",2023,0.367597234028478,6,"Western Midriff Islands",36.7597234028478
"region_3",2023,0.238369236669728,4,"Western Central Gulf",23.8369236669728
"region_4",2023,0.33205486765852,72,"Western Southern Gulf",33.205486765852
NA,2023,0.787522271771678,2,NA,78.7522271771678
"region_4",2024,0.287454385076572,65,"Western Southern Gulf",28.7454385076572
NA,2024,0.6643874479138,2,NA,66.43874479138
"region_3",2025,0.172314410761047,4,"Western Central Gulf",17.2314410761047
"region_4",2025,0.35318757706299,31,"Western Southern Gulf",35.318757706299
