"rgn_id","year","condition","extent","trend","habitat","coastal_protection","carbon_sequestration_(g C m⁻² yr⁻¹)","filtration"
"Region_4",2020,1,6.32777138776951,0.00842618093633418,"mangrove",4,136,4
"Region_6",2020,0.810794276656068,32.7262641073644,0.00121299302825917,"mangrove",4,136,4
"Region_7",2020,0.922106398084614,119.229445777392,0.00775122388630245,"mangrove",4,136,4
"Region_8",2020,0.901348924089525,1002.48389124437,0.00437015665334983,"mangrove",4,136,4
"Region_9",2020,0.899947960477695,973.899351448782,0.00159841254534632,"mangrove",4,136,4
"Region_2",2021,1,4.99405702726107,0.0294070376101623,"saltmarsh",4,87.7,4
"Region_5",2021,0.869118746174225,202.521934627753,-0.00213183976921805,"saltmarsh",4,87.7,4
"Region_6",2021,1,59.6568821218499,0.00011947173425097,"saltmarsh",4,87.7,4
"Region_8",2021,0.588475757684367,295.167392932436,-0.0172003503542261,"saltmarsh",4,87.7,4
"Region_9",2021,0.498323906018997,44.0266110641634,-6.66572536508481e-05,"saltmarsh",4,87.7,4
"Region_7",2021,NA,73.9186057756761,NA,"saltmarsh",4,87.7,4
"Region_1",2021,0.995741441793972,3.44181392440373,2.16158956956036e-07,"coastal_dune",4,NA,NA
"Region_2",2021,1,53.6276038951386,0.00169180398185653,"coastal_dune",4,NA,NA
"Region_3",2021,1,36.2597216435052,0.00063379411510422,"coastal_dune",4,NA,NA
"Region_4",2021,0.801209904821631,37.3629926203428,-0.0131046975233575,"coastal_dune",4,NA,NA
"Region_5",2021,0.588741242716352,6.21258969273594,1.03794649986e-07,"coastal_dune",4,NA,NA
"Region_6",2021,0.855371113315489,279.798041974985,-0.00295238837566802,"coastal_dune",4,NA,NA
"Region_7",2021,0.688391934346695,294.741791299116,-0.0294345177247463,"coastal_dune",4,NA,NA
"Region_8",2021,0.532346281544242,106.543446851801,-0.00448311118338252,"coastal_dune",4,NA,NA
"Region_9",2021,0.425498170723193,13.7339566358423,-1.93612892385175e-09,"coastal_dune",4,NA,NA
"Region_1",2025,0.54,0.196246565330077,NA,"seagrass",1,NA,2.33
"Region_2",2025,0.54,0.392493130660731,NA,"seagrass",1,NA,2.33
"Region_3",2025,0.54,1.18862435174402,NA,"seagrass",1,NA,2.33
"Region_4",2025,0.3063,0.98123282665191,NA,"seagrass",1,NA,2.33
"Region_5",2025,0.54,0.196246565329909,NA,"seagrass",1,NA,2.33
"Region_6",2025,0.8517,72.9603001454254,NA,"seagrass",1,NA,2.33
"Region_7",2025,0.54,2.35495878395976,NA,"seagrass",1,NA,2.33
"Region_8",2025,0.54,6.01810785447822,NA,"seagrass",1,NA,2.33
