"OHI_region","year","mean_NRSI","n_reefs","OHI_region_name","provenance","n_regions_observed"
"region_1",1998,NA,NA,"Western Upper Gulf",NA,NA
"region_1",1999,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2000,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2001,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2002,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2003,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2004,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2005,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2006,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2007,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2008,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2009,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2010,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2011,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2012,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2013,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2014,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2015,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2016,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2017,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2018,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2019,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2020,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2021,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2022,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2023,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2024,NA,NA,"Western Upper Gulf",NA,NA
"region_1",2025,NA,NA,"Western Upper Gulf",NA,NA
"region_2",1998,NA,NA,"Western Midriff Islands",NA,NA
"region_2",1999,0.351869681750873,1,"Western Midriff Islands","observed",NA
"region_2",2000,0.31193512916691,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2001,0.272000576582947,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2002,0.232066023998983,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2003,0.19213147141502,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2004,0.152196918831057,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2005,0.112262366247094,8,"Western Midriff Islands","observed",NA
"region_2",2006,0.320160459888497,8,"Western Midriff Islands","observed",NA
"region_2",2007,0.19221049135458,8,"Western Midriff Islands","observed",NA
"region_2",2008,0.138433127321191,20,"Western Midriff Islands","observed",NA
"region_2",2009,0.254781456307629,13,"Western Midriff Islands","observed",NA
"region_2",2010,0.217339609299358,13,"Western Midriff Islands","observed",NA
"region_2",2011,0.244137694812911,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2012,0.270935780326465,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2013,0.297733865840018,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2014,0.324531951353571,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2015,0.351330036867125,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2016,0.378128122380678,6,"Western Midriff Islands","observed",NA
"region_2",2017,0.373786999002252,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2018,0.369445875623827,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2019,0.365104752245401,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2020,0.360763628866976,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2021,0.35642250548855,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2022,0.352081382110125,NA,"Western Midriff Islands","gapfilled",NA
"region_2",2023,0.347740258731699,18,"Western Midriff Islands","observed",NA
"region_2",2024,NA,NA,"Western Midriff Islands",NA,NA
"region_2",2025,NA,NA,"Western Midriff Islands",NA,NA
"region_3",1998,NA,NA,"Western Central Gulf",NA,NA
