protection,region,reef,year,nrsi,nrsi_01,latitude,longitude
Lightly Protected,La Paz,ESPIRITU_SANTO_BALLENA,1998,-0.9020469702624981,0.04897651486875093,24.48192949682278,-110.40116759637563
Lightly Protected,La Paz,ESPIRITU_SANTO_PUNTA_LOBOS,1998,-0.1696450505626833,0.41517747471865835,24.475421,-110.289305
Not Protected,Corredor,SAN_JOSE_ANIMAS_NORTE,1998,-0.5977794183047033,0.20111029084764837,25.089485,-110.566779
Not Protected,Corredor,SAN_JOSE_ANIMAS_PINACULOS,1998,0.2819694940826863,0.6409847470413431,25.089468,-110.566743
Lightly Protected,La Paz,ESPIRITU_SANTO_ISLOTES_ESTE,1998,0.006818061593258378,0.5034090307966292,24.598899,-110.399831
Lightly Protected,La Paz,ESPIRITU_SANTO_ISLOTES_NORTE,1998,-0.07881913403745677,0.4605904329812716,24.599432,-110.401188
Lightly Protected,La Paz,ESPIRITU_SANTO_PAILEBOTE,1998,-0.4656309767654187,0.2671845116172906,24.504571,-110.308406
Lightly Protected,La Paz,ESPIRITU_SANTO_PARTIDA_NORESTE,1998,0.06599990846620322,0.5329999542331016,24.562008,-110.366446
Lightly Protected,Loreto,CARMEN_ABISMO,1998,-0.3543560593422268,0.3228219703288866,25.84198452552898,-111.2329723153174
Lightly Protected,Loreto,CARMEN_PUNTA_LOBOS,1998,-0.7793275201268559,0.11033623993657204,26.068839,-111.070127
Lightly Protected,Loreto,CARMEN_PUNTA_PERICO,1998,-0.5676874354977165,0.21615628225114175,25.965265,-111.067303
Lightly Protected,Loreto,CARMEN_TINTORERA,1998,-0.6032636292041409,0.19836818539792955,26.064886,-111.131847
Lightly Protected,Loreto,CORONADO_LAJAS,1998,-0.8394472635373372,0.08027636823133139,26.126188,-111.258743
Not Protected,Loreto,CORONADO_MONO,1998,-0.4546008473378486,0.27269957633107567,26.135304,-111.279106
Not Protected,Loreto,CORONADO_PUNTA_BLANCA,1998,-0.340727972677338,0.329636013661331,26.137812,-111.265291
Lightly Protected,Loreto,DANZANTE_BIZNAGA,1998,-0.40266259160957907,0.29866870419521047,25.815202,-111.260062
Lightly Protected,Loreto,DANZANTE_PUNTA_ESTE,1998,-0.6642447329177196,0.16787763354114021,25.788956,-111.242819
Lightly Protected,Loreto,DANZANTE_PUNTA_NOROESTE,1998,-0.6152482037506596,0.1923758981246702,25.800718,-111.257608
Lightly Protected,Loreto,DANZANTE_PUNTA_SURESTE,1998,-0.5616687419753976,0.2191656290123012,25.763561,-111.243521
Lightly Protected,Loreto,MONSERRAT_GALERAS,1998,-0.5839575938640829,0.20802120306795857,25.742757,-111.046611
Lightly Protected,Loreto,MONSERRAT_PUNTA_SURESTE,1998,-0.2701310587660105,0.36493447061699474,25.675881,-111.011271
Lightly Protected,Loreto,MONSERRAT_REINITA,1998,-0.5144326498813907,0.24278367505930465,25.747822,-111.060217
Fully Protected,Cabo Pulmo,BAJO_CABO_PULMO,1999,-0.024963971932725995,0.487518014033637,23.457861,-109.405463
Fully Protected,Cabo Pulmo,CANTILES_CABO_PULMO,1999,-0.11113248385026381,0.44443375807486807,23.438823,-109.410821
Not Protected,Los Cabos,ARCO_SAN_LUCAS,1999,0.12948724749326365,0.5647436237466318,22.876139,-109.892835
Lightly Protected,La Paz,ESPIRITU_SANTO_BALLENA,1999,0.41286952325783366,0.7064347616289168,24.48192949682278,-110.40116759637563
Lightly Protected,La Paz,ESPIRITU_SANTO_PUNTA_LOBOS,1999,-0.21430102861057584,0.39284948569471206,24.475421,-110.289305
Not Protected,La Ventana,CERRALVO_CARPINTERO,1999,-0.19912023285167887,0.40043988357416055,24.325082211886304,-109.93980755813953
Not Protected,La Ventana,CERRALVO_REINA,1999,0.1478389484448131,0.5739194742224065,24.388762,-109.939961
Not Protected,Corredor,SAN_JOSE_ANIMAS_NORTE,1999,0.20939694657423483,0.6046984732871175,25.089485,-110.566779
Not Protected,Corredor,SAN_JOSE_ANIMAS_PINACULOS,1999,0.15598001467825653,0.5779900073391283,25.089468,-110.566743
Lightly Protected,La Paz,ESPIRITU_SANTO_ISLOTES_ESTE,1999,-0.20668132387533114,0.39665933806233444,24.598899,-110.399831
Lightly Protected,La Paz,ESPIRITU_SANTO_ISLOTES_NORTE,1999,0.2532449177941205,0.6266224588970603,24.599432,-110.401188
Lightly Protected,La Paz,ESPIRITU_SANTO_PAILEBOTE,1999,-0.4596097682073053,0.27019511589634737,24.504571,-110.308406
Lightly Protected,La Paz,ESPIRITU_SANTO_PARTIDA_NORESTE,1999,-0.12225838164594677,0.4388708091770266,24.562008,-110.366446
Lightly Protected,Loreto,CARMEN_ABISMO,1999,-0.38222079413113363,0.3088896029344332,25.84198452552898,-111.2329723153174
Lightly Protected,Loreto,CARMEN_PUNTA_LOBOS,1999,0.07949978707193013,0.539749893535965,26.068839,-111.070127
Lightly Protected,Loreto,CARMEN_PUNTA_PERICO,1999,0.12462222166408209,0.562311110832041,25.965265,-111.067303
Lightly Protected,Loreto,CORONADO_LAJAS,1999,-0.15145514202610116,0.4242724289869494,26.126188,-111.258743
Not Protected,Loreto,CORONADO_MONO,1999,-0.16828651165421016,0.4158567441728949,26.135304,-111.279106
Not Protected,Loreto,CORONADO_PUNTA_BLANCA,1999,0.10933333428835583,0.5546666671441779,26.137812,-111.265291
Lightly Protected,Loreto,DANZANTE_BIZNAGA,1999,-0.4939814981237578,0.2530092509381211,25.815202,-111.260062
Lightly Protected,Loreto,DANZANTE_PUNTA_ESTE,1999,-0.26751430654437586,0.36624284672781204,25.788956,-111.242819
Lightly Protected,Loreto,DANZANTE_PUNTA_NOROESTE,1999,-0.4649128215683583,0.2675435892158209,25.800718,-111.257608
Lightly Protected,Loreto,DANZANTE_PUNTA_SURESTE,1999,-0.386630287304208,0.306684856347896,25.763561,-111.243521
Lightly Protected,Loreto,MONSERRAT_GALERAS,1999,-0.27849922545288125,0.36075038727355935,25.742757,-111.046611
Lightly Protected,Loreto,MONSERRAT_PUNTA_SURESTE,1999,0.06504775937744796,0.53252387968872394,25.675881,-111.011271
Lightly Protected,Loreto,MONSERRAT_REINITA,1999,0.011635780555710013,0.505817890277855,25.747822,-111.060217
Not Protected,Santa Rosalia,TORTUGA_PUNTA_OESTE,1999,-0.3195069085796381,0.340246545710181,27.450869,-111.902138
Lightly Protected,Alto Golfo,SALSIPUEDES,1999,-0.29626063649825435,0.35186968175087285,28.718917588921283,-112.94885127405249
Fully Protected,Cabo Pulmo,CANTIL_MEDIO,2000,-0.16065152033269306,0.4196742398336535,23.434309,-109.414791
Fully Protected,Cabo Pulmo,MORROS_CABO_PULMO,2000,-0.12570483426796028,0.43714758286601985,23.461938,-109.407203
Lightly Protected,La Paz,ESPIRITU_SANTO_BALLENA,2000,-0.2140879124319686,0.3929560437840157,24.48192949682278,-110.40116759637563
Lightly Protected,La Paz,ESPIRITU_SANTO_PUNTA_LOBOS,2000,-0.498484097726915,0.25075795113654253,24.475421,-110.289305
Not Protected,Corredor,SAN_JOSE_ANIMAS_NORTE,2000,-0.2382385423151048,0.3808807288424476,25.089485,-110.566779
Not Protected,Corredor,SAN_JOSE_ANIMAS_PINACULOS,2000,0.3692413940293077,0.6846206970146539,25.089468,-110.566743
Lightly Protected,La Paz,ESPIRITU_SANTO_ISLOTES_ESTE,2000,0.5293996149210486,0.7646998074605242,24.598899,-110.399831
Lightly Protected,La Paz,ESPIRITU_SANTO_ISLOTES_NORTE,2000,0.7446817631040838,0.8723408815520419,24.599432,-110.401188
Lightly Protected,La Paz,ESPIRITU_SANTO_PAILEBOTE,2000,-0.20033755003400933,0.39983122498299534,24.504571,-110.308406
Lightly Protected,La Paz,ESPIRITU_SANTO_PARTIDA_NORESTE,2000,-0.49420525443130636,0.2528973727843468,24.562008,-110.366446
Lightly Protected,Loreto,CARMEN_ABISMO,2000,-0.018116221386343057,0.49094188930682847,25.84198452552898,-111.2329723153174
Lightly Protected,Loreto,CARMEN_PUNTA_LOBOS,2000,-0.48140684205793155,0.2592965789710342,26.068839,-111.070127
Lightly Protected,Loreto,CARMEN_PUNTA_PERICO,2000,-0.25481610517316955,0.3725919474134152,25.965265,-111.067303
Lightly Protected,Loreto,CARMEN_TINTORERA,2000,0.07285365161945447,0.5364268258097272,26.064886,-111.131847
Lightly Protected,Loreto,CORONADO_LAJAS,2000,0.06063107513082805,0.530315537565414,26.126188,-111.258743
Not Protected,Loreto,CORONADO_MONO,2000,-0.3015736313935408,0.34921318430322956,26.135304,-111.279106
Not Protected,Loreto,CORONADO_PUNTA_BLANCA,2000,0.12737819121721372,0.5636890956086069,26.137812,-111.265291
Lightly Protected,Loreto,DANZANTE_BIZNAGA,2000,-0.32004656233780593,0.33997671883109704,25.815202,-111.260062
Lightly Protected,Loreto,DANZANTE_PUNTA_ESTE,2000,-0.19042458796661066,0.40478770601669467,25.788956,-111.242819
Lightly Protected,Loreto,DANZANTE_PUNTA_NOROESTE,2000,-0.5511152616174979,0.22444236919125105,25.800718,-111.257608
Lightly Protected,Loreto,DANZANTE_PUNTA_SURESTE,2000,-0.34014728312772585,0.32992635843613705,25.763561,-111.243521
Lightly Protected,Loreto,MONSERRAT_GALERAS,2000,-0.2846023543952066,0.35769882280239673,25.742757,-111.046611
Lightly Protected,Loreto,MONSERRAT_PUNTA_SURESTE,2000,-0.27305216712672853,0.36347391643663574,25.675881,-111.011271
Lightly Protected,Loreto,MONSERRAT_REINITA,2000,-0.4258409665145001,0.28707951674274995,25.747822,-111.060217
