"year_offset","year","OHI_region","OHI_region_name","biome_type","extent","extent_trend","extent_trend_prct","habitat_condition","condition_provenance","HAB_score"
-6,2014,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-5,2015,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-4,2016,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-3,2017,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-2,2018,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-1,2019,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
0,2020,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,"observed",NA
1,2021,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
2,2022,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
3,2023,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
4,2024,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
5,2025,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
6,2026,"region_1","Western Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-6,2014,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
-5,2015,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
-4,2016,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
-3,2017,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
-2,2018,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
-1,2019,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
0,2020,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,"observed",NA
1,2021,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
2,2022,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
3,2023,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
4,2024,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
5,2025,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
6,2026,"region_2","Western Midriff Islands","mangrove",NA,NA,NA,NA,NA,NA
-6,2014,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
-5,2015,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
-4,2016,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
-3,2017,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
-2,2018,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
-1,2019,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
0,2020,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,"observed",NA
1,2021,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
2,2022,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
3,2023,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
4,2024,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
5,2025,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
6,2026,"region_3","Western Central Gulf","mangrove",NA,NA,NA,NA,NA,NA
-6,2014,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
-5,2015,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
-4,2016,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
-3,2017,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
-2,2018,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
-1,2019,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
0,2020,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"observed",100
1,2021,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
2,2022,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
3,2023,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
4,2024,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
5,2025,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
6,2026,"region_4","Western Southern Gulf","mangrove",6.32777138776951,0.00842618093633418,0.842618093633418,1,"extrapolated",100
-6,2014,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-5,2015,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-4,2016,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-3,2017,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-2,2018,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-1,2019,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
0,2020,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,"observed",NA
1,2021,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
2,2022,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
3,2023,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
4,2024,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
5,2025,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
6,2026,"region_5","Eastern Upper Gulf","mangrove",NA,NA,NA,NA,NA,NA
-6,2014,"region_6","Eastern Midriff Islands","mangrove",32.7262641073644,0.00121299302825917,0.121299302825917,0.804918321252763,"extrapolated",80.4918321252762
