area,description,event_name,region,location_text,additional_location_info,initial_date,final_date,event_year,event_biblio
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-97-001,Sinaloa,Bahia Mazatl·n,NA,3/8/99,5/30/99,1997,"RamÌrez-Camarena, C., CortÈs-Altamirano, R., MuÒoz-Cabrera, L. 1999. Mareas rojas provocadas por el dinoflagelado Gymnodinium catenatum (Gymnodiniales: Gymnodiniaceae) en la bahÌa de Mazatl·n, Sin., MÈxico, en 1997. Rev. Biol. Trop., 47 (Supl. 1): 77-80."
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-79-001,Sinaloa,Mazatlan,NA,4/21/79,4/25/79,1979,"Mee, L. D., Espinosa, M., Diaz, G. 1985. Paralytic shellfish poisoning with a Gymnodinium catenatum red tide on the Pacific Coast of Mexico. Marine Environmental Research. 19: 77-92"
250,Minimum (confined to a single sub-basin such as Bahía de Altata proper): ~80–120 km²; Likely (multiple connected basins and channels within the complex): ~150–350 km²; Upper plausible bound (system-wide expression across most lagoons): ~500–700 km²,MX-23-004,Golfo de California,BahÌa Altata Ensenada de Pabellones,"Sistema Lagunar Altata-Ensenada de Pabellones, Navolato, Sinaloa",NA,NA,2023,NA
15,Minimum (localized patch in one inner basin): ~1–3 km²; Likely (fills one entire estero OR partial expression in both): ~8–20 km²; Upper plausible bound (both esteros broadly affected + short nearshore plume at the mouths): ~30–60 km²,MX-23-003,"MulegÈ, Baja California Sur",Estero El Coyote y Estero la Bocana,Baja California Peninsula in the Mexican Pacific,NA,NA,2023,NA
70,"Minimum (localized patch in a single inner bay/channel): ~10–20 km²; Likely (occupying most of Altata Norte): ~50–90 km²; Upper plausible bound (Altata Norte + connecting channels and fringe basins; possible short plume toward the Altata/Dautillos mouths): ~120–180 km²
If there was clear export onto the adjacent shelf, add a coastal plume of roughly ~30–100 km².",MX-23-002,"Navolato, Sinaloa",Bay Altata Norte,"Navolato, Sinaloa",NA,NA,2023,NA
70,"Minimum (localized patch in a single inner bay/channel): ~10–20 km²; Likely (occupying most of Altata Norte): ~50–90 km²; Upper plausible bound (Altata Norte + connecting channels and fringe basins; possible short plume toward the Altata/Dautillos mouths): ~120–180 km²
If there was clear export onto the adjacent shelf, add a coastal plume of roughly ~30–100 km².",MX-22-001,SInaloa,BahÌa Altata Norte,NA,NA,NA,2022,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/790026/Cuadro_Cierres_precautorios_2022.pdf
42,"Minimum (localized patch on lee side of one island/cove): ~5–10 km²; Likely (around-island band, ~1–2 km from shore across the group): ~25–60 km²; Upper plausible bound (island group + advected swath toward the mainland along prevailing currents): ~80–180 km²",MX-21-002,Baja California,Isla Coronado,NA,NA,NA,2021,NA
170,Minimum (localized streaks along a short island segment or bay mouth): ~10–30 km²; Likely (continuous belt along the island front ± partial bay involvement): ~120–220 km²; Upper plausible bound (broad belt along the island + most of the bay + pieces of the channel): ~250–400 km²,MX-18-001,Baja California,BahÌa de Los ¡ngeles,Front Isla ¡ngel de la Guarda,NA,NA,2018,NA
2500,"Minimum (localized coastal bands near population centers & shoals): ~200–500 km², Likely (substantial fraction of the Upper Gulf with patchy, advected slicks): ~1,500–3,500 km²; Upper plausible bound (basin-wide surface expression at times during the months-long event): ~5,000–8,000 km²",MX-17-014,Baja California,Alto Golfo de California,NA,12/22/17,5/12/18,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
2500,"Minimum (localized coastal bands near population centers & shoals): ~200–500 km², Likely (substantial fraction of the Upper Gulf with patchy, advected slicks): ~1,500–3,500 km²; Upper plausible bound (basin-wide surface expression at times during the months-long event): ~5,000–8,000 km²",MX-17-013,Baja California,Alto Golfo de California,NA,11/2/17,12/8/17,2017,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios, 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003"
700,"Minimum (one sub-basin or a mouth within Magdalena–Almejas, plus little/no estero involvement): ~120–240 km²; Likely (large fraction of Magdalena–Almejas affected + patchy expression in one or more esteros): ~450–950 km²; Upper plausible bound (system-wide across most of Magdalena–Almejas + expression in all three esteros and short nearshore plumes): ~1,200–1,600 km²",MX-17-012,Baja California Sur,Estero el Coyote,"Zonas I y IV de BahÌa Almejas y BahÌa Magdalena, zonas Estero el Coyote, Estero la Bocana y Estero el CardÛn",9/30/17,10/16/17,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdf
70,"Minimum (localized inner-bay patch): ~10–20 km²; Likely (occupies most of Bahía de Ohuira, with patchy spread into connecting channels): ~50–90 km²; Upper plausible bound (Ohuira broadly affected + advection through Topolobampo channel and adjacent sub-basins): ~120–200 km²",MX-17-011 ,Sinaloa,Bahia de Ohuira,NA,8/18/17,9/1/17,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdfhttps://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
6,Minimum (localized inner-basin patch): ~1–2 km²; Likely (fills much of the estero interior): ~4–8 km²; Upper plausible bound (entire estero + expression at the inlet): ~10–15 km²,MX-17-010,Baja California Sur,Estero el Coyote,NA,7/21/17,7/28/17,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
