Var1,Freq,year
0,67443,1998
1,17126,1998
2,5136,1998
3,861,1998
4,100,1998
5,12,1998
6,15,1998
7,9,1998
8,11,1998
9,15,1998
10,13,1998
11,12,1998
12,109799,1998
0,61035,1999
1,13764,1999
2,10645,1999
3,4533,1999
4,685,1999
5,30,1999
6,6,1999
7,5,1999
8,9,1999
9,9,1999
10,15,1999
11,19,1999
12,109797,1999
0,88641,2000
1,1864,2000
2,151,2000
3,15,2000
4,12,2000
5,7,2000
6,8,2000
7,5,2000
8,12,2000
9,10,2000
10,11,2000
11,15,2000
12,109801,2000
0,82288,2001
1,6909,2001
2,1343,2001
3,92,2001
4,21,2001
5,12,2001
6,11,2001
7,16,2001
8,12,2001
9,14,2001
10,21,2001
11,13,2001
12,109800,2001
0,75206,2002
1,14899,2002
2,553,2002
3,22,2002
4,18,2002
5,33,2002
6,8,2002
7,12,2002
8,10,2002
9,11,2002
10,13,2002
11,6,2002
12,109761,2002
0,86705,2003
1,3970,2003
2,38,2003
3,11,2003
4,10,2003
5,13,2003
6,20,2003
7,6,2003
8,7,2003
9,3,2003
10,7,2003
11,12,2003
12,109750,2003
0,89086,2004
1,1644,2004
2,17,2004
3,8,2004
4,13,2004
5,7,2004
6,2,2004
7,4,2004
8,3,2004
9,6,2004
10,4,2004
11,8,2004
12,109750,2004
0,86679,2005
1,3740,2005
2,329,2005
3,12,2005
4,10,2005
5,4,2005
6,6,2005
7,6,2005
8,4,2005
9,4,2005
10,3,2005
11,9,2005
12,109746,2005
0,90544,2006
1,211,2006
2,7,2006
3,4,2006
4,5,2006
5,2,2006
6,5,2006
7,6,2006
8,4,2006
9,3,2006
10,6,2006
11,6,2006
12,109749,2006
0,88690,2007
1,2036,2007
2,39,2007
3,7,2007
4,4,2007
5,1,2007
6,1,2007
7,7,2007
8,6,2007
9,2,2007
10,2,2007
11,5,2007
12,109752,2007
0,89187,2008
1,1566,2008
2,12,2008
3,6,2008
4,4,2008
5,6,2008
6,1,2008
7,5,2008
8,1,2008
9,1,2008
10,4,2008
11,6,2008
12,109753,2008
0,89966,2009
1,799,2009
2,7,2009
3,3,2009
4,2,2009
5,2,2009
6,1,2009
7,3,2009
8,3,2009
9,1,2009
11,6,2009
12,109759,2009
0,84433,2010
1,6258,2010
2,78,2010
3,7,2010
4,2,2010
5,8,2010
6,2,2010
7,2,2010
9,2,2010
10,4,2010
11,5,2010
12,109751,2010
0,90440,2011
1,313,2011
2,11,2011
3,5,2011
4,3,2011
5,2,2011
6,6,2011
7,3,2011
8,2,2011
9,9,2011
10,2,2011
11,10,2011
12,109746,2011
0,89566,2012
1,1151,2012
2,9,2012
3,10,2012
4,15,2012
5,11,2012
6,6,2012
7,4,2012
8,17,2012
9,9,2012
10,5,2012
11,3,2012
12,109746,2012
0,89258,2013
1,1407,2013
2,55,2013
3,9,2013
4,13,2013
5,15,2013
6,4,2013
7,7,2013
8,9,2013
9,3,2013
10,5,2013
11,7,2013
12,109760,2013
0,90587,2014
1,140,2014
2,23,2014
3,7,2014
4,7,2014
5,7,2014
6,4,2014
7,3,2014
8,4,2014
9,1,2014
10,5,2014
11,2,2014
12,109762,2014
0,90670,2015
1,58,2015
2,15,2015
3,4,2015
4,13,2015
5,4,2015
6,10,2015
7,4,2015
8,5,2015
9,5,2015
10,4,2015
11,1,2015
12,109759,2015
0,90621,2016
1,121,2016
2,17,2016
3,25,2016
4,10,2016
5,12,2016
6,5,2016
7,11,2016
8,2,2016
9,3,2016
10,5,2016
11,2,2016
12,109718,2016
0,89468,2017
1,1307,2017
2,11,2017
3,5,2017
4,7,2017
5,7,2017
6,6,2017
7,2,2017
8,5,2017
9,7,2017
10,7,2017
11,3,2017
12,109717,2017
0,90651,2018
1,123,2018
2,12,2018
3,11,2018
4,7,2018
5,5,2018
6,6,2018
7,3,2018
8,1,2018
9,4,2018
11,6,2018
12,109723,2018
0,90761,2019
1,15,2019
2,10,2019
3,6,2019
4,11,2019
5,5,2019
6,6,2019
7,1,2019
8,3,2019
9,1,2019
10,6,2019
11,2,2019
12,109725,2019
0,90750,2020
1,21,2020
2,10,2020
3,13,2020
4,1,2020
5,6,2020
6,3,2020
7,4,2020
8,5,2020
10,7,2020
11,2,2020
12,109730,2020
0,90738,2021
1,21,2021
2,8,2021
3,14,2021
4,3,2021
5,9,2021
6,4,2021
7,5,2021
8,5,2021
9,2,2021
10,2,2021
11,3,2021
12,109738,2021
0,90693,2022
1,54,2022
2,11,2022
3,16,2022
4,12,2022
5,10,2022
6,2,2022
7,7,2022
8,2,2022
9,6,2022
10,3,2022
11,10,2022
12,109726,2022
0,90745,2023
1,14,2023
2,9,2023
3,8,2023
4,4,2023
5,12,2023
6,2,2023
7,5,2023
8,4,2023
9,1,2023
10,2,2023
11,10,2023
12,109736,2023
0,90625,2024
1,122,2024
2,22,2024
3,9,2024
4,13,2024
5,5,2024
6,7,2024
7,8,2024
8,4,2024
9,5,2024
10,4,2024
11,8,2024
12,109720,2024
