region,location_text,additional_location_info,initial_date,final_date,event_year,event_biblio
Sinaloa,Bahia Mazatl·n,NA,1999-03-08,1999-05-30,1997,"RamÌrez-Camarena, C., CortÈs-Altamirano, R., MuÒoz-Cabrera, L. 1999. Mareas rojas provocadas por el dinoflagelado Gymnodinium catenatum (Gymnodiniales: Gymnodiniaceae) en la bahÌa de Mazatl·n, Sin., MÈxico, en 1997. Rev. Biol. Trop., 47 (Supl. 1): 77-80."
Sinaloa,Mazatlan,NA,1979-04-21,1979-04-25,1979,"Mee, L. D., Espinosa, M., Diaz, G. 1985. Paralytic shellfish poisoning with a Gymnodinium catenatum red tide on the Pacific Coast of Mexico. Marine Environmental Research. 19: 77-92"
Golfo de California,BahÌa Altata Ensenada de Pabellones,"Sistema Lagunar Altata-Ensenada de Pabellones, Navolato, Sinaloa",NA,NA,2023,NA
"MulegÈ, Baja California Sur",Estero El Coyote y Estero la Bocana,Baja California Peninsula in the Mexican Pacific,NA,NA,2023,NA
"Navolato, Sinaloa",Bay Altata Norte,"Navolato, Sinaloa",NA,NA,2023,NA
SInaloa,BahÌa Altata Norte,NA,NA,NA,2022,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/790026/Cuadro_Cierres_precautorios_2022.pdf
Baja California,Isla Coronado,NA,NA,NA,2021,NA
Baja California,BahÌa de Los ¡ngeles,Front Isla ¡ngel de la Guarda,NA,NA,2018,NA
Baja California,Alto Golfo de California,NA,2017-12-22,2018-05-12,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California,Alto Golfo de California,NA,2017-11-02,2017-12-08,2017,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios, 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003"
Baja California Sur,Estero el Coyote,"Zonas I y IV de BahÌa Almejas y BahÌa Magdalena, zonas Estero el Coyote, Estero la Bocana y Estero el CardÛn",2017-09-30,2017-10-16,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdf
Sinaloa,Bahia de Ohuira,NA,2017-08-18,2017-09-01,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdfhttps://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,Estero el Coyote,NA,2017-07-21,2017-07-28,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,Bahia de La Paz,"El Mogote, BahÌa de La Paz, Baja California sur",2017-06-02,2017-06-28,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdf
Sinaloa,Altata Norte,NA,2017-05-26,2017-07-28,2017,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.gob.mx/cms/uploads/attachment/file/785933/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2017.pdf://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,Bahia de La Paz,NA,2017-03-13,2017-03-15,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,La Reforma,NA,2017-02-02,2017-02-22,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,Navolato,NA,2017-01-23,2017-03-01,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sonora,Alto Golfo de California,NA,2017-01-26,2017-05-09,2017,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,MulegÈ,NA,2016-01-12,2016-02-09,2016,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California,Mexicali,NA,2016-01-16,2016-01-28,2016,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,BahÌa de Mazatl·n,NA,2015-10-17,2015-11-03,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,BahÌa de Mazatl·n,NA,2015-09-14,2015-09-22,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,BahÌa de Altata,NA,2015-02-26,2015-03-06,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California,"BahÌas San Luis, Gonzaga, Guadalupe, Los ƒngeles, de las ¡nimas, San Rafael",in front of Angel de la Guarda Island,2015-02-25,2015-06-12,2015,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2015. https://www.gob.mx/cms/uploads/attachment/file/201769/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2015.pdf Medina-Elizalde J, GarcÌa-Mendoza E, Turner AD, S·nchez-Bravo YA, Murillo-MartÌnez R (2018). Transformation and Depuration of Paralytic Shellfish Toxins in the Geoduck Clam Panopea globosa From the Northern Gulf of California. Front. Mar. Sci. 5:335. Doi  10.3389/fmars.2018.00335"
Baja California Sur,MulegÈ,NA,2015-02-04,2015-02-17,2015,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California,"San Felipe Puertecitos, Puerto de San Felipe y Alto Golfo de California",From Puertecitos to the upper Gulf of California,2015-01-13,2015-02-24,2015,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2015. https://www.gob.mx/cms/uploads/attachment/file/201769/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2015.pdf.  Medina-Elizalde J, GarcÌa-Mendoza E, Turner AD, S·nchez-Bravo YA, Murillo-MartÌnez R (2018). Transformation and Depuration of Paralytic Shellfish Toxins in the Geoduck Clam Panopea globosa From the Northern Gulf of California. Front. Mar. Sci. 5:335. Doi  10.3389/fmars.2018.00335"
Sinaloa,BahÌa de Mazatl·n,NA,2014-03-21,2014-03-31,2014,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Nayarit,La Cruz de Huanacaxtle,NA,2014-03-18,2014-03-28,2014,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,BahÌa del Colorado,NA,2014-05-19,2014-06-06,2014,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California,Bahia de la Paz,NA,NA,NA,2014,"G·rate-Liz·rraga, I. 2014. Proliferation of Levanderina fissa and Polykrikos hartmannii (Dinophyceae: Gymnodiniales) in BahÌa de la Paz, Gulf of California, MÈxico. CICIMAR Oce·nides 29 (2): 25-35."
Baja California Sur,Pichilingue,NA,2013-03-07,2013-03-11,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,BahÌa de Altata,NA,2013-01-17,2013-01-18,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,Bahia de La Paz,NA,2013-06-18,2013-06-20,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sonora,BahÌa Salina,NA,2013-12-20,2014-01-24,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sonora,BahÌa Salina,NA,2013-08-20,2013-09-18,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,RincÛn de las Ballenas,NA,2013-07-15,2013-08-23,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Nayarit,Nuevo Vallarta,NA,2013-03-15,2013-04-08,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinaloa,Mazatlan Bay and Urias Estuary,In the south of the Mazatl·n Bay and at the mouth of the UrÌas Estuary,2013-03-06,2013-03-23,2013,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016.https://www.gob.mx/cms/uploads/attachment/file/162939/Presencia_de_Marea_Roja_en_costas_nacionales_durante_2013.pdf and http://www.conabio.gob.mx/institucion/proyectos/resultados/MU009_Anexo_Libro_resumenes.pdf
Sinaloa,BahÌa de Mazatl·n,NA,2012-11-04,2012-12-06,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Nayarit,BahÌa de Banderas,NA,2012-10-20,2012-11-05,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sonora,Puerto PeÒasco,NA,2012-10-05,2012-10-08,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,Bahia de La Paz,NA,2012-10-03,2012-10-10,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,Bahia de La Paz,NA,2012-06-27,2012-07-10,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,Bahia de La Paz,NA,2012-06-08,2012-06-15,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Sinalo,BahÌa de Mazatl·n,NA,2012-05-07,2012-05-28,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,RincÛn de las Ballenas,NA,2012-06-29,2012-07-31,2012,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
Baja California Sur,La Ensenada de la Paz Shore,NA,2012-09-12,2012-11-09,2012,"LÛpez-CortÈs, D. J., Band-Schmidt, C. J., Bustillos-Guzm·n, J. J., Hern·ndez-Sandoval, F. E., Mendoza-Flores, A., N˙Òez-V·zquez, E. J. 2014. Environmental Conditions during a bloom of Cochlodinium polykrikoides (Gymnodiniales, Dinophyceae) in Ensenada de La Paz, Gulf of California. Revista de BiologÌa Marina y OceanografÌa. 49 (1): 97-110."
Baja California Sur,Caleta Balandra,Playa Balandra,NA,NA,2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6356608/pdf/marinedrugs-17-00013.pdf
