event_name,lat,lon,syndrome_name,toxin,causative_species_name0,causative_species_name1,additional_species_name0
MX-97-001,23.2,-106.42,PSP,NA,Gymnodinium catenatum,NA,NA
MX-79-001,23.22,-106.42,PSP,Saxitoxins,Gymnodinium catenatum,NA,NA
MX-23-004,24.55,-107.9,DSP,Okadaic Acid,NA,NA,NA
MX-23-003,24.53,-107.75,ASP,Domoic Acid,NA,NA,NA
MX-23-002,24.7,-107.98,DSP,Okadaic Acid,Dinophysis caudata Saville-Kent 1881,NA,NA
MX-22-001,24.7,-107.98,DSP,Okadaic Acid,Dinophysis caudata Saville-Kent 1881,NA,NA
MX-21-002,26.11,-111.28,PSP,NA,NA,NA,NA
MX-18-001,28.93,-113.56,PSP,NA,NA,NA,NA
MX-17-014,31,-114.8,PSP,NA,Gymnodinium catenatum,NA,NA
MX-17-013,31,-114.8,PSP,NA,Gymnodinium catenatum,NA,NA
MX-17-012,24.53,-107.75,DSP,NA,NA,NA,NA
MX-17-011,25.53,-109.03,PSP,NA,Alexandrium spp.,NA,NA
MX-17-010,24.53,-107.75,DSP,NA,Prorocentrum spp.,NA,NA
MX-17-009,24.2,-110.3,PSP,NA,Myrionecta rubra Jankowski 1976,Gymnodinium catenatum,Myrionecta rubra Jankowski 1976
MX-17-008,24.7,-107.98,DSP,Okadaic Acid,Dinophysis sp.,NA,NA
MX-17-005,24.2,-110.3,OTHER,NA,Myrionecta rubra Jankowski 1976,NA,NA
MX-17-003,25.3,-108.5,PSP,NA,Gymnodinium catenatum,NA,NA
MX-17-002,24.66,-107.98,PSP,NA,Gymnodinium catenatum,NA,NA
MX-17-001,31,-114.8,PSP,NA,Gymnodinium catenatum,NA,NA
MX-16-002,26.89,-111.98,DSP,NA,NA,NA,NA
MX-15-012,23.2,-106.42,OTHER,NA,"Margalefidinium polykrikoides (Margalef, 1961) F.Gómez, Richlen & D.M.Anderson, 2017",NA,NA
MX-15-010,23.2,-106.42,OTHER,NA,"Margalefidinium polykrikoides (Margalef, 1961) F.Gómez, Richlen & D.M.Anderson, 2017",NA,NA
MX-15-004,24.55,-107.95,PSP,NA,NA,NA,NA
MX-15-003,28.9,-113.6,PSP,NA,NA,NA,NA
MX-15-002,26.89,-111.98,PSP,NA,Noctiluca scintillans,NA,NA
MX-15-001,30.7,-114.7,PSP,Saxitoxins,Gymnodinium catenatum,Gymnodinium catenatum Graham 1943,NA
MX-14-012,23.2,-106.42,PSP,NA,Gymnodinium catenatum,Gyrodinium instriatum Freudenthal et Lee 1963,NA
MX-14-011,20.75,-105.37,OTHER,NA,Myrionecta rubra Jankowski 1976,NA,NA
MX-14-006,31.55,-114.73,DSP,NA,NA,NA,NA
MX-14-001,24.2,-110.3,OTHER,NA,Gyrodinium instriatum Freudenthal et Lee 1963,NA,Polykrikos hartmannii Zimmerman
MX-13-024,24.3,-110.32,OTHER,NA,Noctiluca scintillans,NA,NA
MX-13-023,24.55,-107.95,OTHER,NA,Noctiluca scintillans,NA,NA
MX-13-019,24.2,-110.3,OTHER,NA,Myrionecta rubra Jankowski 1976,NA,NA
MX-13-017,25.98,-111.16,DSP,NA,NA,NA,NA
MX-13-016,25.98,-111.16,DSP,NA,NA,NA,NA
MX-13-015,24.52,-110.37,DSP,NA,NA,NA,NA
MX-13-012,20.7,-105.3,PSP,NA,Gymnodinium catenatum,Prorocentrum spp.,NA
MX-13-011,23.2,-106.42,PSP,Saxitoxins,Gymnodinium catenatum,NA,NA
MX-12-026,23.2,-106.42,OTHER,NA,"Margalefidinium polykrikoides (Margalef, 1961) F.Gómez, Richlen & D.M.Anderson, 2017",NA,NA
MX-12-024,20.65,-105.25,OTHER,NA,"Margalefidinium polykrikoides (Margalef, 1961) F.Gómez, Richlen & D.M.Anderson, 2017",NA,NA
MX-12-022,31.31,-113.53,OTHER,NA,Oscillatoria sp.,NA,NA
MX-12-021,24.2,-110.3,OTHER,NA,"Margalefidinium polykrikoides (Margalef, 1961) F.Gómez, Richlen & D.M.Anderson, 2017",NA,NA
MX-12-019,24.2,-110.3,DSP,NA,Dinophysis tripos,NA,NA
MX-12-018,24.2,-110.3,OTHER,NA,Myrionecta rubra Jankowski 1976,NA,NA
MX-12-015,23.2,-106.42,OTHER,NA,"Margalefidinium polykrikoides (Margalef, 1961) F.Gómez, Richlen & D.M.Anderson, 2017",NA,Chattonella sp.
MX-12-006,24.52,-110.37,PSP,NA,Prorocentrum spp.,Dinophysis spp.,NA
MX-12-003,24.2,-110.3,OTHER,NA,Cochlodinium polykrikoides Margalef 1961,NA,NA
MX-11-015,24.33,-110.32,PSP,NA,Lyngbya majuscula Harvey in Hooker 1833,NA,NA
MX-11-008,22.89,-109.91,OTHER,NA,Myrionecta rubra Jankowski 1976,NA,NA
MX-11-006,23.2,-106.42,OTHER,NA,Myrionecta rubra Jankowski 1976,NA,NA
MX-11-003,24.52,-110.37,OTHER,NA,NA,NA,NA
MX-11-001,21.85,-105.89,CFP (Ciguatera Fish Poisoning),NA,Ostreopsis siamensis,Gambierdiscus toxicus,NA
MX-10-017,23.2,-106.42,OTHER,NA,Gymnodinium catenatum,NA,Myrionecta rubra Jankowski 1976
MX-10-016,24.17,-110.32,OTHER,NA,Trichodesmium erythraeum (Ehrenberg) Gomont 1892,NA,NA
MX-10-014,24.52,-110.37,OTHER,NA,NA,NA,NA
MX-10-008,31.03,-114.85,PSP,NA,Alexandrium spp.,NA,Gymnodinium catenatum
