"Stock","Year","Total_Live_Biomass","Total_Landed_Biomass","Total_Value","n_Records"
"ABULON",2000,531076.56,438204,62013730,1230
"ABULON",2001,480906.38,387041,44893155,1111
"ABULON",2002,492421.94,398160,38822986,1199
"ABULON",2003,580259.96,471023,53931954,1051
"ABULON",2004,579909.22,479118,62823162,910
"ABULON",2005,619029.68,514661,65162577,1057
"ABULON",2006,668122.46,552812,74063495,1309
"ABULON",2007,682281.14,571217,78078063.54,1345
"ABULON",2008,714827.96,575384,90928003,1135
"ABULON",2009,657423.74,556229,79833187,890
"ABULON",2010,534636.66,445523,74046654,934
"ABULON",2011,424128.5,484751,64153645,605
"ABULON",2012,452357.98,376655,81622615,564
"ABULON",2013,398809.6,322492,71442724,525
"ABULON",2014,346319.9632,263621.14,67527423,513
"ABULON",2015,335226.812,273842.45,67064550.65,481
"ABULON",2016,291438.4358,252332.91,63417949.13,466
"ABULON",2017,235756.7,184599.82,67789427.06,482
"ABULON",2018,211950.462,384745,97514146.22,531
"ABULON",2019,303569.607,247819.65,111830750.8,489
"ABULON",2020,351139.764,278643.69,139173357.6,492
"ABULON",2021,320417.84,281419,121083365,537
"ABULON",2022,375392.36,320700,153129254,658
"ABULON",2023,458944,377282,152921128,694
"ABULON",2024,323622.43,282566.61,111227045.586,595
"ABULON",2025,109824.88,87562.2,38900691,212
"ALGAS",2000,5134015,1860025,10971314,167
"ALGAS",2001,8694080,2392780,7473153,162
"ALGAS",2002,5200598,920163,8591979,217
"ALGAS",2003,6903990,1905270,7572109,237
"ALGAS",2004,15634423,2616398,10253522,184
"ALGAS",2005,5245776,1230081,6593902,162
"ALGAS",2006,5424275,930620,6096867,148
"ALGAS",2007,4488959,911714,6379779.26,164
"ALGAS",2008,4605806,856326,5722198,166
"ALGAS",2009,5151719,1069634,7165503,169
"ALGAS",2010,4815900,1000590,6769559,174
"ALGAS",2011,5071814,1167812,8850483,209
"ALGAS",2012,4882616,1155785,7903537,207
"ALGAS",2013,6639449,1697090,12188129,309
"ALGAS",2014,5427700.1,1191293.1,8968582.53,292
"ALGAS",2015,6793558,1576413,11091325.22,250
"ALGAS",2016,8569369.5,2353701.5,11993316.89,232
"ALGAS",2017,6052679.5,1492054.5,11199895.13,281
"ALGAS",2018,5525265,1288700,8553190.06,286
"ALGAS",2019,6874630,1423575,9312502.62,282
"ALGAS",2020,4741695,1233546,10377285.03,258
"ALGAS",2021,4624935,975080,7656190.42,272
"ALGAS",2022,2024521,558413,5114006.86,228
"ALGAS",2023,1170048,376405,4017801,162
"ALGAS",2024,472564.75,146392.75,1813968.25,74
"ALGAS",2025,8113,8113,117480,8
"ALMEJA",2000,11106092,7806964,51617668,7155
"ALMEJA",2001,6761113,5435362,38175308,3584
"ALMEJA",2002,12862420,11785122,69840593,3360
"ALMEJA",2003,10643915,9502195,55175085,3812
"ALMEJA",2004,17517093,15892953,119652000,6006
"ALMEJA",2005,21549561.44,19442308.44,137402934,6100
"ALMEJA",2006,22062905.66,20342873.66,152272573.42,5298
"ALMEJA",2007,18531348.21,17065400.21,123630907.85,5068
"ALMEJA",2008,24388308,21901467,185954452,9858
"ALMEJA",2009,13755905,11529893,162776820,9011
"ALMEJA",2010,20220485,17523982,185725162,8797
"ALMEJA",2011,24619155,23579792,186817431,8779
"ALMEJA",2012,12627699.01,12283579.01,149145519.2,6206
"ALMEJA",2013,10772964,9695537,182294023,6509
"ALMEJA",2014,10329155.56,8352770.56,222893405.31,7120
"ALMEJA",2015,7541726.41,6596123.41,127499329.754,5618
"ALMEJA",2016,8823755.74,6885809.74,142806642.0235,5935
"ALMEJA",2017,6850352.99,6180839.99,132348275.8,4669
"ALMEJA",2018,24967735.35,22908622.95,402417740.37,9131
"ALMEJA",2019,15310140.08,13976518.08,284017134.8,8042
"ALMEJA",2020,7779538,7740251,150064801.47,6046
"ALMEJA",2021,24252739.3,17325485.3,387754730.15,8115
"ALMEJA",2022,19791133,14186853,314833339.43,8807
"ALMEJA",2023,13408930,11308845,267354956,8059
"ALMEJA",2024,10851836.58,7708686.38,250680331.507,7438
"ALMEJA",2025,5018416.33,3116941.45,93810711.74,3231
"ANCHOVETA",2000,7398531.04,6378044,11758120,68
"ANCHOVETA",2001,388183.16,334731,19650,16
"ANCHOVETA",2003,2996744,2583400,40000,33
"ANCHOVETA",2004,7469008,6438800,3582000,80
"ANCHOVETA",2005,14524420,12521100,13131000,95
"ANCHOVETA",2006,48398485.12,41722832,37485922,229
"ANCHOVETA",2007,7721514.52,6668147,3455240,126
"ANCHOVETA",2008,9242549.4,7967715,6453490,83
"ANCHOVETA",2009,5633591.04,4856544,3833970,85
"ANCHOVETA",2010,10200954.16,8793926,6624856,121
"ANCHOVETA",2011,97737748.16,84263576,85068029,591
"ANCHOVETA",2012,76528117.4,65972515,70714723,421
"ANCHOVETA",2013,130086705.92,112143712,119681261,842
"ANCHOVETA",2014,39616248.08,34151938,45270849,391
"ANCHOVETA",2015,26209932.2,22603045,201905089.18,445
"ANCHOVETA",2016,10557133.4204,9105582.19,11144958.083,166
"ANCHOVETA",2017,93437812.2152,80564591.22,144188994.08,715
"ANCHOVETA",2018,152229829.84,131299950,239604936,1322
"ANCHOVETA",2019,172687819.76,148949602,277175409,1546
"ANCHOVETA",2020,166680872.68,143691231,292065437,1319
"ANCHOVETA",2021,297748463.24,256705037,547488895,2240
"ANCHOVETA",2022,337742501.72,291162552,685400705.95,2463
"ANCHOVETA",2023,312604440,269486600,562593620,2338
"ANCHOVETA",2024,308505783.3516,265953261.51,568887216.36,2178
"ANCHOVETA",2025,125204840.48,107935284,241050668.01,1096
"ATUN",2000,70480803.3,70356319,685512645,496
"ATUN",2001,90925421,90917423,643293622,445
"ATUN",2002,1597180,1592864,13405050,65
"ATUN",2003,106278117.4,106192224,661155014,541
"ATUN",2004,63752711.5,63712884,430173270,497
"ATUN",2005,76388848.2,76352688,558894090.2,492
"ATUN",2006,57927451.6,57921253,413920328.65,488
"ATUN",2007,54777181.5,54762947,3852632922.63,502
"ATUN",2008,66069714.3,66039902,655462275,438
"ATUN",2009,66214456.8,66181477,610200305,416
"ATUN",2010,69578983.86,67459321,689122835,358
"ATUN",2011,70042909.1,70041208,611794592,419
"ATUN",2012,58650822.2,58649674,524743908,410
"ATUN",2013,71888756.9,71887543,641675636,436
"ATUN",2014,81725820.8,81721656,732312672,832
"ATUN",2015,72688722.28,72687372,698554063,1297
"ATUN",2016,64472573.3,64470301,651595807,898
"ATUN",2017,56947133.9,56942457.1,655129522.7,1033
"ATUN",2018,81844059.7,80992531,1909946802,1535
"ATUN",2019,84365334.22,83649152,1732288035,1346
"ATUN",2020,84904591.44,84475114,1379562409,1229
"ATUN",2021,87489509.2,86930623,1613406914,1280
"ATUN",2022,98014658.4,97445364,1781107619,1086
"ATUN",2023,111117703,110594353,1823214156,1198
"ATUN",2024,128630738.31,128117530.59,2087132931.81,1409
"ATUN",2025,64307424.79,64016852.1,1073720115.45,577
"BAGRE",2000,1007747.9,940671,7107795,1133
"BAGRE",2001,789686.95,740038,5261341,969
"BAGRE",2002,787806.3,735458,6049842,942
"BAGRE",2003,759938,719630,6457706,874
"BAGRE",2004,589567.9,558725,4905313,1058
"BAGRE",2005,713578.9,675390,6796849,1010
"BAGRE",2006,588963.05,553643,5274575,1193
"BAGRE",2007,655268.35,617858.5,6659940,1321
"BAGRE",2008,1002575.6,932637,9943787,1677
"BAGRE",2009,1120476.4,1043891,12380326,1718
"BAGRE",2010,712032.55,653768,7537378,1682
"BAGRE",2011,738198.6,685036,7957667,1828
"BAGRE",2012,487211.6,449593,5393046,1410
"BAGRE",2013,552160.5,508889,6436854,1117
"BAGRE",2014,579999.116,535624.16,7247675.46,1362
"BAGRE",2015,529673.4,495980.3,6688491.45,1709
"BAGRE",2016,827135.02,790456.52,11995883.14,2561
"BAGRE",2017,757152.65,722010,14637778.02,2702
"BAGRE",2018,1048620,1007401.5,32445713.82,2640
"BAGRE",2019,1197304.517,1140410.47,60598257,2354
"BAGRE",2020,885118.6,832445.5,24998186.5,1819
"BAGRE",2021,1051017.5,970790,30133301.34,1576
"BAGRE",2022,890652.6,830024,30162987.54,1253
"BAGRE",2023,875533,819192,28038407,1222
"BAGRE",2024,821966.15,766353.5,21137780,1304
"BAGRE",2025,547061.35,534780,11638569,696
"BANDERA",2000,609607.25,524187,2282407,1523
"BANDERA",2001,807907.9,702875,3554635,2310
"BANDERA",2002,583216.95,511101,2493005,1664
"BANDERA",2003,929478.8,798363,4091174,2246
"BANDERA",2004,966048.35,822058,4614938,2262
"BANDERA",2005,1092491.85,966510,5669717,2521
"BANDERA",2006,671273.25,589586,3795294,2270
"BANDERA",2007,918099.4,769421,5241529.5,2395
"BANDERA",2008,1144749.5,998029,6219201,4094
"BANDERA",2009,1431024.15,1260349,7683612,4563
"BANDERA",2010,1726913.05,1581982,9870019,4776
"BANDERA",2011,1559127.05,1440304,9472778,4967
"BANDERA",2012,1544203.2,1429399,10091409,4790
"BANDERA",2013,1872157.1,1740685,12465517,5629
"BANDERA",2014,1812686.4,1673352.5,14141536.5,6164
"BANDERA",2015,2174189.825,1984510.4,17829283.2,7184
"BANDERA",2016,2602397.525,2344845.6,22552851.2,8222
"BANDERA",2017,2214449.15,1989387.4,20811306.6,7453
"BANDERA",2018,2317939.95,2020549,25228206.76,6690
"BANDERA",2019,2119899.3,1804091.1,25802718.73,5969
"BANDERA",2020,1440246.9,1300172,15422042,3947
"BANDERA",2021,1244635.5,1062498,14724103,3171
"BANDERA",2022,1192357.25,1115029,18319062,3142
"BANDERA",2023,1058618,973425,14144133,2978
"BANDERA",2024,1090874.4,1007538.1,15414887,2806
"BANDERA",2025,479732,456338,9807746,1079
"BAQUETA",2000,347481.4,320893,7022106,731
"BAQUETA",2001,250396.7,239361,5663636,633
"BAQUETA",2002,183506.65,176039,4287595,376
"BAQUETA",2003,340259.4,322414,7904829,733
"BAQUETA",2004,339550.5,323892,8077799,783
"BAQUETA",2005,283097.25,269593,7104291,722
"BAQUETA",2006,311345.4,296705,6973461,793
"BAQUETA",2007,353787.1,338660,7933082.5,820
"BAQUETA",2008,457701.5,436883,11225178,1334
