"Region","Stock","ScientificName","Source","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","q.start","q.end","btype","force.cmsy","Comment","Yes_Run","st_b.low","st_b.hi","int_yr","StartYear","EndYear","Sufficient_No_Years","Class","EnglishName"
"goc","bandera",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.3,0.5,2009,2000,2024,1,"tbd","bandera_seabass"
"goc","barrilete",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.6,0.9,2016,2000,2024,1,"tbd","skipjack"
"goc","berrugata",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.1,0.3,2013,2000,2024,1,"tbd","croaker"
"goc","cabrilla",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.6,0.9,2018,2000,2024,1,"tbd","cabrilla_seabass"
"goc","calamar",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.3,0.5,2011,2000,2024,1,"tbd","squid"
"goc","caracol",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.6,0.9,2017,2000,2024,1,"tbd","snail"
"goc","cazon",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.1,0.3,2014,2000,2024,1,"tbd","dogfish"
"goc","corvina",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.1,0.3,2014,2000,2024,1,"tbd","corvina"
"goc","guachinango",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.6,0.9,2015,2000,2024,1,"tbd","snapper"
"goc","jaiba",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.3,0.5,2014,2000,2024,1,"tbd","crab"
"goc","jurel",NA,"jc_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","true",NA,1,0.3,0.5,2008,2000,2024,1,"tbd","jack_mackerel"
