"Stock","int_yr","StartYear","EndYear","Sufficient_No_Years"
"ABULON",2012,2000,2024,1
"ALGAS",2014,2000,2024,1
"ALMEJA",2012,2000,2024,1
"ANCHOVETA",2018,2000,2024,1
"ATUN",2012,2000,2024,1
"BAGRE",2017,2000,2024,1
"BANDERA",2009,2000,2024,1
"BAQUETA",2015,2000,2024,1
"BARRILETE",2016,2000,2024,1
"BERRUGATA",2013,2000,2024,1
"BESUGO",NA,NA,NA,0
"BONITO",2011,2000,2024,1
"CABRILLA",2018,2000,2024,1
"CALAMAR",2011,2000,2024,1
"CAMARON",2018,2000,2024,1
"CARACOL",2017,2000,2024,1
"CARPA",2007,2000,2024,1
"CAZON",2014,2000,2024,1
"CHARAL",2005,2000,2024,1
"CINTILLA",2009,2001,2024,1
"CORVINA",2014,2000,2024,1
"ERIZO",2008,2000,2024,1
"ESMEDREGAL",2020,2000,2024,1
"ESPECIE GENERICA",NA,NA,NA,0
"FAUNA",2020,2000,2024,1
"GUACHINANGO",2015,2000,2024,1
"JAIBA",2014,2000,2024,1
"JUREL",2008,2000,2024,1
"LANGOSTA",2008,2000,2024,1
"LANGOSTINO",2015,2000,2024,1
"LEBRANCHA",2011,2000,2024,1
"LENGUADO",2013,2000,2024,1
"LISA",2011,2000,2024,1
"LOBINA",2018,2000,2024,1
"MACARELA",2012,2000,2024,1
"MERO",2014,2000,2024,1
"MOJARRA",2010,2000,2024,1
"ORNATO",NA,NA,NA,0
"OSTION",2018,2000,2024,1
"OTRAS",2014,2000,2024,1
"PAMPANO",2012,2000,2024,1
"PARGO",2015,2000,2024,1
"PECES DE ORNATO",2011,2000,2022,1
"PEPINO DE MAR",2007,2000,2024,1
"PETO",2022,2000,2024,1
"PIERNA",2010,2000,2024,1
"PULPO",2009,2000,2024,1
"RAYA Y SIMILARES",2009,2000,2024,1
"ROBALO",2013,2000,2024,1
"RONCO",2007,2000,2024,1
"RUBIA Y VILLAJAIBA",2013,2000,2024,1
"RUBIO",2009,2000,2024,1
"SARDINA",2015,2000,2024,1
"SARGAZO",2004,2000,2024,1
"SIERRA",2010,2000,2024,1
"TIBURON",2011,2000,2024,1
"TRUCHA",2016,2000,2024,1
