"Stock","st_b.low","st_b.high","Status"
"Almejas",0.1,0.3,"depleted"
"Bandera",0.3,0.5,"sustainable"
"Barrilete",0.6,0.9,"new"
"Berrugata",0.1,0.3,"depleted"
"Cabrilla",0.6,0.9,"new"
"Calamar",0.3,0.5,"sustainable"
"Caracol",0.6,0.9,"new"
"Cazon",0.1,0.3,"depleted"
"Corvina",0.1,0.3,"depleted"
"Dorado",0.3,0.5,"sustainable"
"Guachinango",0.6,0.9,"new"
"Jaiba",0.3,0.5,"sustainable"
"Jurel",0.3,0.5,"sustainable"
"Langosta",0.3,0.5,"sustainable"
"Lenguado",0.1,0.3,"depleted"
"Lisa",0.1,0.3,"depleted"
"Mero",0.1,0.3,"depleted"
"Mojarra",0.1,0.3,"depleted"
"Ostion",0.1,0.3,"depleted"
"Snapper",0.1,0.3,"depleted"
"Pierna",0.5,0.8,"healthy"
"Pulpo",0.1,0.3,"depleted"
"Raya.y.similares",0.3,0.5,"sustainable"
"Robalo",0.1,0.3,"depleted"
"Sierra",0.3,0.5,"sustainable"
"Tiburon",0.3,0.5,"sustainable"
"Total.shrimp",0.1,0.3,"depleted"
