Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Adrian,anchovy & sardine (small pelagics),,leatherjacks,sardina,oligoplites,carangidae,,,,,,,,
Adrian,anchovy & sardine (small pelagics),,thread herrings,sardina,opisthonema,clupeidae,,,,,,,,
Adrian,anchovy & sardine (small pelagics),,sardines,sardina,sardinops,clupeidae,,,,,,,,
Adrian,anchovy & sardine (small pelagics),,round herrings,sardina,etrumeus,dussumieriidae,,,,,,,,
Adrian,anchovy & sardine (small pelagics),,anchovies,sardina,cetengraulis,engraulidae,,,,,,,,
Adrian,cephalopods,,jumbo squid,calamar,dosidicus,ommastrephidae,,,,,,,,
Adrian,crustaceans,,spiny lobsters,langosta,panulirus,palinuridae,,,,,,,,
Adrian,crustaceans,,swimming crabs,jaiba,callinectes,portunidae,,,,,,,,
Adrian,demersal marine fishes,,surgeonfishes,otras,acanthurus,acanthuridae,sustainable | sostenible,,,,,,,
Adrian,demersal marine fishes,,sablefish,otras,anoplopoma,anoplopomatidae,,,,,,,,
Adrian,demersal marine fishes,,sea catfishes,bagre,ariopsis,ariidae,depleted | agotadas,,,,,,,
Adrian,demersal marine fishes,,triggerfishes,carpa,balistes,balistidae,sustainable | sostenible,,,,,,,
Adrian,demersal marine fishes,,snooks,robalo,centropomus,centropomidae,depleted | agotadas,,,,,,,
Adrian,demersal marine fishes,,whiptail stingrays,raya y similares,hypanus,dasyatidae,healthy | saludable,,,,,,,
Adrian,demersal marine fishes,,flounders,otras,parapsettus,ephippidae,,,,,,,,
Adrian,demersal marine fishes,,mojarras / silver-biddies,bandera,gerres,gerreidae,depleted | agotadas,,,,,,,
Adrian,demersal marine fishes,,mojarras,mojarra,diapterus,gerreidae,sustainable | sostenible,,,,,,,
Adrian,demersal marine fishes,,mojarras,mojarra,eucinostomus,gerreidae,depleted | agotadas,,,,,,,
Adrian,demersal marine fishes,,mojarras,mojarra,eugerres,gerreidae,depleted | agotadas,,,,,,,
Adrian,demersal marine fishes,,porkfishes/grunts,mojarra,anisotremus,haemulidae,sustainable | sostenible,,,,,,,
Adrian,demersal marine fishes,,sargo,otras,microlepidotus,haemulidae,,,,,,,,
Adrian,demersal marine fishes,,grunts,otras,orthopristis,haemulidae,,,,,,,,
Adrian,demersal marine fishes,,salemas,otras,xenichthys,haemulidae,,,,,,,,
Adrian,demersal marine fishes,,grunts,ronco,haemulopsis,haemulidae,healthy | saludable,,,,,,,
Adrian,demersal marine fishes,,grunts,rubio,haemulon,haemulidae,healthy | saludable,,,,,,,
Adrian,demersal marine fishes,,snappers,guachinango,lutjanus,lutjanidae,sustainable | sostenible,,,,,,,
Adrian,demersal marine fishes,,Mexican hogfish,pargo,hoplopagrus,lutjanidae,depleted | agotadas,,,,,,,
Adrian,demersal marine fishes,,tilefishes,pierna,caulolatilus,malacanthidae,healthy | saludable,,,,,,,
Adrian,demersal marine fishes,,hakes,otras,merluccius,merlucciidae,sustainable | sostenible,,,,,,,
