Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Amy,anchovy & sardine (small pelagics),sustainable | sostenible,leatherjacks,sardina,oligoplites,carangidae,,,,,,,,
Amy,anchovy & sardine (small pelagics),,thread herrings,sardina,opisthonema,clupeidae,,,,,,,,
Amy,anchovy & sardine (small pelagics),,sardines,sardina,sardinops,clupeidae,,,,,,,,
Amy,anchovy & sardine (small pelagics),,round herrings,sardina,etrumeus,dussumieriidae,,,,,,,,
Amy,anchovy & sardine (small pelagics),,anchovies,sardina,cetengraulis,engraulidae,,,,,,,,
Amy,cephalopods,severely depleted | Las existencias están gravemente agotadas,jumbo squid,calamar,dosidicus,ommastrephidae,severely depleted | Las existencias están gravemente agotadas,,,,,,,
Amy,crustaceans,,spiny lobsters,langosta,panulirus,palinuridae,depleted | agotadas,,,,,,,
Amy,crustaceans,,swimming crabs,jaiba,callinectes,portunidae,depleted | agotadas,,,,,,,
Amy,demersal marine fishes,,surgeonfishes,otras,acanthurus,acanthuridae,depleted | agotadas,,,,High,,Moderate IUU,
Amy,demersal marine fishes,,sablefish,otras,anoplopoma,anoplopomatidae,,I don't know,,,,I don't know,,
Amy,demersal marine fishes,,sea catfishes,bagre,ariopsis,ariidae,,I don't know,,,,I don't know,,
Amy,demersal marine fishes,,triggerfishes,carpa,balistes,balistidae,depleted | agotadas,,,,High,,Low,
Amy,demersal marine fishes,,snooks,robalo,centropomus,centropomidae,depleted | agotadas,,,,Medium,,Moderate IUU,
Amy,demersal marine fishes,,whiptail stingrays,raya y similares,hypanus,dasyatidae,depleted | agotadas,,,,Low,,Low,
Amy,demersal marine fishes,,flounders,otras,parapsettus,ephippidae,depleted | agotadas,,,,Low,,Low,
Amy,demersal marine fishes,,mojarras / silver-biddies,bandera,gerres,gerreidae,,I don't know,,,,I don't know,,
Amy,demersal marine fishes,,mojarras,mojarra,diapterus,gerreidae,,I don't know,,,,I don't know,,
Amy,demersal marine fishes,,mojarras,mojarra,eucinostomus,gerreidae,,I don't know,,,,I don't know,,
Amy,demersal marine fishes,,mojarras,mojarra,eugerres,gerreidae,,I don't know,,,,I don't know,,
Amy,demersal marine fishes,,porkfishes/grunts,mojarra,anisotremus,haemulidae,healthy | saludable,,,,High,,Moderate IUU,
Amy,demersal marine fishes,,sargo,otras,microlepidotus,haemulidae,healthy | saludable,,,,High,,Moderate IUU,
Amy,demersal marine fishes,,grunts,otras,orthopristis,haemulidae,healthy | saludable,,,,High,,Moderate IUU,
Amy,demersal marine fishes,,salemas,otras,xenichthys,haemulidae,,I don't know,,,,I don't know,,
Amy,demersal marine fishes,,grunts,ronco,haemulopsis,haemulidae,healthy | saludable,,,,High,,Moderate IUU,
Amy,demersal marine fishes,,grunts,rubio,haemulon,haemulidae,healthy | saludable,,,,High,,Moderate IUU,
Amy,demersal marine fishes,,snappers,guachinango,lutjanus,lutjanidae,sustainable | sostenible,,,,Medium,,Low,
Amy,demersal marine fishes,,Mexican hogfish,pargo,hoplopagrus,lutjanidae,depleted | agotadas,,,,Medium,,Moderate IUU,
Amy,demersal marine fishes,,tilefishes,pierna,caulolatilus,malacanthidae,sustainable | sostenible,,,,Medium,,Low,
Amy,demersal marine fishes,,hakes,otras,merluccius,merlucciidae,depleted | agotadas,,,,Medium,,Low,
Amy,demersal marine fishes,,mullets,lisa,mugil,mugilidae,depleted | agotadas,,,,High,,Low,
Amy,demersal marine fishes,,eagle rays,raya y similares,aetobatus,myliobatidae,depleted | agotadas,,,,Medium,,Moderate IUU,
Amy,demersal marine fishes,,devil rays,raya y similares,mobula,myliobatidae,sustainable | sostenible,,,,Low,,Moderate IUU,
Amy,demersal marine fishes,,roosterfish,otras,nematistius,nematistiidae,sustainable | sostenible,,,,Medium,,Moderate IUU,
Amy,demersal marine fishes,,cusk-eels,lenguado,brotula,ophidiidae,,I don't know,,,,I don't know,Low,
