"year","Stock","Major_Functional_Group","estimated_taxa_group","new_estimated_family_name","total_biomass_kg","total_revenue"
2000,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae",6864,59515
2000,"Acanthurus","Demersal marine fishes","OTRAS","Acanthuridae",180,1800
2000,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",6397.7,20121
2000,"Anisotremus","Demersal marine fishes","MOJARRA","Haemulidae",100474.3,993590
2000,"Anoplopoma","Demersal marine fishes","OTRAS","Anoplopomatidae",40013.5,437298
2000,"Argopecten","Molluscs excl. Cephalopods","ALMEJA","Pectinidae",6172274,17112398
2000,"Balistes","Demersal marine fishes","CARPA","Balistidae",1074666.65,13769672
2000,"Brotula","Demersal marine fishes","LENGUADO","Ophidiidae",837708.2,9296946
2000,"Calamus","Demersal marine fishes","MOJARRA","Sparidae",2231,12878
2000,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",19287.2,1173688
2000,"Carcharhinus","Sharks","TIBURON","Carcharhinidae",108086.8,485346
2000,"Caulolatilus","Demersal marine fishes","PIERNA","Malacanthidae",426669.4,2265939
2000,"Centropomus","Demersal marine fishes","ROBALO","Centropomidae",357430.22,8255028
2000,"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA","Engraulidae",111230308.52,69445768
2000,"Chanos","Diadromous fishes","OTRAS","Chanidae",5212,16940
2000,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Coryphaenidae",84021.5,869050
2000,"Cynoscion","Demersal marine fishes","CORVINA","Sciaenidae",1560292.55,16642972
2000,"Diapterus","Demersal marine fishes","MOJARRA","Gerreidae",27275,151866
2000,"Diplectrum","Demersal marine fishes","OTRAS","Serranidae",16633.65,352794
2000,"Dosidicus","Cephalopods","CALAMAR","Ommastrephidae",25607661,65672707
2000,"Dosinia","Molluscs excl. Cephalopods","ALMEJA","Veneridae",359420,2123330
2000,"Epinephelus","Demersal marine fishes","MERO","Serranidae",38560.3,516343
2000,"Especies","Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea",398606,8378755
2000,"Etrumeus","Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae",4141784.64,782395
2000,"Eucinostomus","Demersal marine fishes","MOJARRA","Gerreidae",56012,365922
2000,"Eugerres","Demersal marine fishes","MOJARRA","Gerreidae",11800,50864
2000,"Farfantepenaeus","Shrimps, prawns","CAMARON","Penaeidae",14473.8,609750
2000,"Galeocerdo","Sharks","TIBURON","Carcharhinidae",108,486
2000,"Gerres","Demersal marine fishes","BANDERA","Gerreidae",33861.9,192419
2000,"Haemulon","Demersal marine fishes","RUBIO","Haemulidae",218420.1,767292
2000,"Haemulopsis","Demersal marine fishes","RONCO","Haemulidae",54258.2,249697
2000,"Hexaplex","Molluscs excl. Cephalopods","CARACOL","Muricidae",4750,3500
2000,"Hoplopagrus","Demersal marine fishes","PARGO","Lutjanidae",31122.1,438836
2000,"Hypanus","Demersal marine fishes","RAYA Y SIMILARES","Dasyatidae",1027137.2,5885763
2000,"Hyporthodus","Demersal marine fishes","BAQUETA","Serranidae",359948.4,7403716
2000,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Istiophoridae",210,2450
2000,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae",4420012,23006543
2000,"Lamna","Demersal marine fishes","PETO","Lamnidae",5859.6,62765
2000,"Lobatus","Molluscs excl. Cephalopods","CARACOL","Strombidae",8097,29552
2000,"Lutjanus","Demersal marine fishes","GUACHINANGO","Lutjanidae",1990912.65,37299897
2000,"Megapitaria","Molluscs excl. Cephalopods","ALMEJA","Veneridae",677125,2822078
2000,"Menticirrhus","Demersal marine fishes","BERRUGATA","Sciaenidae",115523.2,545468
2000,"Merluccius","Demersal marine fishes","OTRAS","Merlucciidae",214708.9,1650720
2000,"Microlepidotus","Demersal marine fishes","OTRAS","Haemulidae",469912,1946
2000,"Micropogonias","Demersal marine fishes","BERRUGATA","Sciaenidae",1897906.7,9794418
2000,"Mobula","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",1238226.1,6783442
2000,"Mugil","Demersal marine fishes","LISA","Mugilidae",1580624.8,7470319
2000,"Mustelus","Sharks","TIBURON","Triakidae",234113.35,2444076
2000,"Mycteroperca","Demersal marine fishes","CABRILLA","Serranidae",378641.35,5626622
2000,"Nematistius","Demersal marine fishes","OTRAS","Nematistiidae",698.4,3776
2000,"Oligoplites","Anchovy & Sardine (small pelagics)","SARDINA","Carangidae",339,1897
2000,"Opisthonema","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae",52185085.88,11840604
2000,"Orthopristis","Demersal marine fishes","OTRAS","Haemulidae",28976,156190
2000,"Panulirus","Crustaceans","LANGOSTA","Palinuridae",399341,25335256
2000,"Paralabrax","Demersal marine fishes","CABRILLA","Serranidae",1445314.3,7005015
2000,"Parapsettus","Demersal marine fishes","OTRAS","Ephippidae",2142,10710
2000,"Penaeus","Shrimps, prawns","CAMARON","Penaeidae",4204825.8,288042936
2000,"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES","Rhinobatidae",1266530.75,9901975
2000,"Rimapenaeus","Shrimps, prawns","CAMARON","Penaeidae",322851,4975723
2000,"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",9976.65,72031
2000,"Sardinops","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae",102058462.28,55869369
2000,"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA","Scombridae",27129688,26612304
2000,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA","Scombridae",4105006.82,30324274
2000,"Scorpaena","Demersal marine fishes","OTRAS","Scorpaenidae",35991.7,506721
2000,"Selene","Pelagic marine fish (excl. anchovy & sardine)","RONCO","Carangidae",23692.6,53861
2000,"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","Carangidae",463602.1,4682169
2000,"Sphoeroides","Demersal marine fishes","OTRAS","Tetraodontidae",228582.15,3293779
2000,"Sphyrna","Sharks","TIBURON","Sphyrnidae",2525.65,12365
2000,"Squatina","Sharks","TIBURON","Squatinidae",1178000.4,12203743
2000,"Stereolepis","Demersal marine fishes","OTRAS","Polyprionidae",383.6,9063
2000,"Synodus","Demersal marine fishes","OTRAS","Synodontidae",42018,161432
