"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Source","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment","st_b_source","end_b_source"
"goc","oligoplites","carangidae","anchovy & sardine (small pelagics)","sardina","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.4,0.65,NA,NA,"high","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Expert Opinion","Expert Opinion"
"goc","opisthonema","clupeidae","anchovy & sardine (small pelagics)","sardina","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,NA,NA,0.5,0.8,NA,NA,"high","my_best_guess","No, missing biomass priors","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Expert Opinion","Expert Opinion"
"goc","sardinops","clupeidae","anchovy & sardine (small pelagics)","sardina","CONAPESCA",TRUE,2000,2024,2011,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,0.3,0.55,NA,NA,"high","my_best_guess","No, missing biomass priors","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Expert Opinion","Expert Opinion"
"goc","etrumeus","dussumieriidae","anchovy & sardine (small pelagics)","sardina","CONAPESCA",TRUE,2000,2024,2010,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.6,0.9,0.4,0.65,NA,NA,"high","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Expert Opinion","Expert Opinion"
"goc","cetengraulis","engraulidae","anchovy & sardine (small pelagics)","sardina","CONAPESCA",TRUE,2000,2024,2011,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0,0.2,0.4,0.65,NA,NA,"high","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Expert Opinion","Expert Opinion"
"goc","dosidicus","ommastrephidae","cephalopods","calamar","CONAPESCA",TRUE,2000,2024,2011,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.3,0.5,0.01,0.15,NA,NA,"high","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","panulirus","palinuridae","crustaceans","langosta","CONAPESCA",TRUE,2000,2024,2011,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.2,0.4,0.1,0.3,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","callinectes","portunidae","crustaceans","jaiba","CONAPESCA",TRUE,2005,2023,2015,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.1,0.3,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","acanthurus","acanthuridae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.2,0.4,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","anoplopoma","anoplopomatidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2019,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.5,0.8,0.01,0.4,NA,NA,"very low","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Reference"
"goc","balistes","balistidae","demersal marine fishes","carpa","CONAPESCA",TRUE,2000,2024,2007,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.136666666666667,0.316666666666667,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","centropomus","centropomidae","demersal marine fishes","robalo","CONAPESCA",TRUE,2000,2024,2011,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,"high","best_guess_centropomus.robalito","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
