"","cinfo.stock.i.","stock","yr","ct.raw","B","lcl.B","ucl.B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"1","etrumeus","etrumeus",2000,4141.78464,21467.3347016286,18764.4515846936,30404.6946526383,0.677733374354129,0.592402143403218,0.959889832135341,0.528739971293046,0.373318596471825,0.604901128212892
"2","etrumeus","etrumeus",2001,304.4536,27389.5602133267,23103.772605013,38057.3220206962,0.86470068704175,0.72939645212305,1.20148670668517,0.0304627293687902,0.0219237906402089,0.0361136154935889
"3","etrumeus","etrumeus",2003,8032.61488,36129.4187651939,30702.4123678738,46609.3784336767,1.1406219371672,0.969288913789209,1.4714789591466,0.609296562570519,0.47229830993408,0.716996775287204
"4","etrumeus","etrumeus",2004,8145.3576,42883.2787740407,36635.8650393606,51849.1517042233,1.35384432351979,1.15661067294137,1.63690094882791,0.520540985277029,0.430527857278916,0.609307413949854
"5","etrumeus","etrumeus",2005,6829.66588,47071.7142198759,41747.4332365683,53349.0415848341,1.4860751070532,1.31798517101877,1.68425314434145,0.397623643748404,0.350837165384268,0.448334785507143
"6","etrumeus","etrumeus",2006,6638.63592,47814.1546008137,43106.1979457314,52266.3095950563,1.50951428250853,1.36088198164261,1.65007081033715,0.38050040860824,0.348088577590869,0.42205776036596
"7","etrumeus","etrumeus",2007,3544.26168,48484.9877968266,45150.6000588897,51809.2426312897,1.53069278705424,1.42542467229076,1.63564100151529,0.200332424041817,0.187478423572052,0.215127044209986
"8","etrumeus","etrumeus",2008,958.45232,50174.2203816014,47393.1093230827,52694.4260093346,1.5840226165678,1.4962216944533,1.66358663734119,0.0523507173843372,0.049846950239317,0.0554227496083985
"9","etrumeus","etrumeus",2009,512.865,53178.0553933965,51475.885104269,54380.8407985754,1.6788550336723,1.62511675503596,1.71682750778731,0.0264303775801936,0.0258457953644722,0.0273043597051497
"10","etrumeus","etrumeus",2010,10763.495,56758.2928793885,55995.3497221517,56997.6196674128,1.79188473512781,1.76779827783904,1.79944038904924,0.51970482176165,0.517522637901364,0.526785860446354
