Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Andres,anchovy & sardine (small pelagics),sustainable | sostenible,leatherjacks,sardina,oligoplites,carangidae,sustainable | sostenible,This is a really small proportion of the catch.,sustainable | sostenible,,Medium,,Very Low,
Andres,anchovy & sardine (small pelagics),,thread herrings,sardina,opisthonema,clupeidae,healthy | saludable,,healthy | saludable,,Medium,,Very Low,
Andres,anchovy & sardine (small pelagics),,sardines,sardina,sardinops,clupeidae,depleted | agotadas,,depleted | agotadas,,Medium,,Very Low,
Andres,anchovy & sardine (small pelagics),,round herrings,sardina,etrumeus,dussumieriidae,sustainable | sostenible,,sustainable | sostenible,,Medium,,Very Low,
Andres,anchovy & sardine (small pelagics),,anchovies,sardina,cetengraulis,engraulidae,sustainable | sostenible,,sustainable | sostenible,,Medium,,Very Low,
Andres,cephalopods,,jumbo squid,calamar,dosidicus,ommastrephidae,,,,,,,,
Andres,crustaceans,,spiny lobsters,langosta,panulirus,palinuridae,,,,,,,,
Andres,crustaceans,,swimming crabs,jaiba,callinectes,portunidae,,,,,,,,
Andres,demersal marine fishes,,surgeonfishes,otras,acanthurus,acanthuridae,,,,,,,,
Andres,demersal marine fishes,,sablefish,otras,anoplopoma,anoplopomatidae,,,,,,,,
Andres,demersal marine fishes,,sea catfishes,bagre,ariopsis,ariidae,,,,,,,,
Andres,demersal marine fishes,,triggerfishes,carpa,balistes,balistidae,,,,,,,,
Andres,demersal marine fishes,,snooks,robalo,centropomus,centropomidae,,,,,,,,
Andres,demersal marine fishes,,whiptail stingrays,raya y similares,hypanus,dasyatidae,,,,,,,,
Andres,demersal marine fishes,,flounders,otras,parapsettus,ephippidae,,,,,,,,
Andres,demersal marine fishes,,mojarras / silver-biddies,bandera,gerres,gerreidae,,,,,,,,
Andres,demersal marine fishes,,mojarras,mojarra,diapterus,gerreidae,,,,,,,,
Andres,demersal marine fishes,,mojarras,mojarra,eucinostomus,gerreidae,,,,,,,,
Andres,demersal marine fishes,,mojarras,mojarra,eugerres,gerreidae,,,,,,,,
Andres,demersal marine fishes,,porkfishes/grunts,mojarra,anisotremus,haemulidae,,,,,,,,
Andres,demersal marine fishes,,sargo,otras,microlepidotus,haemulidae,,,,,,,,
Andres,demersal marine fishes,,grunts,otras,orthopristis,haemulidae,,,,,,,,
Andres,demersal marine fishes,,salemas,otras,xenichthys,haemulidae,,,,,,,,
Andres,demersal marine fishes,,grunts,ronco,haemulopsis,haemulidae,,,,,,,,
Andres,demersal marine fishes,,grunts,rubio,haemulon,haemulidae,,,,,,,,
Andres,demersal marine fishes,,snappers,guachinango,lutjanus,lutjanidae,,,,,,,,
Andres,demersal marine fishes,,Mexican hogfish,pargo,hoplopagrus,lutjanidae,,,,,,,,
Andres,demersal marine fishes,,tilefishes,pierna,caulolatilus,malacanthidae,,,,,,,,
Andres,demersal marine fishes,,hakes,otras,merluccius,merlucciidae,,,,,,,,
Andres,demersal marine fishes,,mullets,lisa,mugil,mugilidae,,,,,,,,
Andres,demersal marine fishes,,eagle rays,raya y similares,aetobatus,myliobatidae,,,,,,,,
Andres,demersal marine fishes,,devil rays,raya y similares,mobula,myliobatidae,,,,,,,,
Andres,demersal marine fishes,,roosterfish,otras,nematistius,nematistiidae,,,,,,,,
Andres,demersal marine fishes,,cusk-eels,lenguado,brotula,ophidiidae,,,,,,,,
Andres,demersal marine fishes,,giant sea bass,otras,stereolepis,polyprionidae,,NOT FOUND IN THE GULF,,,,,,
Andres,demersal marine fishes,,guitarfishes,raya y similares,pseudobatos,rhinobatidae,,,,,,,,
Andres,demersal marine fishes,,parrotfishes,otras,nicholsina,scaridae,,,,,,,,
Andres,demersal marine fishes,,king croakers,berrugata,menticirrhus,sciaenidae,,,,,,,,
Andres,demersal marine fishes,,croakers,berrugata,micropogonias,sciaenidae,,,,,,,,
Andres,demersal marine fishes,,corvina / croaker?,corvina,cynoscion,sciaenidae,,,,,,,,
Andres,demersal marine fishes,,croakers,corvina,larimus,sciaenidae,,,,,,,,
Andres,demersal marine fishes,,scorpionfishes,otras,scorpaena,scorpaenidae,,,,,,,,
Andres,demersal marine fishes,,groupers,baqueta,hyporthodus,serranidae,,,,,,,,
Andres,demersal marine fishes,,groupers,cabrilla,mycteroperca,serranidae,,,,,,,,
Andres,demersal marine fishes,,sand basses,cabrilla,paralabrax,serranidae,,,,,,,,
Andres,demersal marine fishes,,groupers,mero,epinephelus,serranidae,,,,,,,,
Andres,demersal marine fishes,,sand perches,otras,diplectrum,serranidae,,,,,,,,
Andres,demersal marine fishes,,basslets,otras,paranthias,serranidae,,,,,,,,
Andres,demersal marine fishes,,porgies,mojarra,calamus,sparidae,,,,,,,,
Andres,demersal marine fishes,,lizardfishes,otras,synodus,synodontidae,,,,,,,,
Andres,demersal marine fishes,,puffers,otras,sphoeroides,tetraodontidae,,,,,,,,
Andres,diadromous fishes,,milkfish,otras,chanos,chanidae,,,,,,,,
