"Region","Landings_Datasource","StartYear","EndYear","Major_Functional_Group","estimated_taxa_group","Common_Name","Stock","estimated_family_name","Status_in_2000_Ref","Status_in_2000_ExpOp","Status_in_2000_disagreement","st_b.low_Ref","st_b.low_ExpOp","st_b.hi_Ref","st_b.hi_ExpOp","Status_in_2024_Ref","Status_in_2024_ExpOp","Status_in_2024_disagreement","end_b.low_Ref","end_b.low_ExpOp","end_b.hi_Ref","end_b.hi_ExpOp","st_b_source","end_b_source","st_b.low_new","st_b.hi_new","end_b.low_new","end_b.hi_new"
"goc","conapesca",2000,2024,"anchovy & sardine (small pelagics)","sardina","leatherjacks","oligoplites","carangidae","sustainable","sustainable","Same",0.3,0.3,0.5,0.5,"depleted","sustainable","Different",0.01,0.4,0.4,0.65,"Expert Opinion","Expert Opinion",0.3,0.5,0.4,0.65
"goc","conapesca",2000,2024,"anchovy & sardine (small pelagics)","sardina","thread herrings","opisthonema","clupeidae","UNKNOWN","healthy","Different",NA,0.5,NA,0.8,"UNKNOWN","healthy","Different",NA,0.5,NA,0.8,"Expert Opinion","Expert Opinion",0.5,0.8,0.5,0.8
"goc","conapesca",2000,2024,"anchovy & sardine (small pelagics)","sardina","sardines","sardinops","clupeidae","UNKNOWN","depleted","Different",NA,0.1,NA,0.3,"severely depleted","sustainable","Different",0.01,0.3,0.2,0.55,"Expert Opinion","Expert Opinion",0.1,0.3,0.3,0.55
"goc","conapesca",2000,2024,"anchovy & sardine (small pelagics)","sardina","round herrings","etrumeus","dussumieriidae","new / healthy","sustainable","Different",0.6,0.3,0.9,0.5,"depleted","sustainable","Different",0.01,0.4,0.3,0.65,"Expert Opinion","Expert Opinion",0.3,0.5,0.4,0.65
"goc","conapesca",2000,2024,"anchovy & sardine (small pelagics)","sardina","anchovies","cetengraulis","engraulidae","depleted","sustainable","Different",0.1,0.3,0.3,0.5,"depleted","sustainable","Different",0.1,0.4,0.3,0.65,"Expert Opinion","Expert Opinion",0.3,0.5,0.4,0.65
"goc","conapesca",2000,2024,"cephalopods","calamar","jumbo squid","dosidicus","ommastrephidae","sustainable",NA,NA,0.3,NA,0.5,NA,"severely depleted","severely depleted","Same",0.01,0.01,0.1,0.15,"Reference","Expert Opinion",0.3,0.5,0.01,0.15
"goc","conapesca",2000,2024,"crustaceans","langosta","spiny lobsters","panulirus","palinuridae","sustainable",NA,NA,0.3,NA,0.5,NA,"severely depleted","depleted","Different",0.01,0.1,0.2,0.3,"Reference","Expert Opinion",0.3,0.5,0.1,0.3
"goc","conapesca",2005,2023,"crustaceans","jaiba","swimming crabs","callinectes","portunidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","depleted","Different",0.6,0.1,1,0.3,"Reference","Expert Opinion",0.6,0.9,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","otras","surgeonfishes","acanthurus","acanthuridae","new / healthy",NA,NA,0.6,NA,0.9,NA,"depleted","depleted","Same",0.01,0.2,0.3,0.4,"Reference","Expert Opinion",0.6,0.9,0.2,0.4
"goc","conapesca",2000,2024,"demersal marine fishes","otras","sablefish","anoplopoma","anoplopomatidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"depleted",NA,NA,0.01,NA,0.4,NA,"Reference","Reference",0.6,0.9,0.01,0.4
"goc","conapesca",2000,2024,"demersal marine fishes","bagre","sea catfishes","ariopsis","ariidae","sustainable",NA,NA,0.3,NA,0.5,NA,"sustainable","depleted","Different",0.3,0.1,0.6,0.3,"Reference","Expert Opinion",0.3,0.5,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","carpa","triggerfishes","balistes","balistidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.136666666666667,0.3,0.316666666666667,"Reference","Expert Opinion",0.1,0.3,0.136666666666667,0.316666666666667
"goc","conapesca",2000,2024,"demersal marine fishes","robalo","snooks","centropomus","centropomidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.1,0.4,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","raya y similares","whiptail stingrays","hypanus","dasyatidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","depleted","Different",0.6,0.233333333333333,1,0.466666666666667,"Reference","Expert Opinion",0.6,0.9,0.233333333333333,0.466666666666667
"goc","conapesca",2000,2024,"demersal marine fishes","otras","flounders","parapsettus","ephippidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","depleted","Different",0.6,0.1,1,0.3,"Reference","Expert Opinion",0.6,0.9,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","bandera","mojarras / silver-biddies","gerres","gerreidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.2,0.4,0.4,"Reference","Expert Opinion",0.1,0.3,0.2,0.4
"goc","conapesca",2000,2024,"demersal marine fishes","mojarra","mojarras","diapterus","gerreidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","sustainable","Different",0.1,0.3,0.3,0.5,"Reference","Expert Opinion",0.1,0.3,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","mojarra","mojarras","eucinostomus","gerreidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.2,0.3,0.4,"Reference","Expert Opinion",0.1,0.3,0.2,0.4
"goc","conapesca",2000,2024,"demersal marine fishes","mojarra","mojarras","eugerres","gerreidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.2,0.4,0.4,"Reference","Expert Opinion",0.1,0.3,0.2,0.4
