"estimated_genus_name","Functional_Groups"
"CETENGRAULIS","Anchovy & Sardine (small pelagics)"
"ETRUMEUS","Anchovy & Sardine (small pelagics)"
"OPISTHONEMA","Anchovy & Sardine (small pelagics)"
"SARDINOPS","Anchovy & Sardine (small pelagics)"
"DOSIDICUS","Cephalopods"
"CALLINECTES","Crustaceans"
"PANULIRUS","Crustaceans"
"ACANTHURUS","Demersal marine fishes"
"AETOBATUS","Demersal marine fishes"
"ANISOTREMUS","Demersal marine fishes"
"ANOPLOPOMA","Demersal marine fishes"
"ARIOPSIS","Demersal marine fishes"
"BALISTES","Demersal marine fishes"
"BROTULA","Demersal marine fishes"
"CALAMUS","Demersal marine fishes"
"CAULOLATILUS","Demersal marine fishes"
"CENTROPOMUS","Demersal marine fishes"
"CYNOSCION","Demersal marine fishes"
"DIAPTERUS","Demersal marine fishes"
"DIPLECTRUM","Demersal marine fishes"
"EPINEPHELUS","Demersal marine fishes"
"EUCINOSTOMUS","Demersal marine fishes"
"EUGERRES","Demersal marine fishes"
"GERRES","Demersal marine fishes"
"HAEMULON","Demersal marine fishes"
"HAEMULOPSIS","Demersal marine fishes"
"HOPLOPAGRUS","Demersal marine fishes"
"HYPANUS","Demersal marine fishes"
"HYPORTHODUS","Demersal marine fishes"
"LARIMUS","Demersal marine fishes"
"LUTJANUS","Demersal marine fishes"
"MENTICIRRHUS","Demersal marine fishes"
"MERLUCCIUS","Demersal marine fishes"
"MICROLEPIDOTUS","Demersal marine fishes"
"MICROPOGONIAS","Demersal marine fishes"
"MOBULA","Demersal marine fishes"
"MUGIL","Demersal marine fishes"
"MYCTEROPERCA","Demersal marine fishes"
"NEMATISTIUS","Demersal marine fishes"
"NICHOLSINA","Demersal marine fishes"
"ORTHOPRISTIS","Demersal marine fishes"
"PARALABRAX","Demersal marine fishes"
"PARANTHIAS","Demersal marine fishes"
"PARAPSETTUS","Demersal marine fishes"
"PSEUDOBATOS","Demersal marine fishes"
"PSEUDUPENEUS","Demersal marine fishes"
"SCORPAENA","Demersal marine fishes"
"SPHOEROIDES","Demersal marine fishes"
"STEREOLEPIS","Demersal marine fishes"
"SYNODUS","Demersal marine fishes"
"LAMNA","Demersal marine fishes | Sharks"
"CHANOS","Diadromous fishes"
"ESPECIES","Echinoderms"
"MESOCENTROTUS","Echinoderms"
"STRONGYLOCENTROTUS","Echinoderms"
"STOMOLOPHUS","Jellies"
"GELIDIUM","Marine algae"
"ARGOPECTEN","Molluscs excl. Cephalopods"
"CHIONE","Molluscs excl. Cephalopods"
"DOSINIA","Molluscs excl. Cephalopods"
"HALIOTIS","Molluscs excl. Cephalopods"
"HEXAPLEX","Molluscs excl. Cephalopods"
"LOBATUS","Molluscs excl. Cephalopods"
"MEGAPITARIA","Molluscs excl. Cephalopods"
"MEGASTRAEA","Molluscs excl. Cephalopods"
"PANOPEA","Molluscs excl. Cephalopods"
"TURBO","Molluscs excl. Cephalopods"
"ABLENNES","Pelagic marine fish (excl. anchovy & sardine)"
"CARANX","Pelagic marine fish (excl. anchovy & sardine)"
"CORYPHAENA","Pelagic marine fish (excl. anchovy & sardine)"
"EUTHYNNUS","Pelagic marine fish (excl. anchovy & sardine)"
"ISTIOPHORUS","Pelagic marine fish (excl. anchovy & sardine)"
"KATSUWONUS","Pelagic marine fish (excl. anchovy & sardine)"
"SARDA","Pelagic marine fish (excl. anchovy & sardine)"
"SCOMBER","Pelagic marine fish (excl. anchovy & sardine)"
"SCOMBEROMORUS","Pelagic marine fish (excl. anchovy & sardine)"
"SELENE","Pelagic marine fish (excl. anchovy & sardine)"
"SERIOLA","Pelagic marine fish (excl. anchovy & sardine)"
"SPHYRAENA","Pelagic marine fish (excl. anchovy & sardine)"
"THUNNUS","Pelagic marine fish (excl. anchovy & sardine)"
"TRACHINOTUS","Pelagic marine fish (excl. anchovy & sardine)"
"TRICHIURUS","Pelagic marine fish (excl. anchovy & sardine)"
"XIPHIAS","Pelagic marine fish (excl. anchovy & sardine)"
"OLIGOPLITES","Pelagic marine fish (excl. anchovy & sardine) | Anchovy & Sardine (small pelagics)"
"ALOPIAS","Sharks"
"CARCHARHINUS","Sharks"
"GALEOCERDO","Sharks"
"GINGLYMOSTOMA","Sharks"
"ISURUS","Sharks"
"MUSTELUS","Sharks"
"NASOLAMIA","Sharks"
"PRIONACE","Sharks"
"SPHYRNA","Sharks"
"SQUATINA","Sharks"
"FARFANTEPENAEUS","Shrimps, prawns"
"LITOPENAEUS","Shrimps, prawns"
"PENAEUS","Shrimps, prawns"
"RIMAPENAEUS","Shrimps, prawns"
"SICYONIA","Shrimps, prawns"
