"year","estimated_genus_name","Major_Functional_Group","total_biomass_kg","total_revenue"
2000,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)",6864,59515
2000,"Acanthurus","Demersal marine fishes",471,4169
2000,"Aetobatus","Demersal marine fishes",10192.2,31213
2000,"Anisotremus","Demersal marine fishes",206167.1,1366815
2000,"Anoplopoma","Demersal marine fishes",40013.5,437298
2000,"Argopecten","Molluscs excl. Cephalopods",6172454,17114198
2000,"Ariopsis","Demersal marine fishes",13638.5,95207
2000,"Balistes","Demersal marine fishes",1124780.4,14003718
2000,"Brotula","Demersal marine fishes",842936.5,9320889
2000,"Calamus","Demersal marine fishes",3421,16788
2000,"Caranx","Pelagic marine fish (excl. anchovy & sardine)",19287.2,1173688
2000,"Carcharhinus","Sharks",108086.8,485346
2000,"Caulolatilus","Demersal marine fishes",1075804.7,5205655
2000,"Centropomus","Demersal marine fishes",375836.32,8677924
2000,"Cetengraulis","Anchovy & Sardine (small pelagics)",111230308.52,69445768
2000,"Chanos","Diadromous fishes",5272.5,17270
2000,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)",88898.4,923047
2000,"Cynoscion","Demersal marine fishes",1988163.85,19959806
2000,"Diapterus","Demersal marine fishes",27275,151866
2000,"Diplectrum","Demersal marine fishes",42273.65,830507
2000,"Dosidicus","Cephalopods",27436745,66952711
2000,"Dosinia","Molluscs excl. Cephalopods",359420,2123330
2000,"Epinephelus","Demersal marine fishes",71475.1,857018
2000,"Especies","Echinoderms",425548,8823617
2000,"Etrumeus","Anchovy & Sardine (small pelagics)",4141784.64,782395
2000,"Eucinostomus","Demersal marine fishes",56988,369606
2000,"Eugerres","Demersal marine fishes",11800,50864
2000,"Farfantepenaeus","Shrimps, prawns",14473.8,609750
2000,"Galeocerdo","Sharks",1617,6706
2000,"Gelidium","Marine algae",4123655,4688314
2000,"Gerres","Demersal marine fishes",33861.9,192419
2000,"Ginglymostoma","Sharks",6941.8,23977
2000,"Haemulon","Demersal marine fishes",232461.9,810840
2000,"Haemulopsis","Demersal marine fishes",139423.1,541828
2000,"Haliotis","Molluscs excl. Cephalopods",632436.38,58405059
2000,"Hexaplex","Molluscs excl. Cephalopods",4750,3500
2000,"Hoplopagrus","Demersal marine fishes",40043.8,544531
2000,"Hypanus","Demersal marine fishes",1434106.9,7409171
2000,"Hyporthodus","Demersal marine fishes",368902.1,7528717
2000,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)",210,2450
2000,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)",4420012,23006543
2000,"Lamna","Demersal marine fishes",551,3143
2000,"Lamna","Sharks",5746.1,67107
2000,"Litopenaeus","Shrimps, prawns",56958.2,4742268
2000,"Lobatus","Molluscs excl. Cephalopods",8097,29552
2000,"Lutjanus","Demersal marine fishes",2360311.6,44034954
2000,"Megapitaria","Molluscs excl. Cephalopods",1402632,4508520
2000,"Megastraea","Molluscs excl. Cephalopods",1584048,4802482
2000,"Menticirrhus","Demersal marine fishes",360064.3,1283199
2000,"Merluccius","Demersal marine fishes",214923.4,1651110
2000,"Mesocentrotus","Echinoderms",5205,104100
2000,"Microlepidotus","Demersal marine fishes",573272.5,973539
2000,"Micropogonias","Demersal marine fishes",1920162.6,9858585
2000,"Mobula","Demersal marine fishes",1335325.6,7163014
2000,"Mugil","Demersal marine fishes",1926891.8,8735349
2000,"Mustelus","Sharks",246002.1,2513957
2000,"Mycteroperca","Demersal marine fishes",459249.25,6765056
2000,"Nematistius","Demersal marine fishes",698.4,3776
2000,"Nicholsina","Demersal marine fishes",4823,54119
2000,"Oligoplites","Pelagic marine fish (excl. anchovy & sardine)",339,1897
2000,"Opisthonema","Anchovy & Sardine (small pelagics)",52185085.88,11840604
2000,"Orthopristis","Demersal marine fishes",29854,158542
2000,"Panulirus","Crustaceans",1973829,97400766
2000,"Paralabrax","Demersal marine fishes",4242975.4,14987789
2000,"Paranthias","Demersal marine fishes",1560,17832
2000,"Parapsettus","Demersal marine fishes",2142,10710
2000,"Penaeus","Shrimps, prawns",4358458.2,289551358
2000,"Pseudobatos","Demersal marine fishes",1491063.55,10988885
2000,"Pseudupeneus","Demersal marine fishes",43705.4,1301935
2000,"Rimapenaeus","Shrimps, prawns",322851,4975723
2000,"Sarda","Pelagic marine fish (excl. anchovy & sardine)",50761.65,164640
2000,"Sardinops","Anchovy & Sardine (small pelagics)",102058462.28,55869369
2000,"Scomber","Pelagic marine fish (excl. anchovy & sardine)",27140816.5,26627664
2000,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)",4632528.82,33614993
2000,"Scorpaena","Demersal marine fishes",84929,570533
2000,"Selene","Pelagic marine fish (excl. anchovy & sardine)",23692.6,53861
2000,"Seriola","Pelagic marine fish (excl. anchovy & sardine)",881692.1,7334294
2000,"Sicyonia","Shrimps, prawns",1559288.4,11847984
2000,"Sphoeroides","Demersal marine fishes",367279.15,4647743
2000,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)",1158,10012
2000,"Sphyrna","Sharks",2525.65,12365
2000,"Squatina","Sharks",1487600.3,13981129
2000,"Stereolepis","Demersal marine fishes",383.6,9063
2000,"Synodus","Demersal marine fishes",42710,165204
2000,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)",52638154,310687792
2000,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)",211690.9,950082
2000,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)",38715.75,647210
2001,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)",1049,7960
2001,"Acanthurus","Demersal marine fishes",3661,67115
2001,"Aetobatus","Demersal marine fishes",17111.75,44653
2001,"Alopias","Sharks",51,510
2001,"Anisotremus","Demersal marine fishes",181395.3,1580988
2001,"Anoplopoma","Demersal marine fishes",50079,449151
2001,"Argopecten","Molluscs excl. Cephalopods",2721614,13609568
2001,"Ariopsis","Demersal marine fishes",15388,83939
2001,"Balistes","Demersal marine fishes",704349.4,5616751
2001,"Brotula","Demersal marine fishes",316844.7,3327553
2001,"Calamus","Demersal marine fishes",17774,76524
2001,"Caranx","Pelagic marine fish (excl. anchovy & sardine)",34208.5,2115487
2001,"Carcharhinus","Sharks",132004.3,481583
2001,"Caulolatilus","Demersal marine fishes",1092934.2,5446251
2001,"Centropomus","Demersal marine fishes",421582.3,10077393
2001,"Cetengraulis","Anchovy & Sardine (small pelagics)",124457771.12,7576806
2001,"Chanos","Diadromous fishes",7106,24605
2001,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)",129575.65,1447880
2001,"Cynoscion","Demersal marine fishes",4895282.55,42312677
2001,"Diapterus","Demersal marine fishes",22352,123122
2001,"Diplectrum","Demersal marine fishes",38491.85,735235
2001,"Dosidicus","Cephalopods",25687744.45,34350653
2001,"Dosinia","Molluscs excl. Cephalopods",169168,859224
2001,"Epinephelus","Demersal marine fishes",51880.9,658349
2001,"Especies","Echinoderms",441947,9140855
2001,"Etrumeus","Anchovy & Sardine (small pelagics)",304453.6,0
2001,"Eucinostomus","Demersal marine fishes",73082,473732
2001,"Eugerres","Demersal marine fishes",20487,108522
2001,"Farfantepenaeus","Shrimps, prawns",7909.8,435615
2001,"Galeocerdo","Sharks",4593.5,22262
2001,"Gelidium","Marine algae",4765200,4415313
2001,"Gerres","Demersal marine fishes",126178.3,767266
2001,"Ginglymostoma","Sharks",3667,31468
2001,"Haemulon","Demersal marine fishes",309885.5,1267307
2001,"Haemulopsis","Demersal marine fishes",121758,550171
2001,"Haliotis","Molluscs excl. Cephalopods",576130.98,41969952
2001,"Hexaplex","Molluscs excl. Cephalopods",20000,0
2001,"Hoplopagrus","Demersal marine fishes",59065.2,726195
2001,"Hypanus","Demersal marine fishes",1536405.1,7689494
2001,"Hyporthodus","Demersal marine fishes",311635.3,6766375
2001,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)",4803521,28819811
2001,"Lamna","Sharks",2298.8,33301
2001,"Litopenaeus","Shrimps, prawns",39562.2,2796440
2001,"Lobatus","Molluscs excl. Cephalopods",10000,0
2001,"Lutjanus","Demersal marine fishes",2650341.35,52336140
2001,"Megapitaria","Molluscs excl. Cephalopods",1740347,5683314
2001,"Megastraea","Molluscs excl. Cephalopods",1762877,4079056
2001,"Menticirrhus","Demersal marine fishes",232364.3,808488
2001,"Merluccius","Demersal marine fishes",655861.5,3429211
2001,"Mesocentrotus","Echinoderms",1852527,42632375
2001,"Microlepidotus","Demersal marine fishes",119474,1170850
2001,"Micropogonias","Demersal marine fishes",2222582.5,9721907
2001,"Mobula","Demersal marine fishes",901850.55,4872954
2001,"Mugil","Demersal marine fishes",2140619,10708950
2001,"Mustelus","Sharks",124934.25,1085004
2001,"Mycteroperca","Demersal marine fishes",534179,6793209
2001,"Nematistius","Demersal marine fishes",1534.1,6908
2001,"Nicholsina","Demersal marine fishes",4005,59713
2001,"Oligoplites","Pelagic marine fish (excl. anchovy & sardine)",204,766
2001,"Opisthonema","Anchovy & Sardine (small pelagics)",44310481.56,5371050
2001,"Orthopristis","Demersal marine fishes",44721,169825
2001,"Panulirus","Crustaceans",1665550,91944135
2001,"Paralabrax","Demersal marine fishes",3298968.3,13141424
2001,"Paranthias","Demersal marine fishes",1919,20787
2001,"Parapsettus","Demersal marine fishes",1744,8720
2001,"Penaeus","Shrimps, prawns",5258919.8,315355411
2001,"Prionace","Sharks",88338.5,484521
2001,"Pseudobatos","Demersal marine fishes",1143684.9,8663372
2001,"Pseudupeneus","Demersal marine fishes",24445.7,508537
2001,"Rimapenaeus","Shrimps, prawns",232081.2,3486993
2001,"Sarda","Pelagic marine fish (excl. anchovy & sardine)",121931.1,274002
2001,"Sardinops","Anchovy & Sardine (small pelagics)",295729983.56,104448187
2001,"Scomber","Pelagic marine fish (excl. anchovy & sardine)",13201205.64,8652436
2001,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)",4391278.52,33102061
2001,"Scorpaena","Demersal marine fishes",110373.2,836637
2001,"Selene","Pelagic marine fish (excl. anchovy & sardine)",48132,172993
2001,"Seriola","Pelagic marine fish (excl. anchovy & sardine)",1255158.2,8862472
2001,"Sicyonia","Shrimps, prawns",484839.6,3798060
2001,"Sphoeroides","Demersal marine fishes",461726.1,5951580
2001,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)",1035,8280
2001,"Sphyrna","Sharks",4280.7,20690
2001,"Squatina","Sharks",937138.75,8006066
2001,"Stereolepis","Demersal marine fishes",131.5,2469
2001,"Strongylocentrotus","Echinoderms",365383,8603899
2001,"Synodus","Demersal marine fishes",24121,110732
2001,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)",90398795,638380762
2001,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)",161762.9,800870
2001,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)",575084.25,21638845
2002,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)",1439.5,9041
2002,"Acanthurus","Demersal marine fishes",10437,118477
2002,"Aetobatus","Demersal marine fishes",7446.3,30569
2002,"Alopias","Sharks",20372,159952
2002,"Anisotremus","Demersal marine fishes",150619.1,871607
2002,"Anoplopoma","Demersal marine fishes",19657,138541
2002,"Argopecten","Molluscs excl. Cephalopods",9850647,50140465
2002,"Ariopsis","Demersal marine fishes",6361,34042
2002,"Balistes","Demersal marine fishes",413427.15,3260652
2002,"Brotula","Demersal marine fishes",32845.4,356028
2002,"Calamus","Demersal marine fishes",18015,91356
2002,"Caranx","Pelagic marine fish (excl. anchovy & sardine)",38570,1838110
2002,"Carcharhinus","Sharks",86126.3,278020
2002,"Caulolatilus","Demersal marine fishes",629178.95,3697335
2002,"Centropomus","Demersal marine fishes",321141,7606132
2002,"Chanos","Diadromous fishes",33938.5,129680
2002,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)",123335.35,1547215
2002,"Cynoscion","Demersal marine fishes",5059757.45,38346394
2002,"Diapterus","Demersal marine fishes",8127,48389
2002,"Diplectrum","Demersal marine fishes",72918.85,1472540
2002,"Dosidicus","Cephalopods",41982182.95,39100199
2002,"Dosinia","Molluscs excl. Cephalopods",83341,262218
2002,"Epinephelus","Demersal marine fishes",45719.5,653211
2002,"Especies","Echinoderms",290459,2393367
2002,"Eucinostomus","Demersal marine fishes",84368,622349
