"year","estimated_genus_name","Major_Functional_Group","estimated_taxa_group","total_biomass_kg","total_revenue"
2000,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",6864,59515
2000,"Acanthurus","Demersal marine fishes","OTRAS",471,4169
2000,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES",10192.2,31213
2000,"Anisotremus","Demersal marine fishes","OTRAS",206167.1,1366815
2000,"Anoplopoma","Demersal marine fishes","OTRAS",40013.5,437298
2000,"Argopecten","Molluscs excl. Cephalopods","ALMEJA",6172454,17114198
2000,"Ariopsis","Demersal marine fishes","BAGRE",13638.5,95207
2000,"Balistes","Demersal marine fishes","OTRAS",1125040.4,14005018
2000,"Brotula","Demersal marine fishes","LENGUADO",842936.5,9320889
2000,"Calamus","Demersal marine fishes","MOJARRA",3421,16788
2000,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",19287.2,1173688
2000,"Carcharhinus","Sharks","TIBURON",108086.8,485346
2000,"Caulolatilus","Demersal marine fishes","PIERNA",1075804.7,5205655
2000,"Centropomus","Demersal marine fishes","ROBALO",381391.52,8836257
2000,"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA",111230308.52,69445768
2000,"Chanos","Diadromous fishes","OTRAS",5272.5,17270
2000,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",89348.4,928447
2000,"Cynoscion","Demersal marine fishes","CORVINA",1988163.85,19959806
2000,"Diapterus","Demersal marine fishes","MOJARRA",27275,151866
2000,"Diplectrum","Demersal marine fishes","OTRAS",42273.65,830507
2000,"Dosidicus","Cephalopods","CALAMAR",27436745,66952711
2000,"Dosinia","Molluscs excl. Cephalopods","ALMEJA",359420,2123330
2000,"Epinephelus","Demersal marine fishes","MERO",71475.1,857018
2000,"Especies","Echinoderms","PEPINO DE MAR",425548,8823617
2000,"Etrumeus","Anchovy & Sardine (small pelagics)","SARDINA",4141784.64,782395
2000,"Eucinostomus","Demersal marine fishes","MOJARRA",56988,369606
