"Stock","int_b.low","int_b.hi","end_b.low","end_b.hi"
"ablennes",NA,NA,0.01,0.4
"acanthurus",NA,NA,0.01,0.3
"aetobatus",NA,NA,NA,NA
"anisotremus",NA,NA,NA,NA
"anoplopoma",NA,NA,0.01,0.4
"argopecten",NA,NA,0.01,0.3
"ariopsis",NA,NA,NA,NA
"balistes",NA,NA,NA,NA
"brotula",NA,NA,NA,NA
"calamus",NA,NA,0.01,0.2
"caranx",NA,NA,NA,NA
"carcharhinus",NA,NA,NA,NA
"caulolatilus",NA,NA,0.01,0.4
"centropomus",NA,NA,NA,NA
"cetengraulis",NA,NA,NA,NA
"chanos",NA,NA,NA,NA
"coryphaena",NA,NA,NA,NA
"cynoscion",NA,NA,NA,NA
"diapterus",NA,NA,NA,NA
"diplectrum",NA,NA,NA,NA
"dosidicus",NA,NA,0.01,0.1
"dosinia",NA,NA,NA,NA
"epinephelus",NA,NA,0.01,0.3
"especies",NA,NA,0.01,0.1
"etrumeus",NA,NA,0.01,0.3
"eucinostomus",NA,NA,NA,NA
"eugerres",NA,NA,NA,NA
"farfantepenaeus",NA,NA,0.01,0.4
"galeocerdo",NA,NA,NA,NA
"gelidium",NA,NA,0.01,0.1
"gerres",NA,NA,NA,NA
"ginglymostoma",NA,NA,0.01,0.3
"haemulon",NA,NA,NA,NA
"haemulopsis",NA,NA,NA,NA
"haliotis",NA,NA,0.01,0.1
"hexaplex",NA,NA,0.01,0.4
"hoplopagrus",NA,NA,NA,NA
"hypanus",NA,NA,NA,NA
"hyporthodus",NA,NA,NA,NA
"istiophorus",NA,NA,NA,NA
"katsuwonus",NA,NA,NA,NA
"lamna",NA,NA,0.01,0.2
"litopenaeus",NA,NA,NA,NA
"lobatus",NA,NA,NA,NA
"lutjanus",NA,NA,NA,NA
"megapitaria",NA,NA,0.01,0.3
"megastraea",NA,NA,0.01,0.1
"menticirrhus",NA,NA,0.01,0.3
"merluccius",NA,NA,NA,NA
"mesocentrotus",NA,NA,0.01,0.1
"microlepidotus",NA,NA,0.01,0.2
"micropogonias",NA,NA,NA,NA
"mobula",NA,NA,NA,NA
"mugil",NA,NA,0.01,0.3
"mustelus",NA,NA,NA,NA
"mycteroperca",NA,NA,NA,NA
"nematistius",NA,NA,0.01,0.2
"nicholsina",NA,NA,0.01,0.2
"oligoplites",NA,NA,0.01,0.4
"opisthonema",NA,NA,NA,NA
"orthopristis",NA,NA,NA,NA
"panulirus",NA,NA,0.01,0.2
"paralabrax",NA,NA,0.01,0.4
"paranthias",NA,NA,0.01,0.2
"parapsettus",NA,NA,NA,NA
"penaeus",NA,NA,NA,NA
"pseudobatos",NA,NA,0.01,0.4
"pseudupeneus",NA,NA,0.01,0.1
"rimapenaeus",NA,NA,0.01,0.4
"sarda",NA,NA,NA,NA
"sardinops",NA,NA,0.01,0.2
"scomber",NA,NA,0.01,0.4
"scomberomorus",NA,NA,NA,NA
"scorpaena",NA,NA,0.01,0.1
"selene",NA,NA,0.01,0.4
"seriola",NA,NA,NA,NA
"sicyonia",NA,NA,0.01,0.1
"sphoeroides",NA,NA,NA,NA
"sphyraena",NA,NA,0.01,0.3
"sphyrna",NA,NA,0.01,0.4
"squatina",NA,NA,NA,NA
"stereolepis",NA,NA,NA,NA
"synodus",NA,NA,NA,NA
"thunnus",NA,NA,NA,NA
"trachinotus",NA,NA,0.01,0.2
"xiphias",NA,NA,NA,NA
"alopias",NA,NA,NA,NA
"prionace",NA,NA,NA,NA
"strongylocentrotus",NA,NA,0.01,0.1
"euthynnus",NA,NA,0.01,0.4
"callinectes",NA,NA,NA,NA
"isurus",NA,NA,NA,NA
"larimus",NA,NA,0.01,0.3
"panopea",NA,NA,NA,NA
"nasolamia",NA,NA,0.01,0.4
"trichiurus",NA,NA,0.01,0.3
"turbo",NA,NA,NA,NA
"stomolophus",NA,NA,NA,NA
"chione",NA,NA,NA,NA
