Year,Almejas,Bandera,Barrilete,Berrugata,Cabrilla,Calamar,Caracol,Cazon,Corvina,Dorado,Guachinango,Jaiba,Jurel,Langosta,Lenguado,Lisa,Mero,Mojarra,Ostion,Snapper,Pierna,Pulpo,Raya y similares,Robalo,Sierra,Tiburon,Total shrimp
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,50500
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,51000
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,39500
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,39300
1954,,500,,,500,,,,,,,1200,400,1500,,3400,,1200,,,,,,,,3600,35800
1955,1500,500,,,600,,,,,,,900,600,1600,600,2800,,800,,,,,,,,3800,43200
1956,2100,500,,,700,,,,,,,1500,400,1300,300,3800,,1100,,,,,,,,4100,44800
1957,2500,400,,,700,,,,,,,2400,400,1400,300,3000,,1200,,,,,,,,4500,43700
1958,1600,400,,,,,,,,,,700,500,1300,100,2000,,1000,,2000,,,,,,5600,50200
1959,1300,400,,,,,,,,,,600,1000,800,100,3400,,1500,,3000,,,,,,4600,60300
1960,1800,300,,,,,,,,,,600,500,800,100,4800,,500,,1000,,,,,,4700,66800
1961,2200,300,,,,,,,,,,600,500,1200,200,4100,,500,,1000,,,,,,3600,72300
1962,2000,,,,,,,,,,,600,500,1200,200,3900,,1000,,2000,,,,,,3400,70600
1963,2000,200,,,,,,,,,,600,800,1400,200,3800,,1700,,3300,,,,1000,,1700,70000
1964,1100,300,,400,500,,,,400,,,400,1300,1100,200,2200,200,1100,1700,1200,,,,1000,1800,1700,48800
1965,1300,200,,600,600,100,,,600,,,200,800,1100,300,2300,100,1100,2800,1900,,,,800,1200,2000,38800
1966,900,200,,300,600,200,,,300,,,200,1000,1200,400,4200,100,1000,1000,1900,,,,800,1000,2500,44800
1967,2000,300,,200,700,100,,,200,,,300,600,1700,400,4200,200,1000,600,2600,,,,600,1100,3300,48300
1968,1400,200,,200,900,,,,200,,,300,1100,1100,300,4300,400,1200,800,4000,,,,500,1400,3100,35500
1969,2900,200,,100,800,200,,,100,,,500,600,1200,400,4100,300,1000,1300,3100,,,,500,1300,5900,33400
1970,2700,200,,100,400,100,,2100,100,,,100,700,1400,200,4100,200,1200,1700,2000,,,,400,2800,6000,43200
1971,2800,300,,100,600,100,,2800,100,,,200,800,1700,400,3800,300,1000,1400,3000,,200,,600,3700,5200,43300
1972,13900,100,,100,700,200,,2400,100,,,100,1200,1500,300,3500,200,3200,500,2500,,,,400,4500,4800,44400
1973,3000,100,,100,600,100,,3400,100,,,100,1600,1500,200,4900,2700,1600,700,2000,,,,300,3300,8100,46000
1974,2324,98,,131,840,90,,4293,131,1,,28,1951,1369,208,3686,3081,1382,607,2449,,34,13,229,3350,9002,44925
1975,2850,52,,221,1100,365,,3693,221,2,,414,1311,1371,285,4538,2668,1431,782,1916,,22,20,261,4239,7538,44146
1976,1955,78,,182,325,897,,4551,182,,,357,940,1461,375,3879,2079,7068,1274,2035,,60,41,383,4083,6109,29417
1977,3404,,,390,277,658,,5424,390,4,,232,1910,1331,891,4035,2672,7643,2367,2660,,26,68,310,3379,6262,27600
1978,5493,714,,633,354,1635,,8037,633,,,135,2032,1302,1192,5007,2341,10083,1740,3380,,16,26,320,3644,9224,41225
1979,6029,402,,478,230,4522,,9137,478,14,,264,1311,1448,1036,5322,,4032,2495,2855,,105,60,532,4064,11314,46060
1980,9436,133,,2116,821,19068,,9017,2116,26,,361,2373,1841,1013,5847,,14614,2606,3603,,65,127,447,4028,11951,49846
1981,8905,466,,2921,547,9726,,11139,2921,147,,447,3003,2172,1608,14058,,35017,4244,5956,,243,312,995,5666,14423,41731
1982,10347,404,,2794,445,264,,9659,2794,127,,624,2026,1897,1034,9517,,39859,4509,4636,,309,270,1560,4200,14821,55172
1983,6930,446,,3616,1347,89,,5590,3616,9,,554,2055,1355,640,40,,2712,3038,1739,,34,100,873,2606,11902,53790
1984,2155,284,,1687,,364,,6115,1687,16,,309,2063,1364,545,55,5280,3872,1797,4677,,64,69,917,3014,12338,50964
1985,5016,535,,3101,,177,,6789,3101,71,,561,1821,1126,870,38,473,6145,4205,2827,,284,1226,706,3832,11645,49088
1986,7840,202,,1707,,269,,5777,1707,222,,1431,1675,1413,902,23,834,3835,3923,3668,,499,540,545,3024,11066,48854
1987,7706,656,,1927,,225,,5292,1927,162,,2333,1894,1432,1385,6692,763,4357,4390,2998,,281,849,729,3108,9811,59292
1988,10740,437,,1793,,885,,6546,1793,47,,2738,3290,1289,1621,5017,518,6040,4092,2737,,772,1843,807,2585,13699,50046
1989,14123,179,,2544,,7380,,6484,2544,72,,4182,2763,1475,2616,4202,690,4574,4468,2804,,1321,1551,539,4328,11097,49728
1990,8610,1177,,4217,,5630,,9405,4217,46,,4149,2228,1700,2814,4177,727,4628,2051,3620,,1000,4511,450,7147,12818,34081
1991,7773,1221,,4374,,5846,,7788,4374,82,,2531,2388,1453,3256,3957,691,4445,1725,3727,,1468,4680,603,5404,11634,36185
1992,6028,1048,,3755,,8549,,6169,3755,162,,2125,3164,1408,2202,3786,735,4947,1667,4734,,830,4017,481,4599,14573,35174
1993,5719,1023,,3666,,3043,,6764,3666,230,,2706,983,1136,1973,4107,1928,4792,2033,4357,,1196,3922,757,5756,15825,40280
1994,6449,1079,,3867,,1800,,5985,3867,9,,4955,1146,1294,1192,3832,1414,4786,615,4081,,966,4137,1026,5625,16348,41134
1995,7272,1234,,3432,,39657,,6334,3432,26,,10395,1723,1421,1980,3952,2588,7085,1801,3810,,877,4411,563,5137,15959,46599
1996,5872,1101,,5036,,107967,,5849,5036,70,,13602,2049,1799,2342,3764,5254,6841,1354,4917,,1257,5150,587,5742,16841,44114
1997,5279,1338,,4966,,120877,,3482,4966,113,,10073,2281,1708,2540,3467,7126,3946,1903,3123,,944,4578,684,5405,13330,49083
1998,4690,1755,,5476,,26611,,2988,5476,115,,6503,2198,1599,1165,2987,6158,1945,1276,3390,535,755,4757,752,3896,13982,43416
1999,5366,1603,,4602,,57985,,2789,4602,104,,6670,1931,1328,2071,3449,6800,2114,2489,2994,622,1094,4875,996,5265,15350,46336
2000,5510,1377,,3705,,56153,,3210,3705,201,,12036,2487,2052,2568,3129,5306,1724,1828,3392,1073,883,4944,809,6261,16755,40309
2001,4182,1772,,3728,,73741,,2859,3728,208,,11204,2868,1727,1664,3166,4037,1800,2234,3388,979,837,4405,862,5959,15654,35662
2002,3258,1445,,2798,,115896,,2450,2798,345,,7896,2729,1923,1573,4206,5115,1692,2218,3733,927,676,4098,686,4815,15811,36100
2003,3563,432,,1914,,97332,,3000,1914,322,,7680,3840,2044,1907,2845,2599,1862,1790,1251,1170,654,4904,1351,5020,16145,48398
2004,3234,617,,1288,,87228,,3268,1288,362,,8047,3795,1757,2068,2965,2513,2049,1721,1138,1284,994,4993,1169,7723,18060,39052
2005,7299,3017,695,3373,,53437,,3040,3373,504,3960,10481,3909,1746,2033,3090,1569,953,1505,63,2244,758,5997,1409,6861,15646,43779
2006,7622,3151,53,3522,,65611,,3174,3522,526,4135,10944,4081,1823,2123,3227,1639,995,1571,66,2343,791,4614,1472,6072,16338,45714
2007,6997,2881,1182,3632,,57476,,3170,3632,712,4104,16240,4452,1601,2785,3112,2358,818,2209,119,2524,1004,5114,1644,7192,15096,54218
2008,8187,2724,3129,4222,,84437,,2224,4222,1074,3097,18489,4599,2056,2814,3192,2532,971,1090,102,2336,1166,4199,1533,7200,12217,48718
2009,8376,2804,3539,4812,,57894,,3258,4812,1044,1508,15737,4537,1816,2950,2386,1672,1023,1029,84,2148,2165,4075,1422,5776,11857,47520
2010,8512,2660,2464,4986,,42893,,2819,4986,1260,1178,19795,12772,2890,3384,2463,1154,1256,2157,95,2259,2134,3922,1568,7230,18721,50297
2011,6327,1912,2114,4262,,34844,,2736,4262,1271,1077,10757,4935,2990,2845,2613,457,1194,40244,75,2186,1275,4442,998,6919,13076,55537
2012,6403,3037,3407,2020,,23157,,2933,2020,1028,2862,12569,5312,2494,3123,2962,184,546,4434,87,1784,1411,5031,1599,7669,12376,42142
2013,10024,3585,2450,169,,11132,,1552,169,646,4652,17046,6820,2601,4174,454,1295,840,2096,327,1688,1672,6201,2202,9643,16132,53895
2014,22387,4450,2987,108,,9977,,3003,108,715,8153,22280,10234,3681,5252,378,1874,877,3568,522,2222,1901,6537,3287,12076,14710,53455
2015,16301,5132,2351,108,,2866,,4286,108,761,11380,27155,10167,3749,5653,547,2562,991,4963,470,2569,1742,9513,3177,12046,19991,70763
