Country (Name),ASFIS species (Scientific name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Mexico,ACANTHURIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5.77,
Mexico,ALBULIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,879.48,,855.69,,296.39,,343.08,,316,,375.18,
Mexico,ALBULIDAE,"Pacific, Eastern Central",Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9.57,,0,...,27.64,,0,...,0,...,0,...
Mexico,ALOPIIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1753.96,,2148.09,,1441.06,,1292.54,,2400.39,,2190.44,
Mexico,ALOSIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",15000,,15000,,5000,,5000,,5500,,5300,,11400,,8200,,14900,,19500,,17400,,20300,,14800,,19400,,19000,,20300,,18600,,29400,,27000,,30100,,35300,,50600,,53400,,64600,,84136,,121906,,142073,,107340,,155924,,186036,,328096,,344433,,432588,,381373,,278331,,372344,,470534,,477076,,446127,,509248,,313602,,325330,,279293,,272630,,287620,,320999,,418093,,455837,,339317,,345458,,478191,,609777,,624817,,561929,,475657,,252747,,268919,,431760,,655431,,691680,,630221,,592862,,264468,,192532,,174182,,54978,,107597,,61026,,120509,,305618.8,,483400.09,,388112.51,,342643.35,,317507.36,,343821.06,
Mexico,ANOPLOPOMATIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,24.81,
Mexico,APOGONIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,228.76,,145.08,
Mexico,ARCIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,400,,500,,100,,100,,100,,0,N,0,N,100,,600,,500,,491,,1020,,818,,746,,0,...,0,...,0,,0,,0,,0,,0,,1510,,1520,,1487,,1453,,1476,,1892,,1500,,1084,,837,,1315,,1033,,834,,1367,,1018,,880,,675,,600,,328,,330,,208,,605,,632,,598,,648,,698,,697,,654,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,958.61,,1078.5,,1102.57,,1450.26,,2366.7,,1079.16,
Mexico,ARCIDAE,"Pacific, Eastern Central",Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,14.48,
Mexico,ARIIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,500,,500,,500,,400,,400,,400,,300,,300,,0,...,200,,300,,200,,200,,300,,200,,200,,200,,300,,100,,100,,98,,52,,78,,0,N,714,,402,,133,,466,,404,E,446,,284,,535,,202,,656,,437,,179,,1177,,1221,,1048,,1023,,1079,,1234,,1101,,1338,,1755,,1603,,1377,,1772,,1445,,432,,617,,3017,,3151,,2881,,2724,,2804,,2660,,1912,,3037,,3585,,4450,,5132,,6183,,5697,,6925,,5878.31,,5875.19,,4316.49,,4180.43,,3700.8,,2329.69,
