Stock,Resilience,Resilience_Source
dosidicus,High,Ferrer et al_2022
panulirus,Medium,Ferrer et al_2022
gerres,High,best_guess_Serranidae
hyporthodus,Medium,my_best_guess
menticirrhus,Medium,Ferrer et al_2022
micropogonias,Medium,Ferrer et al_2022
mycteroperca,Low,Ferrer et al_2022
paralabrax,Low,Ferrer et al_2022
balistes,NA,exclude_freshwater_fish
cynoscion,Medium,Ferrer et al_2022
lutjanus,Medium,Ferrer et al_2022
brotula,Low,Ferrer et al_2022
mugil,Medium,Ferrer et al_2022
hyporthodus niphobles,Very Low,best_guess_Mycteroperca.jordani
anisotremus,NA,exclude_freshwater_fish
calamus,NA,exclude_freshwater_fish
diapterus,NA,exclude_freshwater_fish
eucinostomus argenteus,NA,exclude_freshwater_fish
eugerres,NA,exclude_freshwater_fish
haemulon,NA,exclude_freshwater_fish
acanthurus,NA,Too broad of a category to classify
anoplopoma,NA,Too broad of a category to classify
diplectrum,NA,Too broad of a category to classify
merluccius,NA,Too broad of a category to classify
microlepidotus,NA,Too broad of a category to classify
nematistius,NA,Too broad of a category to classify
orthopristis,NA,Too broad of a category to classify
parapsettus,NA,Too broad of a category to classify
pseudupeneus,NA,Too broad of a category to classify
scorpaena,NA,Too broad of a category to classify
sphoeroides,NA,Too broad of a category to classify
stereolepis,NA,Too broad of a category to classify
synodus,NA,Too broad of a category to classify
hoplopagrus,Low,MAREA_priors
caulolatilus,Low,Ferrer et al_2022
aetobatus,Low,my_best_guess
hypanus,Low,my_best_guess
mobula,Low,my_best_guess
pseudobatos,Low,my_best_guess
centropomus,High,best_guess_Centropomus.robalito
haemulopsis,Medium,MAREA_priors
carcharhinus,Low,best_guess_Mycteroperca.jordani
galeocerdo,Low,best_guess_Mycteroperca.jordani
ginglymostoma,Low,best_guess_Mycteroperca.jordani
lamna,Low,best_guess_Mycteroperca.jordani
mustelus,Low,best_guess_Mycteroperca.jordani
sphyrna,Low,best_guess_Mycteroperca.jordani
squatina,Low,best_guess_Mycteroperca.jordani
chanos,NA,Too broad of a category to classify
gelidium,High,my_best_guess
epinephelus,Very Low,best_guess_Mycteroperca.jordani
mesocentrotus,High,my_best_guess
haliotis,Low,MAREA_priors
argopecten,Medium,MAREA_priors
dosinia,Medium,MAREA_priors
megapitaria,Medium,MAREA_priors
hexaplex,Medium,Ferrer et al_2022
lobatus,Medium,Ferrer et al_2022
megastraea,Medium,Ferrer et al_2022
thunnus,Medium,my_best_guess
katsuwonus,Medium,best_guess_Katsuwonus.pelamis
sarda,Medium,my_best_guess
caranx,Medium,Ferrer et al_2022
seriola,Medium,Ferrer et al_2022
scomber,Medium,my_best_guess
ablennes,NA,Too broad of a category to classify
coryphaena,NA,Too broad of a category to classify
istiophorus,NA,Too broad of a category to classify
xiphias,NA,Too broad of a category to classify
trachinotus,Medium,FishBase_Trachinotus paitensis
selene,Medium,MAREA_priors
cetengraulis,High,my_best_guess
etrumeus,High,my_best_guess
oligoplites,High,my_best_guess
opisthonema,High,my_best_guess
sardinops,High,my_best_guess
scomberomorus,Medium,Ferrer et al_2022
farfantepenaeus,High,Sealifebase_Penaeus californiensis
litopenaeus,High,Sealifebase_Penaeus californiensis
penaeus,High,Sealifebase_Penaeus californiensis
rimapenaeus,High,Sealifebase_Penaeus californiensis
sicyonia,High,Sealifebase_Penaeus californiensis
nicholsina,NA,Too broad of a category to classify
alopias,Low,best_guess_Mycteroperca.jordani
prionace,Low,best_guess_Mycteroperca.jordani
strongylocentrotus,High,my_best_guess
paranthias,NA,Too broad of a category to classify
sphyraena,NA,Too broad of a category to classify
euthynnus,Medium,best_guess_Katsuwonus.pelamis
callinectes,Medium,Ferrer et al_2022
ariopsis,High,best_guess_Serranidae
larimus,Medium,Ferrer et al_2022
isurus,Low,best_guess_Mycteroperca.jordani
panopea,Medium,MAREA_priors
nasolamia,Low,best_guess_Mycteroperca.jordani
trichiurus,High,Fishbase_Trichiurus brevis
turbo,Medium,Ferrer et al_2022
chione,Medium,MAREA_priors
