"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Landings_Datasource","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","FisheryStatus_Circa2000","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment"
"goc","ablennes","belonidae","pelagic marine fish (excl. anchovy & sardine)","otras","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.01,0.4,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","acanthurus","acanthuridae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.01,0.3,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","aetobatus","myliobatidae","demersal marine fishes","raya y similares","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.6,0.9,NA,NA,"low","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","alopias","alopiidae","sharks","tiburon","conapesca",TRUE,2001,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.6,1,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","anisotremus","haemulidae","demersal marine fishes","mojarra","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.1,0.4,NA,NA,NA,"exclude_freshwater_fish","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","anoplopoma","anoplopomatidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2019,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.5,0.8,0.01,0.4,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","argopecten","pectinidae","molluscs excl. cephalopods","almeja","conapesca",TRUE,2000,2024,2018,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.01,0.3,NA,NA,"medium","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","ariopsis","ariidae","demersal marine fishes","bagre","conapesca",TRUE,2000,2024,2009,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.3,0.5,0.3,0.6,NA,NA,"high","best_guess_serranidae","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","balistes","balistidae","demersal marine fishes","carpa","conapesca",TRUE,2000,2024,2007,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.1,0.3,0.1,0.3,NA,NA,NA,"exclude_freshwater_fish","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","brotula","ophidiidae","demersal marine fishes","lenguado","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.6,0.9,0.6,1,NA,NA,"low","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
