"Region","Stock","Major_Functional_Group","estimated_taxa_group","Source","Comment","Sufficient_No_Years","Yes_Run","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","st_b.low","st_b.hi","int_yr","int_b.low","int_b.hi","end_b.low","end_b.hi","q.start","q.end","btype","force.cmsy"
"GOC","Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Acanthurus","Demersal marine fishes","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Aetobatus","Demersal marine fishes","RAYA Y SIMILARES","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Anisotremus","Demersal marine fishes","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Anoplopoma","Demersal marine fishes","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Argopecten","Molluscs excl. Cephalopods","ALMEJA","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Ariopsis","Demersal marine fishes","BAGRE","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Balistes","Demersal marine fishes","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Brotula","Demersal marine fishes","LENGUADO","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Calamus","Demersal marine fishes","MOJARRA","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Caranx","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Carcharhinus","Sharks","TIBURON","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Caulolatilus","Demersal marine fishes","PIERNA","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Centropomus","Demersal marine fishes","ROBALO","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Chanos","Diadromous fishes","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Cynoscion","Demersal marine fishes","CORVINA","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Diapterus","Demersal marine fishes","MOJARRA","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Diplectrum","Demersal marine fishes","OTRAS","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Dosidicus","Cephalopods","CALAMAR","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
