Stock,ScientificName,Resilience,Resilience_Source
bandera,NA,High,best_guess_Serranidae
barrilete,NA,Medium,best_guess_Katsuwonus.pelamis
berrugata,NA,Medium,Ferrer et al_2022
cabrilla,NA,Low,Ferrer et al_2022
calamar,NA,High,Ferrer et al_2022
caracol,NA,Medium,Ferrer et al_2022
cazon,NA,Very Low,best_guess_Squalus.suckleyi
corvina,NA,Medium,Ferrer et al_2022
guachinango,NA,Medium,Ferrer et al_2022
jaiba,NA,Medium,Ferrer et al_2022
jurel,NA,Medium,Ferrer et al_2022
langosta,NA,Medium,Ferrer et al_2022
lenguado,NA,Low,Ferrer et al_2022
lisa,NA,Medium,Ferrer et al_2022
mero,NA,Very Low,best_guess_Mycteroperca.jordani
mojarra,NA,NA,exclude_freshwater_fish
ostion,NA,High,Ferrer et al_2022
pierna,NA,Low,Ferrer et al_2022
pulpo,NA,High,Ferrer et al_2022
robalo,NA,High,best_guess_Centropomus.robalito
sierra,NA,Medium,Ferrer et al_2022
tiburon,NA,Low,best_guess_Mycteroperca.jordani
