Major_Functional_Group,OLD_PercentTotBiomass,NEW_PercentTotBiomass
N/A,25.5,0.1
Pelagic marine fish,51.9,14.7
Anchovy & Sardine (small pelagics),NA,56.6
"Shrimps, prawns",8.4,9.3
Demersal marine fishes,6.4,5
Cephalopods,2.4,4.3
Freshwater fishes,2,1.9
Crustaceans,1.6,1.7
Molluscs excl. Cephalopods,1.2,1.8
Marine species NEI,0.4,0.6
Marine fishes NEI,0.4,0.2
Diadromous fishes,0,0
Jellies,NA,2.2
Sharks,NA,1.3
Marine algae,NA,0.4
Marine or freshwater fishes NEI,NA,0.3
Echinoderms,NA,0.1
unknown,NA,0.1
Other freshwater taxa,NA,0
Other marine invertebrates,NA,0
