"Major_Functional_Group","OLD.Percent_TotBiomass","NEW.Percent_TotalBiomass","OLD.Percent_TotLandingRecords","NEW.Percent_TotLandingRecords"
"Pelagic marine fish (excl. anchovy & sardine)",51.9,14.7,10.4,8.8
"Shrimps, prawns",8.4,9.3,13,15.5
"Demersal marine fishes",6.4,5,50,43.1
"Cephalopods",2.4,4.3,1.9,2.4
"Freshwater fishes",2,2,7.6,6.7
"Crustaceans",1.6,1.7,5.2,5.4
"Molluscs excl. Cephalopods",1.2,1.8,2.7,4.8
"Marine species NEI",0.3,0.3,0.7,0.7
"Marine fishes NEI",0.3,0.1,0.7,0.4
"Marine fishes NEI",0.1,0.1,0.6,0.4
"Marine species NEI",0.1,0.3,0.6,0.7
"Diadromous fishes",0,0,0.2,0.2
"Anchovy & Sardine (small pelagics)",NA,56.6,NA,2.5
"Jellies",NA,2.2,NA,0.4
"Sharks",NA,1.3,NA,4.7
"Marine algae",NA,0.4,NA,0
"Marine or freshwater fishes NEI",NA,0.3,NA,3.7
"Echinoderms",NA,0.1,NA,0.3
"unknown",NA,0.1,NA,0.1
"N/A",NA,0,NA,0
"Other freshwater taxa",NA,0,NA,0.1
"Other marine invertebrates",NA,0,NA,0
