"estimated_genus_name","Major_Functional_Group","estimated_taxa_group","family_from_previous.keys","family_from_taxize","new_estimated_family_name","new_family_est_reasoning"
"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae","Belonidae","Belonidae","family name was estimated from previous keys"
"Abudefduf","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Pomacentridae","Pomacentridae","Pomacentridae","family name was estimated from previous keys"
"Acanthocybium","Demersal marine fishes","PETO",NA,"Scombridae","Scombridae","family name was estimated from genus name using taxize function"
"Acanthurus","Demersal marine fishes","OTRAS","Acanthuridae","Acanthuridae","Acanthuridae","family name was estimated from previous keys"
"Achirus","Demersal marine fishes","LENGUADO",NA,"Achiridae","Achiridae","family name was estimated from genus name using taxize function"
"Actinia","Other marine invertebrates","OTRAS",NA,"Actiniidae","Actiniidae","family name was estimated from genus name using taxize function"
"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae","Myliobatidae","Myliobatidae","family name was estimated from previous keys"
"Albula","Demersal marine fishes","OTRAS",NA,"Albulidae","Albulidae","family name was estimated from genus name using taxize function"
"Alopias","Sharks","TIBURON","Alopiidae","Alopiidae","Alopiidae","family name was estimated from previous keys"
"Alphestes","Demersal marine fishes","OTRAS",NA,"Serranidae","Serranidae","family name was estimated from genus name using taxize function"
"Aluterus","Demersal marine fishes","OTRAS","Monacanthidae","Monacanthidae","Monacanthidae","family name was estimated from previous keys"
"Amiantis","Molluscs excl. Cephalopods","ALMEJA",NA,NA,NA,"family name will need to be logged manually"
"Anguilla","Diadromous fishes","OTRAS","Anguillidae","Anguillidae","Anguillidae","family name was estimated from previous keys"
"Anisotremus","Demersal marine fishes","MOJARRA","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Anoplopoma","Demersal marine fishes","OTRAS","Anoplopomatidae","Anoplopomatidae","Anoplopomatidae","family name was estimated from previous keys"
"Argopecten","Molluscs excl. Cephalopods","ALMEJA","Pectinidae","Pectinidae","Pectinidae","family name was estimated from previous keys"
"Ariopsis","Demersal marine fishes","BAGRE","Ariidae",NA,"Ariidae","family name was estimated from previous keys"
"Atherinopsis","Pelagic marine fish (excl. anchovy & sardine)","JUREL","Atherinopsidae","Atherinopsidae","Atherinopsidae","family name was estimated from previous keys"
"Atrina","Molluscs excl. Cephalopods","OTRAS",NA,"Pinnidae","Pinnidae","family name was estimated from genus name using taxize function"
"Bagre","Demersal marine fishes","BANDERA","Ariidae","Ariidae","Ariidae","family name was estimated from previous keys"
"Bairdiella","Demersal marine fishes","OTRAS",NA,"Sciaenidae","Sciaenidae","family name was estimated from genus name using taxize function"
"Balistes","Demersal marine fishes","CARPA","Balistidae","Balistidae","Balistidae","family name was estimated from previous keys"
"Bathygobius","Demersal marine fishes","OTRAS","Gobiidae","Gobiidae","Gobiidae","family name was estimated from previous keys"
"Bathystoma","Demersal marine fishes","OTRAS",NA,NA,NA,"family name will need to be logged manually"
"Belone","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",NA,"Belonidae","Belonidae","family name was estimated from genus name using taxize function"
"Brevoortia","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",NA,"Clupeidae","Clupeidae","family name was estimated from genus name using taxize function"
"Brotula","Demersal marine fishes","LENGUADO","Ophidiidae","Ophidiidae","Ophidiidae","family name was estimated from previous keys"
"Calamus","Demersal marine fishes","MOJARRA","Sparidae",NA,"Sparidae","family name was estimated from previous keys"
"Calappa","Crustaceans","OTRAS",NA,"Calappidae","Calappidae","family name was estimated from genus name using taxize function"
"Callinectes","Crustaceans","JAIBA","Portunidae","Portunidae","Portunidae","family name was estimated from previous keys"
"Caranx","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Carcahrhinus","Sharks","TIBURON","Carcharhinidae",NA,"Carcharhinidae","family name was estimated from previous keys"
"Carcharhinus","Sharks","TIBURON","Carcharhinidae","Carcharhinidae","Carcharhinidae","family name was estimated from previous keys"
"Caulolatilus","Demersal marine fishes","PIERNA","Malacanthidae","Malacanthidae","Malacanthidae","family name was estimated from previous keys"
"Centropomus","Demersal marine fishes","ROBALO","Centropomidae","Centropomidae","Centropomidae","family name was estimated from previous keys"
"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA",NA,"Engraulidae","Engraulidae","family name was estimated from genus name using taxize function"
"Chaceon","Crustaceans","OTRAS",NA,"Geryonidae","Geryonidae","family name was estimated from genus name using taxize function"
"Chaetodipterus","Demersal marine fishes","OTRAS",NA,"Ephippidae","Ephippidae","family name was estimated from genus name using taxize function"
"Chanos","Diadromous fishes","OTRAS","Chanidae","Chanidae","Chanidae","family name was estimated from previous keys"
"Cheilotrema","Demersal marine fishes","OTRAS",NA,"Sciaenidae","Sciaenidae","family name was estimated from genus name using taxize function"
"Chione","Molluscs excl. Cephalopods","ALMEJA","Veneridae",NA,"Veneridae","family name was estimated from previous keys"
"Chirostoma","Marine fishes NEI","CHARAL",NA,"Atherinopsidae","Atherinopsidae","family name was estimated from genus name using taxize function"
"Chloroscombrus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Citharichthys","Demersal marine fishes","LENGUADO",NA,"Cyclopsettidae","Cyclopsettidae","family name was estimated from genus name using taxize function"
"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Coryphaenidae","Coryphaenidae","Coryphaenidae","family name was estimated from previous keys"
"Crassostrea","Molluscs excl. Cephalopods","OSTION","Ostreidae","Ostreidae","Ostreidae","family name was estimated from previous keys"
"Cynoscion","Demersal marine fishes","CORVINA","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
"Dasyatis","Demersal marine fishes","RAYA Y SIMILARES",NA,"Dasyatidae","Dasyatidae","family name was estimated from genus name using taxize function"
"Decapterus","Pelagic marine fish (excl. anchovy & sardine)","JUREL","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Dentex","Demersal marine fishes","BANDERA",NA,"Sparidae","Sparidae","family name was estimated from genus name using taxize function"
"Diapterus","Demersal marine fishes","MOJARRA","Gerreidae","Gerreidae","Gerreidae","family name was estimated from previous keys"
"Diplectrum","Demersal marine fishes","OTRAS","Serranidae","Serranidae","Serranidae","family name was estimated from previous keys"
