common_name_clean,recorded_taxa_group,estimated_taxa_group,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,IHH_functional_major_groups_sm,Major_Functional_Group,Manual_Classification_Notes,ornamentalFLAG_1,Assignment_for_Major_Functional_Group
especie generica,ESPECIE GENERICA,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,Generic category; cannot assign species or genus.,NO,Assigned_Manually: OTRAS treated differently than other major groups
fauna acompa√±amiento,FAUNA,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,Generic bycatch category; cannot assign species or genus.,NO,Assigned_Manually: OTRAS treated differently than other major groups
fauna acompaÔøΩamiento,FAUNA,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,Generic category; cannot assign species or genus.,NO,Assigned_Manually: OTRAS treated differently than other major groups
barbo,ORNATO,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,Some sort of fish,NO,Assigned_Manually: OTRAS treated differently than other major groups
especies ornato,ORNATO,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,Generic ornamental category; cannot assign species or genus.,YES,Assigned_Manually: OTRAS treated differently than other major groups
estrella limpiadora,ORNATO,NA,Luidia alternata,medium confidence,manual entry; medium confidence,Luidia,manual entry,NA,Echinoderms,Sea stars; likely ornamental harvest,YES,Assigned_Manually: OTRAS treated differently than other major groups
peces ornato,ORNATO,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,Generic ornamental fish category; cannot assign species or genus.,YES,Assigned_Manually: OTRAS treated differently than other major groups
pez payaso ornato,ORNATO,NA,unknown,not applicable,no data in keys,Amphiprion,manual entry,NA,Demersal marine fishes,"Clownfish, ornamental",YES,Assigned_Manually: OTRAS treated differently than other major groups
tetra rojo,ORNATO,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Freshwater fishes,Red tetra; freshwater; likely ornamental,YES,Assigned_Manually: OTRAS treated differently than other major groups
abogado,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… ?,NO,Assigned_Manually: OTRAS treated differently than other major groups
acedia,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is…,NO,Assigned_Manually: OTRAS treated differently than other major groups
acocil,OTRAS,NA,Cambarellus montezumae,High,conflicting matches in Hem's key and no data from IHH,Cambarellus,manual entry,NA,Other freshwater taxa,Freshwater crayfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
agujilla,OTRAS,NA,Belone belone,high confidence,match to Hem's key,Belone,genus derived from known species,NA,Pelagic marine fishes,European garfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
ala angel,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,I am assuming from context this is an angel fish,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
arbolito,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… an algae perhaps?,NO,Assigned_Manually: OTRAS treated differently than other major groups
armado,OTRAS,NA,Orthopristis chrisopterus,high confidence,match to Hem's key,Orthopristis,genus derived from known species,NA,Demersal marine fishes,Porkfish / Sailfin grunt,NO,Assigned_Manually: OTRAS treated differently than other major groups
bacinico,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… a shellfish perhaps?,NA,Assigned_Manually: OTRAS treated differently than other major groups
baina,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… A shelfish of some sort?,NO,Assigned_Manually: OTRAS treated differently than other major groups
