state,office_name_clean,landing_site_clean,final_lat,final_lon,final_lat.lon_level,final_lat.lon_source,location,OHI.region_geo.est,OHI_state.assign,OHI_region_est,GOC_mel.est,GOC_state.assign,GOC_region.assign,GOC_est
SONORA,PUERTO PENASCO,PUERTO PENASCO,31.31208951,-113.5391123,state_office_site,Hem's state.site.office key,land,Region_5,NA,Region_5,yes,yes,yes,yes
SONORA,HUATABAMPO,YAVAROS,26.70347667,-109.5205532,state_office_site,Hem's state.site.office key,land,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA,ENSENADA,ENSENADA,31.8421622,-116.5974017,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ENSENADA,EL SAUZAL,31.89217767,-116.6941701,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
SONORA,BAHIA KINO,LAGUNA LAS FLORES Y GOLFO MEXICO,28.80555913,-111.6789334,state_office,Hem's state.office key,land,Region_6,NA,Region_6,NA,yes,yes,yes
SONORA,PUERTO PENASCO,LAGUNA LAS FLORES Y GOLFO MEXICO,31.20629577,-112.8401312,state_office,Hem's state.office key,land,Region_6,NA,Region_6,NA,yes,yes,yes
SONORA,GUAYMAS,LAGUNA LAS FLORES Y GOLFO MEXICO,27.99268803,-110.8650876,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,land,Region_7,NA,Region_7,NA,yes,yes,yes
SONORA,HUATABAMPO,LAGUNA LAS FLORES Y GOLFO MEXICO,26.97775279,-109.5011588,state_office,Hem's state.office key,land,Region_7,NA,Region_7,NA,yes,yes,yes
SONORA,HERMOSILLO,LAGUNA LAS FLORES Y GOLFO MEXICO,29.81314103,-110.5160271,state_office,Hem's state.office key,NA,NA,NA,NA,NA,yes,NA,yes
SINALOA,ESCUINAPA,LAGUNA LAS FLORES Y GOLFO MEXICO,24.15813585,-107.1783172,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,LOS MOCHIS,LAGUNA LAS FLORES Y GOLFO MEXICO,25.90610918,-109.0009424,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,LA REFORMA,LAGUNA LAS FLORES Y GOLFO MEXICO,25.37774227,-107.8279879,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,NAVOLATO,LAGUNA LAS FLORES Y GOLFO MEXICO,24.76185658,-107.6833974,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,GUASAVE,LAGUNA LAS FLORES Y GOLFO MEXICO,25.69673376,-108.2206193,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,EL FUERTE,LAGUNA LAS FLORES Y GOLFO MEXICO,26.43663942,-108.3939474,state_office,Hem's state.office key,NA,NA,Region_8,Region_8,NA,yes,yes,yes
SINALOA,MAZATLAN,LAGUNA LAS FLORES Y GOLFO MEXICO,23.49411631,-106.3796491,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,CULIACAN,LAGUNA LAS FLORES Y GOLFO MEXICO,24.57540235,-107.4244193,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,EL ROSARIO,LAGUNA LAS FLORES Y GOLFO MEXICO,23.09803795,-105.8981365,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,SANTIAGO IXCUINTLA,LAGUNA LAS FLORES Y GOLFO MEXICO,21.98386651,-104.8967609,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,TUXPAN,LAGUNA LAS FLORES Y GOLFO MEXICO,22.08709693,-105.1177705,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,SAN BLAS,LAGUNA LAS FLORES Y GOLFO MEXICO,21.54672474,-105.2582147,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,PENITA JALTEMBA,LAGUNA LAS FLORES Y GOLFO MEXICO,21.16238367,-105.2115404,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA,MEXICALI,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,SANTA ROSALIA,LAGUNA LAS FLORES Y GOLFO MEXICO,27.01805455,-112.4718992,state_office,Hem's state.office key,land,Region_3,NA,Region_3,NA,NA,NA,NA
BAJA CALIFORNIA,EL ROSARIO,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA,ENSENADA,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA,SAN FELIPE,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
SINALOA,MAZATLAN,MAZATLAN,23.22486532,-106.4166819,state_office_site,Hem's state.site.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SONORA,CD. OBREGON,LAGUNA LAS FLORES Y GOLFO MEXICO,27.90648164,-110.8643649,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,sea,Region_7,NA,Region_7,NA,yes,yes,yes
NAYARIT,TECUALA,LAGUNA LAS FLORES Y GOLFO MEXICO,22.49844421,-105.2661546,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
SINALOA,TOPOLOBAMPO,TOPOLOBAMPO,25.59826743,-109.0497234,state_office_site,Hem's state.site.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA SUR,GUERRERO NEGRO,LAGUNA LAS FLORES Y GOLFO MEXICO,27.68192091,-113.5386026,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,LORETO,LAGUNA LAS FLORES Y GOLFO MEXICO,26.04328765,-111.6781733,state_office,Hem's state.office key,land,Region_4,NA,Region_4,NA,NA,NA,NA
SINALOA,TOPOLOBAMPO,LAGUNA LAS FLORES Y GOLFO MEXICO,25.61537953,-109.0244988,state_office,Hem's state.office key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA SUR,CD. CONSTITUCION,LAGUNA LAS FLORES Y GOLFO MEXICO,25.27802808,-111.7625691,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,LAGUNA LAS FLORES Y GOLFO MEXICO,27.68888126,-114.7602288,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
