"office_name","state","lat_mean","lon_mean","office_clean"
"EJIDO VILLA JESUS MARIA","BAJA CALIFORNIA",28.4451388097598,-113.996856727477,"EJIDO VILLA JESUS MARIA"
"EL ROSARIO","BAJA CALIFORNIA",32.0625455587328,-116.599800642702,"EL ROSARIO"
"SAN QUINTIN","BAJA CALIFORNIA",30.5744340395013,-115.979353312927,"SAN QUINTIN"
"MEXICALI","BAJA CALIFORNIA",32.4732664892969,-115.176099253262,"MEXICALI"
"TIJUANA","BAJA CALIFORNIA",32.3584005555556,-117.00114367036,"TIJUANA"
"LA PAZ","BAJA CALIFORNIA",32.4922637915937,-116.56371587663,"LA PAZ"
"ISLA DE CEDROS","BAJA CALIFORNIA",28.8573447733333,-115.196498971852,"ISLA CEDROS"
"SAN FELIPE","BAJA CALIFORNIA",30.8090736974141,-114.848363594424,"SAN FELIPE"
"ENSENADA","BAJA CALIFORNIA",31.6814295101991,-116.440881337148,"ENSENADA"
"BAHIA DE LOS ANGELES","BAJA CALIFORNIA",29.1497000263318,-113.761953096651,"BAHIA LOS ANGELES"
"SANTA ROSALIA","BAJA CALIFORNIA",28.0969875,-112.7873,"SANTA ROSALIA"
"BAHIA DE KINO","BAJA CALIFORNIA",28.4274129,-112.5595992,"BAHIA KINO"
"GUERRERO NEGRO","BAJA CALIFORNIA",28.0313669753086,-113.960895740741,"GUERRERO NEGRO"
"GOLFO DE SANTA CLARA","BAJA CALIFORNIA",32.0221324470899,-115.058253994709,"GOLFO SANTA CLARA"
"TECUALA","BAJA CALIFORNIA",23.634501,-102.552784,"TECUALA"
"LA PAZ","BAJA CALIFORNIA SUR",23.9781811695814,-110.289192618825,"LA PAZ"
"CIUDAD CONSTITUCION","BAJA CALIFORNIA SUR",25.0853973228272,-111.52284674878,"CIUDAD CONSTITUCION"
"LORETO","BAJA CALIFORNIA SUR",26.0755154100894,-111.735023545211,"LORETO"
"CABO SAN LUCAS","BAJA CALIFORNIA SUR",23.2427608648451,-109.862486999865,"CABO SAN LUCAS"
"SANTA ROSALIA","BAJA CALIFORNIA SUR",26.997569221965,-112.448352271399,"SANTA ROSALIA"
"HEROICA GUAYMAS","BAJA CALIFORNIA SUR",27.9617875,-111.0370989,"HEROICA GUAYMAS"
