"state","office_name_clean","landing_site_clean","GoC","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source"
"SONORA","PUERTO PENASCO","PUERTO PENASCO","yes",31.3120895111111,-113.539112344444,"state_office_site","Hem's state.site.office key"
"SONORA","HUATABAMPO","YAVAROS","yes",26.7034766666667,-109.520553194444,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA","ENSENADA","ENSENADA","no",31.8421621962963,-116.59740172963,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA","ENSENADA","EL SAUZAL","no",31.8921776666667,-116.694170133333,"state_office_site","Hem's state.site.office key"
"SONORA","BAHIA KINO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,28.8055591259102,-111.67893340009,"state_office","Hem's state.office key"
"SONORA","PUERTO PENASCO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,31.2062957681437,-112.840131163667,"state_office","Hem's state.office key"
"SONORA","GUAYMAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"OAXACA","PUERTO ESCONDIDO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"SONORA","HUATABAMPO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,26.9777527919635,-109.501158823798,"state_office","Hem's state.office key"
"SONORA","HERMOSILLO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,29.8131410317644,-110.516027108254,"state_office","Hem's state.office key"
"SINALOA","ESCUINAPA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,24.158135848652,-107.17831721137,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"SINALOA","LOS MOCHIS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.9061091802143,-109.000942361955,"state_office","Hem's state.office key"
"SINALOA","LA REFORMA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.3777422689077,-107.827987906537,"state_office","Hem's state.office key"
"SINALOA","NAVOLATO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,24.7618565826978,-107.683397361755,"state_office","Hem's state.office key"
"SINALOA","GUASAVE","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.6967337583303,-108.220619264732,"state_office","Hem's state.office key"
"SINALOA","EL FUERTE","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,26.4366394191784,-108.393947350964,"state_office","Hem's state.office key"
"SINALOA","MAZATLAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,23.4941163147551,-106.379649136752,"state_office","Hem's state.office key"
"SINALOA","CULIACAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,24.5754023451913,-107.424419290528,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"SINALOA","EL ROSARIO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,23.0980379467593,-105.898136535752,"state_office","Hem's state.office key"
"NAYARIT","SANTIAGO IXCUINTLA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,21.9838665077391,-104.896760868459,"state_office","Hem's state.office key"
"NAYARIT","TUXPAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,22.0870969265372,-105.117770520497,"state_office","Hem's state.office key"
"MICHOACAN","NUEVA ITALIA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"NAYARIT","SAN BLAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,21.5467247384409,-105.258214734707,"state_office","Hem's state.office key"
"NAYARIT","PENITA JALTEMBA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,21.1623836658869,-105.21154039308,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"COLIMA","MANZANILLO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","RAUDALES MALPASO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","TONALA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","VILLA FLORES","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","ARRIAGA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","PLAYAS CATAZAJA","CATAZAJA",NA,NA,NA,NA,NA
"BAJA CALIFORNIA","MEXICALI","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"BAJA CALIFORNIA SUR","SANTA ROSALIA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.0180545530806,-112.471899200815,"state_office","Hem's state.office key"
"BAJA CALIFORNIA","EL ROSARIO","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"BAJA CALIFORNIA","ENSENADA","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"BAJA CALIFORNIA","SAN FELIPE","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"SINALOA","MAZATLAN","MAZATLAN",NA,23.2248653166667,-106.416681944444,"state_office_site","Hem's state.site.office key"
"OAXACA","TEMAZCAL","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"SONORA","CD. OBREGON","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.9064816393795,-110.86436487411,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"NAYARIT","TECUALA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,22.4984442146623,-105.266154629021,"state_office","Hem's state.office key"
"OAXACA","PINOTEPA NACIONAL","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"GUERRERO","ZIHUATANEJO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","PIJIJIAPAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"SINALOA","TOPOLOBAMPO","TOPOLOBAMPO",NA,25.5982674305556,-109.049723444444,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA SUR","GUERRERO NEGRO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.6819209057358,-113.538602579797,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","LORETO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,26.0432876543236,-111.67817330556,"state_office","Hem's state.office key"
"SINALOA","TOPOLOBAMPO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.6153795297504,-109.024498822464,"state_office","Hem's state.office key"
"OAXACA","PUERTO ANGEL","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"OAXACA","SALINA CRUZ","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"OAXACA","JUCHITAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"GUERRERO","TECPAN GALEANA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"GUERRERO","ACAPULCO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","PUERTO MADERO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"COLIMA","TECOMAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","CD. CONSTITUCION","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.2780280791995,-111.762569083552,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.6888812559524,-114.760228838492,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","LA PAZ","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,23.9653019673961,-110.278865826857,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,27.2040245238095,-114.085745,"state_office","Hem's state.office key"
"SONORA","GUAYMAS","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key"
"BAJA CALIFORNIA","BAHIA LOS ANGELES","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"BAJA CALIFORNIA","SAN FELIPE","SAN FELIPE","yes",31.0220527944444,-114.838044747222,"state_office_site","Hem's state.site.office key"
"OAXACA","SALINA CRUZ","SALINA CRUZ",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","PICHILINGUE","yes",24.27183215,-110.32755775,"state_office_site","Hem's state.site.office key"
"CHIAPAS","TUXTLA GUTIERREZ","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","ARRIAGA","LA GLORIA",NA,NA,NA,NA,NA
"CHIAPAS","TONALA","LA GLORIA",NA,NA,NA,NA,NA
"CHIAPAS","TONALA","PAREDON",NA,NA,NA,NA,NA
"CHIAPAS","PLAYAS CATAZAJA","EL DESENGANO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,26.8815999490356,-113.086286236894,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","SAN CARLOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"SONORA","GOLFO SANTA CLARA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,31.8979505373166,-114.571539538994,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","SAN CARLOS","SAN CARLOS","no",24.7661,-111.9669,"state_site","Mel's state.site key"
"BAJA CALIFORNIA","ISLA CEDROS","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,24.9946690350877,-111.613563143275,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"CHIAPAS","PUERTO MADERO","PUERTO MADERO",NA,NA,NA,NA,NA
"GUERRERO","MARQUELIA CRUZ GRANDE","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","PLAYAS CATAZAJA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"MICHOACAN","PATZCUARO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","PTO ADOLFO LOPEZ MATEOS","no",25.1889,-112.1185,"state_site","Mel's state.site key"
"NAYARIT","SAN BLAS","SAN BLAS",NA,21.5417380555556,-105.286046388889,"state_office_site","Hem's state.site.office key"
"CHIAPAS","PLAYAS CATAZAJA","PONTE ARMAS",NA,NA,NA,NA,NA
"NAYARIT","CRUZ HUANACAXTLE","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.7914414513754,-105.337144843608,"state_office","Hem's state.office key"
"JALISCO","BARRA NAVIDAD","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,19.6247611165671,-104.425651915947,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,23.2395885256897,-109.853521983522,"state_office","Hem's state.office key"
"CHIAPAS","ACAPETAHUA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"COLIMA","MANZANILLO","MANZANILLO",NA,NA,NA,NA,NA
"JALISCO","BARRA NAVIDAD","PUERTO VALLARTA","yes",20.4868055555556,-105.183611111111,"state_site","Hem's state.site key"
"SONORA","BAHIA KINO","BAHIA KINO","yes",28.80836125,-111.948842638889,"state_office_site","Hem's state.site.office key"
