state,OHI_region_est,OHI_region_name,GOC_est,GOC_Include_Exclude
BAJA CALIFORNIA,NA,NA,NA,exclude
BAJA CALIFORNIA,region_1,Western Upper Gulf,yes,include
BAJA CALIFORNIA,region_2,Western Midriff Islands,yes,include
BAJA CALIFORNIA,region_3,Western Central Gulf,yes,include
BAJA CALIFORNIA,region_4,Western Southern Gulf,yes,include
BAJA CALIFORNIA,region_5,Eastern Upper Gulf,yes,include
BAJA CALIFORNIA,region_6,Eastern Midriff Islands,yes,include
BAJA CALIFORNIA,region_7,Southern Sonora Coast,yes,include
BAJA CALIFORNIA,region_8,Sinaloa Coast,yes,include
BAJA CALIFORNIA SUR,NA,NA,NA,exclude
BAJA CALIFORNIA SUR,region_2,Western Midriff Islands,yes,include
BAJA CALIFORNIA SUR,region_3,Western Central Gulf,yes,include
BAJA CALIFORNIA SUR,region_4,Western Southern Gulf,yes,include
BAJA CALIFORNIA SUR,region_5,Eastern Upper Gulf,yes,include
BAJA CALIFORNIA SUR,region_7,Southern Sonora Coast,yes,include
JALISCO,NA,NA,NA,exclude
JALISCO,region_9,Southeastern Gulf,yes,include
NAYARIT,region_9,Southeastern Gulf,yes,include
SINALOA,region_8,Sinaloa Coast,yes,include
SONORA,NA,NA,yes,include
SONORA,region_1,Western Upper Gulf,yes,include
SONORA,region_2,Western Midriff Islands,yes,include
SONORA,region_4,Western Southern Gulf,yes,include
SONORA,region_5,Eastern Upper Gulf,yes,include
SONORA,region_6,Eastern Midriff Islands,yes,include
SONORA,region_7,Southern Sonora Coast,yes,include
SONORA,region_8,Sinaloa Coast,yes,include
SONORA,region_9,Southeastern Gulf,yes,include
