,state,OHI_region_est,GOC_est
1,SONORA,Region_5,yes
2,SONORA,Region_7,yes
3,BAJA CALIFORNIA,NA,no
4,SONORA,Region_6,yes
5,SONORA,NA,yes
6,SINALOA,Region_8,yes
7,NAYARIT,Region_9,yes
8,BAJA CALIFORNIA,Region_4,yes
9,BAJA CALIFORNIA SUR,Region_3,NA
10,BAJA CALIFORNIA SUR,NA,NA
11,BAJA CALIFORNIA SUR,Region_4,NA
12,BAJA CALIFORNIA,Region_1,yes
13,BAJA CALIFORNIA SUR,Region_4,yes
14,BAJA CALIFORNIA SUR,NA,no
15,JALISCO,NA,NA
16,JALISCO,Region_9,yes
17,BAJA CALIFORNIA,Region_2,yes
18,NAYARIT,NA,NA
19,BAJA CALIFORNIA SUR,Region_4,no
20,BAJA CALIFORNIA,NA,yes
21,BAJA CALIFORNIA,NA,NA
22,BAJA CALIFORNIA,Region_2,NA
23,BAJA CALIFORNIA SUR,Region_3,yes
24,JALISCO,NA,no
25,JALISCO,NA,yes
26,BAJA CALIFORNIA SUR,Region_3,no
27,BAJA CALIFORNIA SUR,NA,yes
28,BAJA CALIFORNIA,Region_4,no
29,BAJA CALIFORNIA,Region_3,yes
30,BAJA CALIFORNIA SUR,Region_2,yes
31,BAJA CALIFORNIA,Region_5,yes
32,BAJA CALIFORNIA SUR,Region_7,yes
33,BAJA CALIFORNIA,Region_8,yes
34,BAJA CALIFORNIA,Region_2,no
35,SONORA,Region_9,yes
36,SONORA,Region_4,yes
37,BAJA CALIFORNIA,Region_6,yes
38,SONORA,Region_8,yes
39,BAJA CALIFORNIA SUR,Region_2,no
40,SONORA,Region_1,yes
41,SONORA,Region_2,yes
42,BAJA CALIFORNIA,Region_7,yes
43,BAJA CALIFORNIA SUR,Region_5,yes
