"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
"Argopecten ventricosus","ALMEJA","ALMEJA CATARINA (ARGOPECTEN VENTRICOSUS)",NA,NA,NA,NA,NA,"ALMEJA CATARINA (ARGOPECTEN VENTRICOSUS)","ARGOPECTEN VENTRICOSUS","Argopecten ventricosus","Argopecten","Pectinidae"
"Chione fluctifraga","ALMEJA","ALMEJA BLANCA (CHIONE FLUCTIFRAGA) S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA BLANCA (CHIONE FLUCTIFRAGA) C.","CHIONE FLUCTIFRAGA","Chionista fluctifraga","Chionista","Veneridae"
"Chione fluctifraga","ALMEJA","ALMEJA BLANCA (CHIONE FLUCTIFRAGA) ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA BLANCA (CHIONE FLUCTIFRAGA)","CHIONE FLUCTIFRAGA","Chionista fluctifraga","Chionista","Veneridae"
"Scomber japonicus","MACARELA","MACARELA DESV. FCA. (SCOMBER JAPONICUS)","DESV.","FCA.",NA,NA,NA,"MACARELA (SCOMBER JAPONICUS)","SCOMBER JAPONICUS","Scomber japonicus","Scomber","Scombridae"
"Scomber japonicus","MACARELA","MACARELA BONITO ENT. FCO. (SCOMBER JAPONICUS)","ENT.","FCO.",NA,NA,NA,"MACARELA BONITO (SCOMBER JAPONICUS)","SCOMBER JAPONICUS","Scomber japonicus","Scomber","Scombridae"
"Scomber japonicus","MACARELA","MACARELA ENT. FCA. (SCOMBER JAPONICUS)","ENT.","FCA.",NA,NA,NA,"MACARELA (SCOMBER JAPONICUS)","SCOMBER JAPONICUS","Scomber japonicus","Scomber","Scombridae"
"Scomber japonicus","MACARELA","MACARELA P/CARNADA (SCOMBER JAPONICUS)",NA,NA,NA,NA,NA,"MACARELA P/CARNADA (SCOMBER JAPONICUS)","SCOMBER JAPONICUS","Scomber japonicus","Scomber","Scombridae"
"Scomber japonicus","MACARELA","MACARELA IND. (SCOMBER JAPONICUS)","IND.",NA,NA,NA,NA,"MACARELA (SCOMBER JAPONICUS)","SCOMBER JAPONICUS","Scomber japonicus","Scomber","Scombridae"
"Trachurus symmetricus","OTRAS","CHARRITO ENT. FCO. (TRACHURUS SYMMETRICUS)","ENT.","FCO.",NA,NA,NA,"CHARRITO (TRACHURUS SYMMETRICUS)","TRACHURUS SYMMETRICUS","Trachurus symmetricus","Trachurus","Carangidae"
"Trachurus symmetricus","OTRAS","CHARRITO ENT. FCO. IND. (TRACHURUS SYMMETRICUS)","ENT.","FCO.","IND.",NA,NA,"CHARRITO (TRACHURUS SYMMETRICUS)","TRACHURUS SYMMETRICUS","Trachurus symmetricus","Trachurus","Carangidae"
