recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,estimated_taxa_group,Manual_Classification_Notes,ornamentalFLAG_1,IHH_functional_major_groups_sm,Major_Functional_Group,Assignment_for_Major_Functional_Group
OTRAS,cangrejo araña,unknown,not applicable,no data in keys,NA,genus unknown,NA,Spider crab,NO,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo ermitaño,Pagurus bernhardus,high confidence,match to Hem's key,Pagurus,genus derived from known species,NA,Common hermit crab,POSSIBLY,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo ermita�o,unknown,not applicable,no data in keys,NA,genus unknown,NA,Hermit crab,POSSIBLY,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo gallo,Calappa granulata,high confidence,match to Hem's key,Calappa,genus derived from known species,NA,Red-spotted box crab,NO,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo moro manglar,Ucides cordatus,not applicable,no data in keys,NA,genus unknown,NA,Mangrove crab; ask experts if ornamental use,POSSIBLY,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo moteado roca,unknown,not applicable,no data in keys,NA,genus unknown,NA,Rock crab; ask experts if ornamental use,POSSIBLY,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo pulpa,unknown,not applicable,no data in keys,NA,genus unknown,NA,Most likely Callinectes but cannot say for certain.,NO,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo rey,Chaceon affinis,high confidence,match to Hem's key,Chaceon,genus derived from known species,NA,Deep-sea red crab,NO,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cangrejo rojo roca,Grapsus grapsus,not applicable,no data in keys,NA,genus unknown,NA,Red rock crab; ask experts if ornamental use,POSSIBLY,NA,Crustaceans,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,ala angel,unknown,not applicable,no data in keys,NA,genus unknown,NA,I am assuming from context this is an angel fish,POSSIBLY,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,armado,Orthopristis chrisopterus,high confidence,match to Hem's key,Orthopristis,genus derived from known species,NA,Porkfish / Sailfin grunt,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,boca novia,unknown,not applicable,no data in keys,NA,genus unknown,NA,Some sort of drum or croaker,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
