"species","genus","family","associated_common_names"
"Alopias pelagicus","Alopias","Alopiidae","Pelagic thresher shark"
"Alopias superciliosus","Alopias","Alopiidae","Bigeye thresher shark"
"Alopias vulpinus","Alopias","Alopiidae","Common thresher shark"
"Calamus brachysomus","Calamus","Sparidae","Pacific porgy"
"Caranx hippos","Caranx","Carangidae","Crevalle jack"
"Caranx lugubris","Caranx","Carangidae","Black jack, Black (dark) jack"
"Carcharhinus altimus","Carcharhinus","Carcharhinidae","Bignose shark"
"Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","Copper shark"
"Carcharhinus brevipinna","Carcharhinus","Carcharhinidae","Spinner shark"
"Carcharhinus cerdale","Carcharhinus","Carcharhinidae","Pacific smalltail shark"
"Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Silky shark"
"Carcharhinus leucas","Carcharhinus","Carcharhinidae","Bull shark"
"Carcharhinus limbatus","Carcharhinus","Carcharhinidae","Blacktip shark"
"Carcharhinus obscurus","Carcharhinus","Carcharhinidae","Dusky shark"
"Carcharhinus plumbeus","Carcharhinus","Carcharhinidae","Sandbar shark"
"Carcharodon carcharias","Carcharodon","Lamnidae","White shark"
"Cetengraulis mysticetus","Cetengraulis","Engraulidae","Pacific anchovy, Big-mouthed sardine (anchovy)"
"Crassostrea corteziensis","Crassostrea","Ostreidae","Mangrove oyster (Cortez oyster)"
"Crassostrea gigas","Crassostrea","Ostreidae","Pacific oyster, Pacific (Japanese) oyster"
"Crassostrea iridescens","Crassostrea","Ostreidae","Rock oyster"
"Crassostrea sikamea","Crassostrea","Ostreidae","Kumamoto oyster (non-native)"
"Cynoscion othonopterus","Cynoscion","Sciaenidae","Gulf corvina"
"Cynoscion parvipinnis","Cynoscion","Sciaenidae","Shortfin (blue?) corvina, Shortfin corvina"
"Cynoscion reticulatus","Cynoscion","Sciaenidae","Striped corvina, Striped (white?) corvina, Hail (?) corvina"
"Cynoscion xanthulus","Cynoscion","Sciaenidae","Orangemouth corvina"
"Cyprinus carpio","Cyprinus","Cyprinidae","Common carp (invasive), Mirror carp (invasive)"
"Diapterus peruvianus","Diapterus","Gerreidae","Yellowfin mojarra"
"Echinorhinus cookei","Echinorhinus","Echinorhinidae","Black spiny shark"
"Engraulis mordax","Engraulis","Engraulidae","Northern anchovy"
"Etrumeus acuminatus","Etrumeus","Dussumieriidae","Red-eye round herring, Red-eye round herring (japanese sardine)"
"Eucinostomus argenteus","Eucinostomus","Gerreidae","Silver mojarra"
"Eucinostomus currani","Eucinostomus","Gerreidae","Flagfin mojarra"
"Eucinostomus gracilis","Eucinostomus","Gerreidae","Streaked mojarra"
"Eugerres lineatus","Eugerres","Gerreidae","China (streaked) mojarra"
"Eugerres plumieri","Eugerres","Gerreidae","Striped grunt"
"Farfantepenaeus brevirostris","Penaeus","Penaeidae","Crystal shrimp"
"Farfantepenaeus californiensis","Penaeus","Penaeidae","Yellowleg shrimp"
"Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Tiger shark"
"Galeorhinus galeus","Galeorhinus","Triakidae","Soupfin shark"
"Ginglymostoma cirratum","Ginglymostoma","Ginglymostomatidae","Nurse shark"
"Haemulon scudderii","Haemulon","Haemulidae","Grey (dark) grunt"
"Hypophthalmichthys nobilis","Hypophthalmichthys","Cyprinidae","Bighead carp (invasive)"
"Isurus oxyrinchus","Isurus","Lamnidae","Shortfin mako shark"
"Lamna ditropis","Lamna","Lamnidae","Salmon shark"
"Larimus effulgens","Larimus","Sciaenidae","Flat croaker"
"Lepomis macrochirus","Lepomis","Centrarchidae","Bluegill"
"Lile stolifera","Lile","Clupeidae","Pinfish"
"Litopenaeus stylirostris","Penaeus","Penaeidae","Blue shrimp"
"Litopenaeus vannamei","Penaeus","Penaeidae","White shrimp"
"Lutjanus campechanus","Lutjanus","Lutjanidae","Northern red snapper"
"Lutjanus guttatus","Lutjanus","Lutjanidae","Spotted rose snapper"
"Macrobrachium americanum","Macrobrachium","Palaemonidae","River prawn"
"Magallana gigas","Magallana","Ostreidae","Pacific cupped oyster"
"Mayaheros urophthalmus","Mayaheros","Cichlidae","Mayan cichlid, Mayan cichlid (freshwater)"
"Micropogonias megalops","Micropogonias ","Sciaenidae","Gulf croaker"
"Mustelus lunulatus","Mustelus","Triakidae","Sicklefin smooth-hound (shark)"
"Mylopharyngodon piceus","Mylopharyngodon","Cyprinidae","Black carp (invasive)"
"Nasolamia velox","Nasolamia","Carcharhinidae","Whitenose shark"
"Negaprion brevirostris","Negaprion","Carcharhinidae","Lemon shark"
"Oligoplites altus","Oligoplites","Carangidae","Long-jaw leather jacket"
"Opisthonema libertate","Opisthonema","Clupeidae","Long-jaw leather jacket"
"Petenia splendida","Petenia","Cichlidae","Tenguayaca"
"Prionace glauca","Prionace","Carcharhinidae","Blue shark"
"Rhizoprionodon longurio","Rhizoprionodon","Carcharhinidae","Pacific sharpnose shark"
"Rimapenaeus faoe","Rimapenaeus","Penaeidae","Indio shrimp"
"Sardinops sagax","Sardinops","Clupeidae","Pacific sardine, Monterey (Pacific) sardine"
"Scomberomorus sierra","Scomberomorus","Scombridae","Gulf sierra (mackerel)"
"Selene peruviana","Selene","Carangidae","Pacific lookdown"
"Seriola lalandi","Seriola","Carangidae","Yellowtail amberjack"
"Sphyrna lewini","Sphyrna","Sphyrnidae","Scalloped hammerhead shark"
"Sphyrna mokarran","Sphyrna","Sphyrnidae","Great hammerhead, Great hammerhead shark"
