"estimated_genus_name","estimated_family_name","estimated_taxa_group","Major_Functional_Group","family_from_previous_keys","family_from_taxize","new_estimated_family_name","new_family_est_reasoning"
"NEI","Mugilidae","LISA","Demersal marine fishes","Mugilidae",NA,"Mugilidae","family name was estimated from previous keys"
NA,NA,"LANGOSTINO","Shrimps, prawns",NA,NA,NA,"family name will need to be logged manually"
"NEI","NEI","ALMEJA","Molluscs excl. Cephalopods","NEI",NA,NA,"family name will need to be logged manually"
"NEI","NEI","CARACOL","Molluscs excl. Cephalopods","NEI",NA,NA,"family name will need to be logged manually"
"Centropomus","Centropomidae","ROBALO","Demersal marine fishes","Centropomidae","Centropomidae","Centropomidae","family name was estimated from previous keys"
"NEI","NEI","CHARAL","Marine fishes NEI","NEI",NA,NA,"family name will need to be logged manually"
"NEI","Ostreidae","OSTION","Molluscs excl. Cephalopods","Ostreidae",NA,"Ostreidae","family name was estimated from previous keys"
"Balistes","Balistidae","CARPA","Demersal marine fishes","Balistidae","Balistidae","Balistidae","family name was estimated from previous keys"
NA,NA,"CAMARON","Shrimps, prawns",NA,NA,NA,"family name will need to be logged manually"
"NEI","Portunidae","JAIBA","Crustaceans","Portunidae",NA,"Portunidae","family name was estimated from previous keys"
"Cynoscion","Sciaenidae","CORVINA","Demersal marine fishes","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
"NEI","Ariidae","BANDERA","Demersal marine fishes","Ariidae",NA,"Ariidae","family name was estimated from previous keys"
"Lutjanus","Lutjanidae","GUACHINANGO","Demersal marine fishes","Lutjanidae","Lutjanidae","Lutjanidae","family name was estimated from previous keys"
"Mugil","Mugilidae","LISA","Demersal marine fishes","Mugilidae","Mugilidae","Mugilidae","family name was estimated from previous keys"
"Hyporthodus","Serranidae","BAQUETA","Demersal marine fishes","Serranidae","Serranidae","Serranidae","family name was estimated from previous keys"
"Penaeus","Penaeidae","CAMARON","Shrimps, prawns","Penaeidae","Penaeidae","Penaeidae","family name was estimated from previous keys"
"Scomberomorus","Scombridae","SIERRA","Pelagic marine fish (excl. anchovy & sardine)","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"Eucinostomus","Gerreidae","MOJARRA","Demersal marine fishes","Gerreidae","Gerreidae","Gerreidae","family name was estimated from previous keys"
NA,NA,"ALMEJA","Molluscs excl. Cephalopods",NA,NA,NA,"family name will need to be logged manually"
"Mobula","Myliobatidae","RAYA Y SIMILARES","Demersal marine fishes","Myliobatidae","Myliobatidae","Myliobatidae","family name was estimated from previous keys"
"Gerres","Gerreidae","BANDERA","Demersal marine fishes","Gerreidae","Gerreidae","Gerreidae","family name was estimated from previous keys"
"Anisotremus","Haemulidae","MOJARRA","Demersal marine fishes","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Trachinotus","Carangidae","PAMPANO","Pelagic marine fish (excl. anchovy & sardine)","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Hypanus","Dasyatidae","RAYA Y SIMILARES","Demersal marine fishes","Dasyatidae","Dasyatidae","Dasyatidae","family name was estimated from previous keys"
"Micropogonias","Sciaenidae","BERRUGATA","Demersal marine fishes","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
"NEI","Muricidae","CARACOL","Molluscs excl. Cephalopods","Muricidae",NA,"Muricidae","family name was estimated from previous keys"
"Mycteroperca","Serranidae","CABRILLA","Demersal marine fishes","Serranidae","Serranidae","Serranidae","family name was estimated from previous keys"
"Megapitaria","Veneridae","ALMEJA","Molluscs excl. Cephalopods","Veneridae","Veneridae","Veneridae","family name was estimated from previous keys"
"Scomber","Scombridae","MACARELA","Pelagic marine fish (excl. anchovy & sardine)","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"NEI","Paralichthyidae","LENGUADO","Demersal marine fishes","Paralichthyidae",NA,"Paralichthyidae","family name was estimated from previous keys"
"Hoplopagrus","Lutjanidae","PARGO","Demersal marine fishes","Lutjanidae","Lutjanidae","Lutjanidae","family name was estimated from previous keys"
"Brotula","Ophidiidae","LENGUADO","Demersal marine fishes","Ophidiidae","Ophidiidae","Ophidiidae","family name was estimated from previous keys"
"Caulolatilus","Malacanthidae","PIERNA","Demersal marine fishes","Malacanthidae","Malacanthidae","Malacanthidae","family name was estimated from previous keys"
"Haemulopsis","Haemulidae","RONCO","Demersal marine fishes","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Eugerres","Gerreidae","MOJARRA","Demersal marine fishes","Gerreidae","Gerreidae","Gerreidae","family name was estimated from previous keys"
"NEI","Carangidae","JUREL","Pelagic marine fish (excl. anchovy & sardine)","Carangidae",NA,"Carangidae","family name was estimated from previous keys"
"Dosinia","Veneridae","ALMEJA","Molluscs excl. Cephalopods","Veneridae","Veneridae","Veneridae","family name was estimated from previous keys"
"Katsuwonus","Scombridae","BARRILETE","Pelagic marine fish (excl. anchovy & sardine)","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"Seriola","Carangidae","ESMEDREGAL","Pelagic marine fish (excl. anchovy & sardine)","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Hyporthodus","Serranidae","BAQUETA","Demersal marine fishes","Serranidae","Serranidae","Serranidae","family name was estimated from previous keys"
"NEI","NEI","RAYA Y SIMILARES","Demersal marine fishes","NEI",NA,NA,"family name will need to be logged manually"
"NEI","NEI","LANGOSTINO","Shrimps, prawns","NEI",NA,NA,"family name will need to be logged manually"
"Gelidium","family missing but genus available","ALGAS","Marine algae","family missing but genus available","Gelidiaceae","Gelidiaceae","family name was estimated from previous keys"
"Menticirrhus","Sciaenidae","BERRUGATA","Demersal marine fishes","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
"Pseudobatos","Rhinobatidae","RAYA Y SIMILARES","Demersal marine fishes","Rhinobatidae","Rhinobatidae","Rhinobatidae","family name was estimated from previous keys"
"Paralabrax","Serranidae","CABRILLA","Demersal marine fishes","Serranidae","Serranidae","Serranidae","family name was estimated from previous keys"
NA,NA,"LEBRANCHA","Demersal marine fishes",NA,NA,NA,"family name will need to be logged manually"
NA,NA,"JUREL","Pelagic marine fish (excl. anchovy & sardine)",NA,NA,NA,"family name will need to be logged manually"
"Sarda","Carangidae","BONITO","Pelagic marine fish (excl. anchovy & sardine)","Carangidae","Scombridae","Carangidae","family name was estimated from previous keys"
"Megastraea","Turbinidae","CARACOL","Molluscs excl. Cephalopods","Turbinidae","Turbinidae","Turbinidae","family name was estimated from previous keys"
"Argopecten","Pectinidae","ALMEJA","Molluscs excl. Cephalopods","Pectinidae","Pectinidae","Pectinidae","family name was estimated from previous keys"
NA,"Ostreidae","OSTION","Molluscs excl. Cephalopods","Ostreidae",NA,"Ostreidae","family name was estimated from previous keys"
"Calamus","Sparidae","MOJARRA","Demersal marine fishes","Sparidae","Sparidae","Sparidae","family name was estimated from previous keys"
"Epinephelus","NEI","MERO","Demersal marine fishes","NEI","Serranidae","Serranidae","family name was estimated from genus name using taxize function"
NA,NA,"RAYA Y SIMILARES","Demersal marine fishes",NA,NA,NA,"family name will need to be logged manually"
"Epinephelus","Serranidae","MERO","Demersal marine fishes","NEI","Serranidae","Serranidae","family name was estimated from genus name using taxize function"
"Panulirus","Palinuridae","LANGOSTA","Crustaceans","Palinuridae","Palinuridae","Palinuridae","family name was estimated from previous keys"
NA,NA,"SARGAZO","Marine algae",NA,NA,NA,"family name will need to be logged manually"
"Thunnus","Scombridae","ATUN","Pelagic marine fish (excl. anchovy & sardine)","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"NEI","NEI","MERO","Demersal marine fishes","NEI",NA,NA,"family name will need to be logged manually"
"Ariopsis","family missing but genus available","BAGRE","Demersal marine fishes","family missing but genus available","Ariidae","Ariidae","family name was estimated from previous keys"
"NEI","NEI","ROBALO","Demersal marine fishes","NEI",NA,NA,"family name will need to be logged manually"
"NEI","Haemulidae;;Leiognathidae;;Mullidae;;Nemipteridae;;Sciaenidae;;Sparidae;;Synodontidae;;Lethrinidae;;Lutjanidae;;Serranidae","RONCO","Demersal marine fishes","Haemulidae;;Leiognathidae;;Mullidae;;Nemipteridae;;Sciaenidae;;Sparidae;;Synodontidae;;Lethrinidae;;Lutjanidae;;Serranidae",NA,"Haemulidae;;Leiognathidae;;Mullidae;;Nemipteridae;;Sciaenidae;;Sparidae;;Synodontidae;;Lethrinidae;;Lutjanidae;;Serranidae","family name was estimated from previous keys"
"Litopenaeus","Penaeidae","CAMARON","Shrimps, prawns","Penaeidae","Penaeidae","Penaeidae","family name was estimated from previous keys"
"NEI","Penaeidae","CAMARON","Shrimps, prawns","Penaeidae",NA,"Penaeidae","family name was estimated from previous keys"
"NEI","Serranidae","MERO","Demersal marine fishes","Serranidae",NA,"Serranidae","family name was estimated from previous keys"
"Hexaplex","Muricidae","CARACOL","Molluscs excl. Cephalopods","Muricidae","Muricidae","Muricidae","family name was estimated from previous keys"
"Panopea","Hiatellidae","ALMEJA","Molluscs excl. Cephalopods","Hiatellidae","Hiatellidae","Hiatellidae","family name was estimated from previous keys"
"Chione","Veneridae","ALMEJA","Molluscs excl. Cephalopods","Veneridae","Veneridae","Veneridae","family name was estimated from previous keys"
"Crassostrea","Ostreidae","OSTION","Molluscs excl. Cephalopods","Ostreidae","Ostreidae","Ostreidae","family name was estimated from previous keys"
NA,NA,"PARGO","Demersal marine fishes",NA,NA,NA,"family name will need to be logged manually"
"NEI","Palinuridae","LANGOSTA","Crustaceans","Palinuridae",NA,"Palinuridae","family name was estimated from previous keys"
"NEI","Scombridae","ATUN","Pelagic marine fish (excl. anchovy & sardine)","Scombridae",NA,"Scombridae","family name was estimated from previous keys"
"Chirostoma","NEI","CHARAL","Marine fishes NEI","NEI","Atherinopsidae","Atherinopsidae","family name was estimated from genus name using taxize function"
NA,"Sciaenidae","CORVINA","Demersal marine fishes","Sciaenidae",NA,"Sciaenidae","family name was estimated from previous keys"
"unknown",NA,"OTRAS","Molluscs excl. Cephalopods",NA,NA,NA,"family name will need to be logged manually"
"NEI","NEI","OTRAS","Marine fishes NEI","NEI",NA,NA,"family name will need to be logged manually"
"Coryphaena","Coryphaenidae","OTRAS","Pelagic marine fish (excl. anchovy & sardine)","Coryphaenidae","Coryphaenidae","Coryphaenidae","family name was estimated from previous keys"
"Sphoeroides","Tetraodontidae","OTRAS","Demersal marine fishes","Tetraodontidae","Tetraodontidae","Tetraodontidae","family name was estimated from previous keys"
"Pseudobatos","Rhinobatidae","RAYA Y SIMILARES","Demersal marine fishes","Rhinobatidae","Rhinobatidae","Rhinobatidae","family name was estimated from previous keys"
"Haemulon","Haemulidae","OTRAS","Demersal marine fishes","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Acanthurus","Acanthuridae","OTRAS","Demersal marine fishes","Acanthuridae","Acanthuridae","Acanthuridae","family name was estimated from previous keys"
"Balistes","Balistidae","CARPA","Demersal marine fishes","Balistidae","Balistidae","Balistidae","family name was estimated from previous keys"
"NEI","Sphyraenidae","OTRAS","Pelagic marine fish (excl. anchovy & sardine)","Sphyraenidae",NA,"Sphyraenidae","family name was estimated from previous keys"
"Selene","Carangidae","OTRAS","Pelagic marine fish (excl. anchovy & sardine)","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Caranx","Carangidae","OTRAS","Pelagic marine fish (excl. anchovy & sardine)","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Lutjanus","Lutjanidae","GUACHINANGO","Demersal marine fishes","Lutjanidae","Lutjanidae","Lutjanidae","family name was estimated from previous keys"
"NEI","NEI","OTRAS","Marine species NEI","NEI",NA,NA,"family name will need to be logged manually"
"Anisotremus","Haemulidae","MOJARRA","Demersal marine fishes","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
