"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"CAMARON","CAMARON",NA,NA,"Penaeus","Shrimps, prawns","Shrimps, prawns","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MACARELA","MACARELA",NA,NA,"Scomber","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Opisthonema","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Sardinops","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Mobula","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Squatina","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,NA,"NEI","Crustaceans","Crustaceans","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CABRILLA","CABRILLA",NA,NA,"Mycteroperca","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"PULPO","PULPO",NA,NA,"NEI","Cephalopods","Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CAZON","CAZON",NA,NA,"NEI","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Mustelus","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,"Cynoscion","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LANGOSTA","LANGOSTA",NA,NA,"Panulirus","Crustaceans","Crustaceans","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,NA,NA,"Shrimps, prawns","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CALAMAR","CALAMAR",NA,NA,"Dosidicus","Cephalopods","Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Argopecten","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"NEI","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Pseudobatos","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Hypanus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BAGRE","BAGRE",NA,NA,"NEI","Freshwater fishes","Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Cyprinus","Freshwater fishes","Freshwater fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LOBINA","LOBINA",NA,NA,"Micropterus","Freshwater fishes","Freshwater fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Oreochromis","Freshwater fishes","Freshwater fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"NEI","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"BANDERA","BANDERA",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"PAMPANO","PAMPANO",NA,NA,"Trachinotus","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"SIERRA","SIERRA",NA,NA,"Scomberomorus","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,"Mugil","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
