recorded_taxa_group,recorded_taxa_name_clean,Type,MAR_Key_Manual,Logic
ABULON,ABULON,Gastropod,Exclude,Experts say no Abalone harvest in the Goc
ALMEJA,ALMEJA,Bivalve,Molluscs (primarily bivalves),
ALMEJA,ALMEJA BLANCA,Bivalve,Molluscs (primarily bivalves),
ALMEJA,ALMEJA CATARINA,Bivalve,Molluscs (primarily bivalves),
ALMEJA,ALMEJA CHOCOLATA,Bivalve,Molluscs (primarily bivalves),
ALMEJA,ALMEJA GENEROSA,Bivalve,Molluscs (primarily bivalves),
ALMEJA,ALMEJA PATA MULA,Bivalve,Molluscs (primarily bivalves),
ATUN,ATUN ALETA AZUL P,Tuna,Finfish,Might need to exclude this later. Not sure if there is actually any mariculture for tuna in the GoC. 
BAGRE,JUILE,Catfish,Exclude,Likely freshwater catfish.
CAMARON,CAMARON AZUL,Shrimp,Shrimp,
CAMARON,CAMARON BLANCO,Shrimp,Shrimp,
CAMARON,CAMARON BLANCO (LITOPENAEUS VANNAMEI),Shrimp,Shrimp,
CAMARON,CAMARON CAFE,Shrimp,Shrimp,
CARACOL,CARACOL,Snail,Molluscs (primarily bivalves),
CHARAL,CHARAL (CHIROSTOMA SPHYRAENA),Freshwater silverside,Exclude,Likely freshwater silverside.
GUACHINANGO,GUACHINANGO,Snapper,Finfish,Possibly exclude; not sure if there is aquaculture for Guanchinango in this region?
JUREL,JUREL,Snapper,Finfish,
LENGUADO,LENGUADO,Sole,Finfish,
MOJARRA,MOJARRA,Possibly Tilapia,Exclude,Likely freshwater (things like Tilapia)
MOJARRA,MOJARRA CASTARRICA,Possibly Tilapia,Exclude,Likely freshwater (things like Tilapia)
OSTION,OSTION,Bivalve,Molluscs (primarily bivalves),
OSTION,OSTION JAPONES,Bivalve,Molluscs (primarily bivalves),
OSTION,OSTION JAPONES (CRASSOSTREA GIGAS),Bivalve,Molluscs (primarily bivalves),
OSTION,OSTION JAPONES (MAGALLANA GIGAS),Bivalve,Molluscs (primarily bivalves),
OSTION,OSTION KUMAMOTO (CRASSOSTREA SIKAMEA),Bivalve,Molluscs (primarily bivalves),
OSTION,OSTION MANGLE,Bivalve,Molluscs (primarily bivalves),
OSTION,OSTION PLACER,Bivalve,Molluscs (primarily bivalves),
OSTION,OSTION ROCA,Bivalve,Molluscs (primarily bivalves),
OTRAS,CALLO HACHA,Bivalve,Molluscs (primarily bivalves),
OTRAS,LAGARTO,Lizardfish,Exclude,No evidence for aquaculture of this species.
OTRAS,TOPOTE,Chirostoma spp.,Exclude,Likely freshwater silverside.
ROBALO,ROBALO,Snook,Finfish,Possible exclude?
TRUCHA,TRUCHA ARCO-IRIS,Trout,Exclude,Freshwater aquaculture of trout?
