recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,IHH_functional_major_groups_sm,Major_Functional_Group,ornamentalFLAG_1,Manual_Classification_Notes
OTRAS,callo hacha,unknown,not applicable,no data in keys,Atrina,manual entry,NA,Molluscs excl. Cephalopods,POSSIBLY,https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/
FAUNA,fauna acompa√±amiento,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,NO,Generic bycatch category; cannot assign species or genus.
OTRAS,rana,unknown,not applicable,no data in keys,NA,manual entry,NA,Other freshwater taxa,NO,Frogs!
OTRAS,cangrejo pulpa,unknown,not applicable,no data in keys,NA,manual entry,NA,Crustaceans,NO,Most likely Callinectes but cannot say for certain.
OTRAS,estrella mar,unknown,not applicable,no data in keys,NA,manual entry,NA,Echinoderm,YES,Sea stars; likely ornamental harvest
OTRAS,galleta mar,unknown,not applicable,no data in keys,Dendraster,manual entry,NA,Echinoderm,YES,Sand dollar; likely ornamental harvest
OTRAS,charchina,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,NA,I don't know what this is… an urchin perhaps?
OTRAS,charrito,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Pelagic marine fishes,NO,Likely some form of jack mackerel or lookdown
OTRAS,guacamaya,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Demersal marine fishes,NO,A rainbow parrotfish?
OTRAS,otras especies agua marina sin registro oficial,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,NO,Generic category; cannot assign species or genus.
OTRAS,caballito mar,unknown,not applicable,no data in keys,Hippocampus,manual entry,NA,Demersal marine fishes,YES,Sea horse; likely ornamental
OTRAS,pez mar,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,NO,Generic marine fish category; cannot assign species or genus.
OTRAS,maula,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,NO,I don't know what this is… a fish?
OTRAS,otras especies sin registro oficial,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,NO,Generic category; cannot assign species or genus.
OTRAS,perca,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,NO,A surf perch?
OTRAS,tambor,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,NO,Some sort of drum
OTRAS,negrillo,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Demersal marine fishes,NO,Probably a grouper
