"recorded_taxa_group","common_name_clean","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","IHH_functional_major_groups_sm","estimated_taxa_group","Major_Functional_Group"
"OTRAS","callo hacha","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"FAUNA","fauna acompañamiento","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","rana","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cangrejo pulpa","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","estrella mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","galleta mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","chupalodo","Gillichthys mirabilis","high confidence","match to Hem's key","Gillichthys","genus derived from known species",NA,NA,NA
"OTRAS","hacha china","Atrina maura","high confidence","match to Hem's key","Atrina","genus derived from known species",NA,NA,NA
"OTRAS","hacha larga","Pinna rugosa","high confidence","match to Hem's key","Pinna","genus derived from known species",NA,NA,NA
"OTRAS","machete","Ethmidium maculatum","high confidence","match to Hem's key","Ethmidium","genus derived from known species",NA,NA,NA
"OTRAS","rana leopardo","Rana brownorum","high confidence","match to Hem's key","Rana","genus derived from known species",NA,NA,NA
"OTRAS","charchina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","charrito","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","guacamaya","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","otras especies agua marina sin registro oficial","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","caballito mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","marlin azul","Makaira ampla","high confidence","match to Hem's key","Makaira","genus derived from known species",NA,NA,NA
"OTRAS","marlin rayado","Tetrapturus audax","high confidence","match to Hem's key","Tetrapturus","genus derived from known species",NA,NA,NA
"PECES DE ORNATO","especies ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","rana toro","Rana catesbeiana ","high confidence","match to Hem's key","Rana","genus derived from known species",NA,NA,NA
"OTRAS","chopa espina","Spondyliosoma cantharus","high confidence","match to Hem's key","Spondyliosoma","genus derived from known species",NA,NA,NA
"OTRAS","botete amarillo","Sphoeroides annulatus","high confidence","match to Hem's key","Sphoeroides","genus derived from known species",NA,NA,NA
"OTRAS","cangrejo ermitaño","Pagurus bernhardus","high confidence","match to Hem's key","Pagurus","genus derived from known species",NA,NA,NA
"OTRAS","pez mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","gallineta","Helicolenus dactylopterus","high confidence","match to Hem's key","Helicolenus","genus derived from known species",NA,NA,NA
"OTRAS","maula","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","pollo","Helicolenus dactylopterus","high confidence","match to Hem's key","Helicolenus","genus derived from known species",NA,NA,NA
"OTRAS","indio","Paranthias furcifer","high confidence","match to Hem's key","Paranthias","genus derived from known species",NA,NA,NA
"OTRAS","marlin negro","Makaira indica","high confidence","match to Hem's key","Makaira","genus derived from known species",NA,NA,NA
"OTRAS","pistola","Fistularia petimba","high confidence","match to Hem's key","Fistularia","genus derived from known species",NA,NA,NA
"OTRAS","otras especies sin registro oficial","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
