"recorded_taxa_group","common_name_clean","estimated_species_name.x","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_taxa_group","estimated_species_name.y","Manual_Classification_Notes","ornamentalFLAG_1","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group"
"OTRAS","callo hacha","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/","POSSIBLY",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups"
"FAUNA","fauna acompa√±amiento","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic bycatch category; cannot assign species or genus.","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","rana","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Frogs!","NO",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo pulpa","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Most likely Callinectes but cannot say for certain.","NO",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","estrella mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Sea stars; likely ornamental harvest","YES",NA,"Echinoderms","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","galleta mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Sand dollar; likely ornamental harvest","YES",NA,"Echinoderms","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","chupalodo","Gillichthys mirabilis","high confidence","match to Hem's key","Gillichthys","genus derived from known species",NA,"Gillichthys mirabilis","Longjaw mudsucker, large bogy","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","hacha china","Atrina maura","high confidence","match to Hem's key","Atrina","genus derived from known species",NA,"Atrina maura","Pinna, callo de hacha","POSSIBLY",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","hacha larga","Pinna rugosa","high confidence","match to Hem's key","Pinna","genus derived from known species",NA,"Pinna rugosa","Rough pen shell","POSSIBLY",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","machete","Ethmidium maculatum","high confidence","match to Hem's key","Ethmidium","genus derived from known species",NA,"Ethmidium maculatum","Pacific menhaden","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","rana leopardo","Rana brownorum","high confidence","match to Hem's key","Rana","genus derived from known species",NA,"Rana brownorum","Brown’s frog","NO",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","charchina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… an urchin perhaps?",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","charrito","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Likely some form of jack mackerel or lookdown","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","charrito","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"Trachurus Symmetricus","Pacific jack mackerel","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","guacamaya","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","A rainbow parrotfish?","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","otras especies agua marina sin registro oficial","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic category; cannot assign species or genus.","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","caballito mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Sea horse; likely ornamental","YES",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","marlin azul","Makaira ampla","high confidence","match to Hem's key","Makaira","genus derived from known species",NA,"Makaira ampla","Atlantic blue marlin","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","marlin rayado","Tetrapturus audax","high confidence","match to Hem's key","Tetrapturus","genus derived from known species",NA,"Tetrapturus audax","Striped marlin","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","especies ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic category; cannot assign species or genus.","YES",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","rana toro","Rana catesbeiana","high confidence","match to Hem's key","Rana","genus derived from known species",NA,"Rana catesbeiana¬†","American bullfrog","NO",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","chopa espina","Spondyliosoma cantharus","high confidence","match to Hem's key","Spondyliosoma","genus derived from known species",NA,"Spondyliosoma cantharus","Black seabream","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","botete amarillo","Sphoeroides annulatus","high confidence","match to Hem's key","Sphoeroides","genus derived from known species",NA,"Sphoeroides annulatus","Bullseye puffer","POSSIBLY",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo ermita√±o","Pagurus bernhardus","high confidence","match to Hem's key","Pagurus","genus derived from known species",NA,"Pagurus bernhardus","Common hermit crab","POSSIBLY",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","pez mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic marine fish category; cannot assign species or genus.","NO",NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","gallineta","Helicolenus dactylopterus","high confidence","match to Hem's key","Helicolenus","genus derived from known species",NA,"Helicolenus dactylopterus","Blackbelly rosefish, looks like a rockfish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","maula","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… a fish?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","pollo","Helicolenus dactylopterus","high confidence","match to Hem's key","Helicolenus","genus derived from known species",NA,"Helicolenus dactylopterus","Blackbelly rosefish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","indio","Paranthias furcifer","high confidence","match to Hem's key","Paranthias","genus derived from known species",NA,"Paranthias furcifer","Creole fish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","marlin negro","Makaira indica","high confidence","match to Hem's key","Makaira","genus derived from known species",NA,"Makaira indica","Black marlin","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","pistola","Fistularia petimba","high confidence","match to Hem's key","Fistularia","genus derived from known species",NA,"Fistularia petimba","Red cornetfish","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","otras especies sin registro oficial","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic category; cannot assign species or genus.","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","juez","Bathystoma rimator","high confidence","match to Hem's key","Bathystoma","genus derived from known species",NA,"Bathystoma rimator","grunt","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","perca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","A surf perch?","NO",NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","tambor","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Some sort of drum","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","caiman","Bathygobius soporator","high confidence","match to Hem's key","Bathygobius","genus derived from known species",NA,"Bathygobius soporator¬†","Frillfin goby","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","negrillo","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Probably a grouper","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","orihuelos","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… a fish?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","peje lagarto","Lepidoseus viridis","high confidence","match to Hem's key","Lepidoseus","genus derived from known species",NA,"Lepidoseus viridis","Possibly a freshwater gar?","NO",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","botete negro","Sphoeroides annulatus","high confidence","match to Hem's key","Sphoeroides","genus derived from known species",NA,"Sphoeroides annulatus","Bullseye puffer","POSSIBLY",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","pata cabra","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Some sort of intertidal invertebrate?","NO",NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","soldadito","Bellator militaris","high confidence","match to Hem's key","Bellator","genus derived from known species",NA,"Bellator militaris","Horned sea robin","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cubera","Lujtanus cyanopterus","high confidence","match to Hem's key","Lujtanus","genus derived from known species",NA,"Lujtanus cyanopterus","Bluefin snapper","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cocuyo","Bairdiella ronchus","high confidence","match to Hem's key","Bairdiella","genus derived from known species",NA,"Bairdiella ronchus","Gulf croaker","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","codorniz","Cheilotrema saturnum","high confidence","match to Hem's key","Cheilotrema","genus derived from known species",NA,"Cheilotrema saturnum","Blackcroaker","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","tonzac","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… a shellfish perhaps?",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","pez peine","Pristis pectinata","high confidence","match to Hem's key","Pristis","genus derived from known species",NA,"Pristis pectinata¬†","Smalltooth sawfish","NO",NA,"Sharks","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","isabelita","Chaetodipterus faber","high confidence","match to Hem's key","Chaetodipterus","genus derived from known species",NA,"Chaetodipterus faber¬†","Atlantic spadefish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","ratina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… a fish perhaps?",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
