"recorded_taxa_group","common_name_clean","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","IHH_functional_major_groups_sm","Major_Functional_Group"
"OTRAS","callo hacha","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"FAUNA","fauna acompañamiento","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","rana","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","cangrejo pulpa","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","estrella mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","galleta mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","charchina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","charrito","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","guacamaya","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","otras especies agua marina sin registro oficial","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","caballito mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","pez mar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","maula","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","otras especies sin registro oficial","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","perca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","tambor","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","negrillo","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","orihuelos","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","pata cabra","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","bacinico","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","tonzac","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","ratina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"ESPECIE GENERICA","especie generica","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","acocil","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","criollo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","ripio","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","medusa bola cañon","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","madre perla","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","arbolito","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","burriquete","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","coral","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","lagartija","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","boca novia","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","ala angel","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","abogado","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","escochin","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","baina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","plantas acuaticas","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","sanducha","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","topuche","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","congrio","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","coral blanco","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","tolete","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","acedia","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","crappie","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","cojinete","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","corvinato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","nacar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","topote del pacífico","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","callo media luna","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","nacar perlas cultivadas","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","nacar medias perlas cultivadas","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","nacar callo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","jordan","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","roca se","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","pez globo","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA
"OTRAS","cangrejo araña","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","callo hacha largo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"FAUNA","fauna acompa�amiento","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","medusa bola ca�on","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"ORNATO","especies ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","cangrejo ermita�o","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","botete diana","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"ORNATO","tetra rojo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","topote","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"ORNATO","peces ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"ORNATO","barbo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"ORNATO","pez payaso ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","cangrejo moro manglar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"ORNATO","estrella limpiadora","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","cangrejo moteado roca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
"OTRAS","cangrejo rojo roca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA
