State,OHI_rgn,OHI_Region_No,Region_Name_Proposed,Exclude,Exclude_Notes
BAJA CALIFORNIA,NA,Region_1_2_Baja_TBD,NA,exclude,"Without OHI_rgn or lat-long info, it's unclear if this landing site is located on the GOC-side of the peninsula"
BAJA CALIFORNIA,Baja_California_North,Region_1,Western_Upper_Gulf,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
BAJA CALIFORNIA,Baja_California_South,Region_2,Western_Midriff_Islands,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
BAJA CALIFORNIA SUR,NA,BCS_Region_3_4_TBD,NA,exclude,"Without OHI_rgn or lat-long info, it's unclear if this landing site is located on the GOC-side of the peninsula"
BAJA CALIFORNIA SUR,Baja_California_Sur_North,Region_3,Western_Central Gulf,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
BAJA CALIFORNIA SUR,Baja_California_Sur_South,Region_4,Western_Southern_Gulf,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
SONORA,NA,Sonora_Region_4_5_6_TBD,NA,keep,"Without lat-long info or other regional details, it's unclear which part of Sonora and which OHI region this record belongs to (but we know it's in the GOC)"
SONORA,Sonora_North,Region_5,Eastern_Upper_Gulf,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
SONORA,Sonora_Mid,Region_6,Eastern_Midriff_Islands,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
SONORA,Sonora_South,Region_7,Eastern_Central_Gulf,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
SINALOA,NA,Region_8,Sinaloa_Coast,keep,"Excluding freshwater sites, we don't need a specific landing site or lat-long to know these landings came from the GOC region"
NAYARIT,NA,Region_9,Eastern_Southern_Gulf,keep,"Excluding freshwater sites, we don't need a specific landing site or lat-long to know these landings came from the GOC region"
JALISCO,Nayarit/Jalisco,Region_9,Eastern_Southern_Gulf,keep,"OHI_rgn currently assigned by Mel's keys, subject to change"
JALISCO,NA,Region_9_Jalisco_TBD,NA,exclude,"Without OHI_rgn or lat-long info, we don't know which part of Jalisco this record comes from and we can't say for certain it's in the GOC region"
