"state","landing_site","inside_GOC","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"SONORA","PUERTO PE√ëASCO","yes",NA,31.31,-113.54,NA,NA,NA,31.31,-113.54,"Sonora_North",NA
"SONORA","YAVAROS","yes",NA,26.702,-109.521,NA,NA,NA,26.702,-109.521,"Sonora_South",NA
"BAJA CALIFORNIA","ENSENADA","no",NA,31.8421621962963,-116.59740172963,"high confidence",31.8421621962963,-116.59740172963,31.8508,-116.6007,"Baja_California_North",NA
"BAJA CALIFORNIA","EL SAUZAL","no",NA,31.884,-116.6839,NA,NA,NA,31.884,-116.6839,"Baja_California_North",NA
"SONORA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","LAGUNA LAS FLORES Y GOLFO DE MEXICO","yes",NA,24.5843,-110.7416,NA,NA,NA,24.5843,-110.7416,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","MAZATLAN",NA,NA,23.2248653166667,-106.416681944444,"high confidence",23.2248653166667,-106.416681944444,NA,NA,NA,NA
"SINALOA","TOPOLOBAMPO",NA,NA,25.5982674305556,-109.049723444444,"high confidence",25.5982674305556,-109.049723444444,NA,NA,NA,NA
"SONORA","GUAYMAS","yes",NA,27.9197,-110.894,NA,NA,NA,27.9197,-110.894,"Sonora_South",NA
"BAJA CALIFORNIA","SAN FELIPE","yes",NA,31.0220527944444,-114.838044747222,"high confidence",31.0220527944444,-114.838044747222,31.0173,-114.8335,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","PICHILINGUE","yes",NA,24.27183215,-110.32755775,"high confidence",24.27183215,-110.32755775,24.2831,-110.3326,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","SAN CARLOS","no",NA,24.78975,-112.108,"alert 2: multiple lat-long values in Hem's key that are more than 1 degree apart",24.78975,-112.108,24.7661,-111.9669,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","PTO ADOLFO LOPEZ MATEOS","no",NA,25.1889,-112.1185,NA,NA,NA,25.1889,-112.1185,"Baja_California_Sur_South",NA
"NAYARIT","SAN BLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,"marine",NA,NA,NA,NA,NA,NA,NA,NA,"Matches Laguna Las Flores near Paraíso, Tabasco; coordinates from CONAGUA “Calidad de Agua Superficial 2021” (site LAGUNA LAS FLORES). This landing site name adds “y Golfo de México”, so I’d treat this as the lagoon outlet system on that coast, not Jalisco. (files.conagua.gob.mx)"
"JALISCO","PUERTO VALLARTA",NA,"marine",20.4868055555556,-105.183611111111,"high confidence",20.4868055555556,-105.183611111111,20.6534,-105.2253,"Nayarit/Jalisco","main port; obvious location"
"SONORA","BAHIA DE KINO","yes",NA,28.8255225,-111.939685277778,"high confidence",28.8255225,-111.939685277778,28.7912,-111.958,"Sonora_Mid",NA
"BAJA CALIFORNIA SUR","SAN LUCAS","yes",NA,22.891,-109.888,"alert 4: the lat-long values in Hem's key do not match the lat-long values in Mel's key by more than 2 degrees",25.9034673148148,-112.12543212963,22.891,-109.888,"Baja_California_Sur_South",NA
