"state","office_name_clean","landing_site_clean","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source","location","OHI.region_geo.est","OHI_state.assign","OHI_region_final","GOC_mel.est","GOC_state.assign","GOC_region.assign","GOC_final"
"SONORA","PUERTO PENASCO","PUERTO PENASCO",31.3120895111111,-113.539112344444,"state_office_site","Hem's state.site.office key","land","Region_5",NA,"Region_5","yes","yes","yes","yes"
"SONORA","HUATABAMPO","YAVAROS",26.7034766666667,-109.520553194444,"state_office_site","Hem's state.site.office key","land","Region_7",NA,"Region_7","yes","yes","yes","yes"
"BAJA CALIFORNIA","ENSENADA","ENSENADA",31.8421621962963,-116.59740172963,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"no",NA,NA,"no"
"BAJA CALIFORNIA","ENSENADA","EL SAUZAL",31.8921776666667,-116.694170133333,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"no",NA,NA,"no"
"SONORA","BAHIA KINO","LAGUNA LAS FLORES Y GOLFO MEXICO",28.8055591259102,-111.67893340009,"state_office","Hem's state.office key","land","Region_6",NA,"Region_6",NA,"yes","yes","yes"
"SONORA","PUERTO PENASCO","LAGUNA LAS FLORES Y GOLFO MEXICO",31.2062957681437,-112.840131163667,"state_office","Hem's state.office key","land","Region_6",NA,"Region_6",NA,"yes","yes","yes"
"SONORA","GUAYMAS","LAGUNA LAS FLORES Y GOLFO MEXICO",27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","land","Region_7",NA,"Region_7",NA,"yes","yes","yes"
"SONORA","HUATABAMPO","LAGUNA LAS FLORES Y GOLFO MEXICO",26.9777527919635,-109.501158823798,"state_office","Hem's state.office key","land","Region_7",NA,"Region_7",NA,"yes","yes","yes"
"SONORA","HERMOSILLO","LAGUNA LAS FLORES Y GOLFO MEXICO",29.8131410317644,-110.516027108254,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,"yes",NA,"yes"
"SINALOA","ESCUINAPA","LAGUNA LAS FLORES Y GOLFO MEXICO",24.158135848652,-107.17831721137,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","sea","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","LOS MOCHIS","LAGUNA LAS FLORES Y GOLFO MEXICO",25.9061091802143,-109.000942361955,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","LA REFORMA","LAGUNA LAS FLORES Y GOLFO MEXICO",25.3777422689077,-107.827987906537,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","NAVOLATO","LAGUNA LAS FLORES Y GOLFO MEXICO",24.7618565826978,-107.683397361755,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","GUASAVE","LAGUNA LAS FLORES Y GOLFO MEXICO",25.6967337583303,-108.220619264732,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","EL FUERTE","LAGUNA LAS FLORES Y GOLFO MEXICO",26.4366394191784,-108.393947350964,"state_office","Hem's state.office key",NA,NA,"Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","MAZATLAN","LAGUNA LAS FLORES Y GOLFO MEXICO",23.4941163147551,-106.379649136752,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","CULIACAN","LAGUNA LAS FLORES Y GOLFO MEXICO",24.5754023451913,-107.424419290528,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","EL ROSARIO","LAGUNA LAS FLORES Y GOLFO MEXICO",23.0980379467593,-105.898136535752,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"NAYARIT","SANTIAGO IXCUINTLA","LAGUNA LAS FLORES Y GOLFO MEXICO",21.9838665077391,-104.896760868459,"state_office","Hem's state.office key",NA,NA,"Region_9","Region_9",NA,"yes","yes","yes"
"NAYARIT","TUXPAN","LAGUNA LAS FLORES Y GOLFO MEXICO",22.0870969265372,-105.117770520497,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"NAYARIT","SAN BLAS","LAGUNA LAS FLORES Y GOLFO MEXICO",21.5467247384409,-105.258214734707,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"NAYARIT","PENITA JALTEMBA","LAGUNA LAS FLORES Y GOLFO MEXICO",21.1623836658869,-105.21154039308,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
