state,OHI_region_name,OHI_region_est,GOC_est,GOC_revised,Include_Exclude,Include_Exclude_uncertainty
BAJA CALIFORNIA,unknown,NA,NA,unknown,exclude,yes
BAJA CALIFORNIA,unknown,NA,no,no,exclude,no
BAJA CALIFORNIA,unknown,NA,yes,yes,include,no
BAJA CALIFORNIA,Western_Upper_Gulf,Region_1,yes,yes,include,no
BAJA CALIFORNIA,Western_Midriff_Islands,Region_2,NA,yes,include,yes
BAJA CALIFORNIA,Western_Midriff_Islands,Region_2,no,yes,include,yes
BAJA CALIFORNIA,Western_Midriff_Islands,Region_2,yes,yes,include,no
BAJA CALIFORNIA,Baja_California_Sur_North,Region_3,yes,yes,include,no
BAJA CALIFORNIA,Western_Southern_Gulf,Region_4,no,yes,include,yes
BAJA CALIFORNIA,Western_Southern_Gulf,Region_4,yes,yes,include,no
BAJA CALIFORNIA,Eastern_Upper_Gulf,Region_5,yes,yes,include,no
BAJA CALIFORNIA,Eastern_Midriff_Islands,Region_6,yes,yes,include,no
BAJA CALIFORNIA,Eastern_Central_Gulf,Region_7,yes,yes,include,no
BAJA CALIFORNIA,Sinaloan_Coast,Region_8,yes,yes,include,no
BAJA CALIFORNIA SUR,unknown,NA,NA,unknown,exclude,yes
BAJA CALIFORNIA SUR,unknown,NA,no,no,exclude,no
BAJA CALIFORNIA SUR,unknown,NA,yes,yes,include,no
BAJA CALIFORNIA SUR,Western_Midriff_Islands,Region_2,no,yes,include,yes
BAJA CALIFORNIA SUR,Western_Midriff_Islands,Region_2,yes,yes,include,no
BAJA CALIFORNIA SUR,Baja_California_Sur_North,Region_3,NA,yes,include,yes
BAJA CALIFORNIA SUR,Baja_California_Sur_North,Region_3,no,yes,include,yes
BAJA CALIFORNIA SUR,Baja_California_Sur_North,Region_3,yes,yes,include,no
BAJA CALIFORNIA SUR,Western_Southern_Gulf,Region_4,NA,yes,include,yes
BAJA CALIFORNIA SUR,Western_Southern_Gulf,Region_4,no,yes,include,yes
BAJA CALIFORNIA SUR,Western_Southern_Gulf,Region_4,yes,yes,include,no
BAJA CALIFORNIA SUR,Eastern_Upper_Gulf,Region_5,yes,yes,include,no
BAJA CALIFORNIA SUR,Eastern_Central_Gulf,Region_7,yes,yes,include,no
JALISCO,unknown,NA,NA,unknown,exclude,yes
JALISCO,unknown,NA,no,no,exclude,no
JALISCO,unknown,NA,yes,yes,include,no
JALISCO,Nayarit_Jalisco,Region_9,yes,yes,include,no
NAYARIT,unknown,NA,NA,yes,include,no
NAYARIT,Nayarit_Jalisco,Region_9,yes,yes,include,no
SINALOA,Sinaloan_Coast,Region_8,yes,yes,include,no
SONORA,unknown,NA,yes,yes,include,no
SONORA,Western_Upper_Gulf,Region_1,yes,yes,include,no
SONORA,Western_Midriff_Islands,Region_2,yes,yes,include,no
SONORA,Western_Southern_Gulf,Region_4,yes,yes,include,no
SONORA,Eastern_Upper_Gulf,Region_5,yes,yes,include,no
SONORA,Eastern_Midriff_Islands,Region_6,yes,yes,include,no
SONORA,Eastern_Central_Gulf,Region_7,yes,yes,include,no
SONORA,Sinaloan_Coast,Region_8,yes,yes,include,no
SONORA,Nayarit_Jalisco,Region_9,yes,yes,include,no
