state,OHI_region_est,OHI_region_name,GOC_est,GOC_Include_Exclude
BAJA CALIFORNIA,NA,NA,NA,exclude
BAJA CALIFORNIA,Region_1,Western_Upper_Gulf,yes,include
BAJA CALIFORNIA,Region_2,Western_Midriff_Islands,yes,include
BAJA CALIFORNIA,Region_3,Baja_California_Sur_North,yes,include
BAJA CALIFORNIA,Region_4,Western_Southern_Gulf,yes,include
BAJA CALIFORNIA,Region_5,Eastern_Upper_Gulf,yes,include
BAJA CALIFORNIA,Region_6,Eastern_Midriff_Islands,yes,include
BAJA CALIFORNIA,Region_7,Eastern_Central_Gulf,yes,include
BAJA CALIFORNIA,Region_8,Sinaloan_Coast,yes,include
BAJA CALIFORNIA SUR,NA,NA,NA,exclude
BAJA CALIFORNIA SUR,Region_2,Western_Midriff_Islands,yes,include
BAJA CALIFORNIA SUR,Region_3,Baja_California_Sur_North,yes,include
BAJA CALIFORNIA SUR,Region_4,Western_Southern_Gulf,yes,include
BAJA CALIFORNIA SUR,Region_5,Eastern_Upper_Gulf,yes,include
BAJA CALIFORNIA SUR,Region_7,Eastern_Central_Gulf,yes,include
JALISCO,NA,NA,NA,exclude
JALISCO,Region_9,Nayarit_Jalisco,yes,include
NAYARIT,Region_9,Nayarit_Jalisco,yes,include
SINALOA,Region_8,Sinaloan_Coast,yes,include
SONORA,NA,NA,yes,include
SONORA,Region_1,Western_Upper_Gulf,yes,include
SONORA,Region_2,Western_Midriff_Islands,yes,include
SONORA,Region_4,Western_Southern_Gulf,yes,include
SONORA,Region_5,Eastern_Upper_Gulf,yes,include
SONORA,Region_6,Eastern_Midriff_Islands,yes,include
SONORA,Region_7,Eastern_Central_Gulf,yes,include
SONORA,Region_8,Sinaloan_Coast,yes,include
SONORA,Region_9,Nayarit_Jalisco,yes,include
