"state","OHI_region_est","GOC_est"
"SONORA","Region_5","yes"
"SONORA","Region_7","yes"
"BAJA CALIFORNIA",NA,NA
"SONORA","Region_6","yes"
"SONORA",NA,"yes"
"SINALOA","Region_8","yes"
"NAYARIT","Region_9","yes"
"BAJA CALIFORNIA","Region_4","yes"
"BAJA CALIFORNIA SUR","Region_3","yes"
"BAJA CALIFORNIA SUR",NA,NA
"BAJA CALIFORNIA SUR","Region_4","yes"
"BAJA CALIFORNIA","Region_1","yes"
"JALISCO",NA,NA
"JALISCO","Region_9","yes"
"BAJA CALIFORNIA","Region_2","yes"
"BAJA CALIFORNIA","Region_3","yes"
"BAJA CALIFORNIA SUR","Region_2","yes"
"BAJA CALIFORNIA","Region_5","yes"
"BAJA CALIFORNIA SUR","Region_7","yes"
"BAJA CALIFORNIA","Region_8","yes"
"BAJA CALIFORNIA SUR","Region_5","yes"
"SONORA","Region_9","yes"
"SONORA","Region_4","yes"
"BAJA CALIFORNIA","Region_6","yes"
"SONORA","Region_8","yes"
"SONORA","Region_1","yes"
"SONORA","Region_2","yes"
"BAJA CALIFORNIA","Region_7","yes"
