"state","landing_site","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"SONORA","PUERTO PE√ëASCO",NA,31.31,-113.54,NA,NA,NA,31.31,-113.54,"Sonora_North",NA
"SONORA","YAVAROS",NA,26.702,-109.521,NA,NA,NA,26.702,-109.521,"Sonora_South",NA
"SONORA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,24.5843,-110.7416,NA,NA,NA,24.5843,-110.7416,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","MAZATLAN",NA,23.2248653166667,-106.416681944444,"high confidence",23.2248653166667,-106.416681944444,NA,NA,NA,NA
"SINALOA","TOPOLOBAMPO",NA,25.5982674305556,-109.049723444444,"high confidence",25.5982674305556,-109.049723444444,NA,NA,NA,NA
"SONORA","GUAYMAS",NA,27.9197,-110.894,NA,NA,NA,27.9197,-110.894,"Sonora_South",NA
"BAJA CALIFORNIA","SAN FELIPE",NA,31.0220527944444,-114.838044747222,"high confidence",31.0220527944444,-114.838044747222,31.0173,-114.8335,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","PICHILINGUE",NA,24.27183215,-110.32755775,"high confidence",24.27183215,-110.32755775,24.2831,-110.3326,"Baja_California_Sur_South",NA
"NAYARIT","SAN BLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","LAGUNA LAS FLORES Y GOLFO DE MEXICO","marine",NA,NA,NA,NA,NA,NA,NA,NA,"Matches Laguna Las Flores near Paraíso, Tabasco; coordinates from CONAGUA “Calidad de Agua Superficial 2021” (site LAGUNA LAS FLORES). This landing site name adds “y Golfo de México”, so I’d treat this as the lagoon outlet system on that coast, not Jalisco. (files.conagua.gob.mx)"
"JALISCO","PUERTO VALLARTA","marine",20.4868055555556,-105.183611111111,"high confidence",20.4868055555556,-105.183611111111,20.6534,-105.2253,"Nayarit/Jalisco","main port; obvious location"
"SONORA","BAHIA DE KINO",NA,28.8255225,-111.939685277778,"high confidence",28.8255225,-111.939685277778,28.7912,-111.958,"Sonora_Mid",NA
"BAJA CALIFORNIA SUR","SAN LUCAS",NA,22.891,-109.888,"alert 4: the lat-long values in Hem's key do not match the lat-long values in Mel's key by more than 2 degrees",25.9034673148148,-112.12543212963,22.891,-109.888,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA","BAHIA DE LOS ANGELES",NA,28.9890473611111,-113.555491388889,"high confidence",28.9890473611111,-113.555491388889,29.03,-113.551,"Baja_California_South",NA
"NAYARIT","CRUZ DE HUANACAXTLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GOLFO DE SANTA CLARA",NA,31.6899486111111,-114.500918611111,"high confidence",31.6899486111111,-114.500918611111,31.6835,-114.484,"Sonora_North",NA
"SONORA","PAREDON COLORADO",NA,27.0441,-109.934,NA,NA,NA,27.0441,-109.934,"Sonora_South",NA
"BAJA CALIFORNIA SUR","LA PAZ",NA,24.1467119333333,-110.308781033333,"high confidence",24.1467119333333,-110.308781033333,24.1494,-110.3229,"Baja_California_Sur_South",NA
"SINALOA","LA PUERTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","EL SAUZAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","PARAJE NUEVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","SAN NICOLAS",NA,28.4617,-111.76,NA,NA,NA,28.4617,-111.76,"Sonora_Mid",NA
"SONORA","LA PUERTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","TEACAPAN, SIN.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
