"state","landing_site","inside_GOC","est_habitat","lat_est","lon_est","latlon_est_flag","HemKey_lat","HemKey_lon","HemPermitKey_lat","HemPermitKey_lon","MelKey_lat","MelKey_lon"
"SONORA","PUERTO PE√ëASCO","yes",NA,31.31,-113.54,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,31.31,-113.54,"Sonora_North",NA
"SONORA","YAVAROS","yes",NA,26.702,-109.521,NA,26.702,-109.521,26.702,-109.521,"Sonora_South",NA
"BAJA CALIFORNIA","ENSENADA","no",NA,31.8089438888889,-116.595133888889,NA,31.8089438888889,-116.595133888889,31.8508,-116.6007,"Baja_California_North",NA
"BAJA CALIFORNIA","EL SAUZAL","no",NA,31.89622,-116.699,NA,31.89622,-116.699,31.884,-116.6839,"Baja_California_North",NA
"SONORA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"OAXACA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"NAYARIT","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"MICHOACAN","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"COLIMA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","CATAZAJA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","LAGUNA LAS FLORES Y GOLFO DE MEXICO","yes",NA,24.5843,-110.7416,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,24.5843,-110.7416,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","MAZATLAN",NA,NA,23.2003158333333,-106.422221388889,NA,23.2003158333333,-106.422221388889,NA,NA,NA,NA
"GUERRERO","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","TOPOLOBAMPO",NA,NA,25.5986872222222,-109.049525277778,NA,25.5986872222222,-109.049525277778,NA,NA,NA,NA
"SONORA","GUAYMAS","yes",NA,27.92332,-110.889,NA,27.92332,-110.889,27.9197,-110.894,"Sonora_South",NA
"BAJA CALIFORNIA","SAN FELIPE","yes",NA,31.0229202777778,-114.838901388889,NA,31.0229202777778,-114.838901388889,31.0173,-114.8335,"Baja_California_North",NA
"OAXACA","SALINA CRUZ",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PICHILINGUE","yes",NA,24.27009,-110.322,NA,24.27009,-110.322,24.2831,-110.3326,"Baja_California_Sur_South",NA
"CHIAPAS","LA GLORIA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","PAREDON",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"CHIAPAS","EL DESENGANO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN CARLOS","no",NA,23.6729897222222,-110.206168888889,NA,23.6729897222222,-110.206168888889,24.7661,-111.9669,"Baja_California_Sur_South",NA
"CHIAPAS","PUERTO MADERO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO ADOLFO LOPEZ MATEOS","no",NA,25.1889,-112.1185,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,25.1889,-112.1185,"Baja_California_Sur_South",NA
"NAYARIT","SAN BLAS",NA,NA,21.5417380555556,-105.286046388889,NA,21.5417380555556,-105.286046388889,NA,NA,NA,NA
"CHIAPAS","PONTE ARMAS",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"JALISCO","LAGUNA LAS FLORES Y GOLFO DE MEXICO",NA,"marine",NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,"Matches Laguna Las Flores near Paraíso, Tabasco; coordinates from CONAGUA “Calidad de Agua Superficial 2021” (site LAGUNA LAS FLORES). This landing site name adds “y Golfo de México”, so I’d treat this as the lagoon outlet system on that coast, not Jalisco. (files.conagua.gob.mx)"
"COLIMA","MANZANILLO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"JALISCO","PUERTO VALLARTA",NA,"marine",20.6136111111111,-105.227222222222,NA,20.6136111111111,-105.227222222222,20.6534,-105.2253,"Nayarit/Jalisco","main port; obvious location"
"SONORA","BAHIA DE KINO","yes",NA,28.8255225,-111.939685277778,NA,28.8255225,-111.939685277778,28.7912,-111.958,"Sonora_Mid",NA
"BAJA CALIFORNIA SUR","SAN LUCAS","yes",NA,22.891,-109.888,NA,24.9612872222222,-111.330093333333,22.891,-109.888,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","no",NA,27.1409019444444,-114.297558055556,NA,27.1409019444444,-114.297558055556,27.1436,-114.2905,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA SUR","MATANCITAS","no",NA,26.3789211111111,-112.171532777778,NA,26.3789211111111,-112.171532777778,25.3,-112.03,"Baja_California_Sur_South",NA
"GUERRERO","ACAPULCO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","BAHIA DE LOS ANGELES","yes",NA,28.9480947222222,-113.559982777778,NA,28.9480947222222,-113.559982777778,29.03,-113.551,"Baja_California_South",NA
"NAYARIT","CRUZ DE HUANACAXTLE",NA,NA,20.7502302777778,-105.382682222222,NA,20.7502302777778,-105.382682222222,NA,NA,NA,NA
"SONORA","GOLFO DE SANTA CLARA","yes",NA,31.6899486111111,-114.500918611111,NA,31.6899486111111,-114.500918611111,31.6835,-114.484,"Sonora_North",NA
"CHIAPAS","LA PUERTA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","PAREDON COLORADO","yes",NA,27.0776387,-109.9303338,NA,27.0776387,-109.9303338,27.0441,-109.934,"Sonora_South",NA
"BAJA CALIFORNIA SUR","LA PAZ","yes",NA,24.148745,-110.30659,NA,24.148745,-110.30659,24.1494,-110.3229,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","no",NA,26.7176763888889,-113.573156666667,NA,26.7176763888889,-113.573156666667,26.7077,-113.5742,"Baja_California_Sur_North",NA
"SINALOA","LA PUERTA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"NAYARIT","EL SAUZAL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"MICHOACAN","ARTEAGA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","no",NA,27.6917438888889,-114.895679166667,NA,27.6917438888889,-114.895679166667,27.6338,-114.8805,"Baja_California_Sur_North",NA
"SONORA","PARAJE NUEVO",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","SAN NICOLAS","yes",NA,28.7707052777778,-111.690044166667,NA,28.7707052777778,-111.690044166667,28.4617,-111.76,"Sonora_Mid",NA
"GUERRERO","PLAYA AZUL",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SONORA","LA PUERTA",NA,NA,27.6425905555556,-110.000364444444,NA,27.6425905555556,-110.000364444444,NA,NA,NA,NA
"CHIAPAS","LA LINEA",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"SINALOA","TEACAPAN, SIN.",NA,NA,NA,NA,"alert 5: unable to assign lat-long based on state and landing site",NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","ISLA CEDROS","no",NA,28.1901766,-115.2126293,NA,28.1901766,-115.2126293,28.189,-115.216,"Baja_California_South",NA
