state,landing_site,office_name,inside_GOC
BAJA CALIFORNIA,NA,BAHIA DE LOS ANGELES,yes
BAJA CALIFORNIA,NA,EL ROSARIO,no
BAJA CALIFORNIA,NA,ENSENADA,no
BAJA CALIFORNIA,NA,ISLA CEDROS,no
BAJA CALIFORNIA,NA,MEXICALI,no
BAJA CALIFORNIA,NA,SAN FELIPE,yes
BAJA CALIFORNIA,NA,SAN QUINTIN,no
BAJA CALIFORNIA,NA,TIJUANA,no
BAJA CALIFORNIA,NA,VILLA DE JESUS MARIA,no
BAJA CALIFORNIA SUR,NA,BAHIA ASUNCION,no
BAJA CALIFORNIA SUR,NA,BAHIA TORTUGAS,no
BAJA CALIFORNIA SUR,NA,CD. CONSTITUCION,no
BAJA CALIFORNIA SUR,NA,GUERRERO NEGRO,no
BAJA CALIFORNIA SUR,NA,LA PAZ,yes
BAJA CALIFORNIA SUR,NA,LORETO,yes
BAJA CALIFORNIA SUR,NA,PTO. ADOLFO LOPEZ MATEOS,no
BAJA CALIFORNIA SUR,NA,PUNTA ABREOJOS,no
BAJA CALIFORNIA SUR,NA,SAN CARLOS,yes
BAJA CALIFORNIA SUR,NA,SANTA ROSALIA,no
JALISCO,NA,BARRA DE NAVIDAD,no
JALISCO,NA,CHAPALA,no
JALISCO,NA,GUADALAJARA,no
JALISCO,NA,OCOTLAN,no
JALISCO,NA,PUERTO VALLARTA,yes
NAYARIT,NA,CRUZ DE HUANACAXTLE,yes
NAYARIT,NA,SAN BLAS,yes
NAYARIT,NA,SANTIAGO IXCUINTLA,yes
NAYARIT,NA,TECUALA,yes
NAYARIT,NA,TEPIC,yes
NAYARIT,NA,TUXPAN,yes
SINALOA,NA,CULIACAN,yes
SINALOA,NA,EL FUERTE,yes
SINALOA,NA,EL ROSARIO,yes
SINALOA,NA,ESCUINAPA,yes
SINALOA,NA,GUASAVE,yes
SINALOA,NA,LA REFORMA,yes
SINALOA,NA,LOS MOCHIS,yes
SINALOA,NA,MAZATLAN,yes
SINALOA,NA,NAVOLATO,yes
SINALOA,NA,TOPOLOBAMPO,yes
SONORA,NA,BAHIA KINO,yes
SONORA,NA,CD. OBREGON,yes
SONORA,NA,GOLFO DE SANTA CLARA,yes
SONORA,NA,GUAYMAS,yes
SONORA,NA,HERMOSILLO,yes
SONORA,NA,HUATABAMPO,yes
SONORA,NA,PUERTO LIBERTAD,yes
SONORA,NA,PUERTO PEÑASCO,yes
SONORA,NA,PUERTO PE�ASCO,yes
