main_species_group,recorded_species_name,english_translation,estimated_common_name,estimated_scientific_name,family,genus,species,notes_completeness,notes_preparation,notes_farmed
ANCHOVETA,ANCHOVETA IND.,"Anchoveta, individual",California anchovy,Engraulis mordax,Engraulidae,Engraulis,mordax,individual,,
ANCHOVETA,MANJUA ENT. FCA.,"Manjua (whole, frozen)",Anchovy spp.,Anchoa spp.,Engraulidae,unknown,,whole,frozen,
ANCHOVETA,ANCHOVETA ENT. FCA.,"Anchoveta (whole, frozen)",California anchovy,Engraulis mordax,Engraulidae,Engraulis,mordax,whole,frozen,
ANCHOVETA,BOQUERON ENT. FCO.,"European anchovy (whole, frozen)",Anchovy spp.,Anchoa spp.,Engraulidae,unknown,,whole,frozen,
ANCHOVETA,ANCHOA ENT. FCA.,"Anchovy (whole, frozen)",California anchovy,Engraulis mordax,Engraulidae,Engraulis,mordax,whole,frozen,
ANCHOVETA,ANCHOVETA IND. (ENGRAULIS MORDAX),"Anchoveta, individual (Engraulis mordax)",California anchovy,Engraulis mordax,Engraulidae,Engraulis,mordax,individual,,
ANCHOVETA,ANCHOVETA ENT. FCA. (ENGRAULIS MORDAX),"Anchoveta (whole, frozen) (Engraulis mordax)",California anchovy,Engraulis mordax,Engraulidae,Engraulis,mordax,whole,frozen,
ANCHOVETA,MANJUA DESV. FCA.,"Manjua, gutted (frozen)",Anchovy spp.,Anchoa spp.,Engraulidae,unknown,unknown,gutted,frozen,
ANCHOVETA,ANCHOA DESV. FCA.,"Anchovy, gutted (frozen)",California anchovy,Engraulis mordax,Engraulidae,Engraulis,mordax,gutted,frozen,
ABULON,ABULON S.C. FCO.,"Abalone, shellless, frozen",Abalone spp.,Haliotis spp.,Haliotidae,Haliotis,,without shell,frozen,
ABULON,ABULON AZUL ENT. FCO.,"Blue abalone, whole, frozen",Blue abalone,Haliotis fulgens,Haliotidae,Haliotis,fulgens,whole,frozen,
ABULON,ABULON CONCHA DE,Abalone in shell,Abalone spp.,Haliotis spp.,Haliotidae,Haliotis,,with shell,,
ABULON,ABULON AMARILLO ENT. FCO.,"Yellow abalone, whole, frozen",Yellow abalone,Haliotis corrugata,Haliotidae,Haliotis,corrugata,whole,frozen,
ABULON,ABULON AMARILLO CONCHA DE,Yellow abalone in shell,Yellow abalone,Haliotis corrugata,Haliotidae,Haliotis,corrugata,in shell,,
ABULON,ABULON AMARILLO S.C. FCO.,"Yellow abalone, shellless, frozen",Yellow abalone,Haliotis corrugata,Haliotidae,Haliotis,corrugata,without shell,frozen,
ABULON,ABULON AZUL CONCHA DE,Blue abalone in shell,Blue abalone,Haliotis fulgens,Haliotidae,Haliotis,fulgens,in shell,,
ABULON,ABULON AZUL S.C. FCO.,"Blue abalone, shellless, frozen",Blue abalone,Haliotis fulgens,Haliotidae,Haliotis,fulgens,without shell,frozen,
ABULON,ABULON NEGRO S.C. FCO.,"Black abalone, shellless, frozen",Black abalone,Haliotis fulgens,Haliotidae,Haliotis,fulgens,without shell,frozen,
ABULON,ABULON ENT. FCO.,"Abalone, whole, frozen",Abalone spp.,Haliotis spp.,Haliotidae,Haliotis,,whole,frozen,
ABULON,ABULON CONCHA DE SECA,Dried abalone in shell,Abalone spp.,Haliotis spp.,Haliotidae,Haliotis,,in shell,dried,
ABULON,ABULON TRIPA DE,"Abalone, gut/viscera",Abalone spp.,Haliotis spp.,Haliotidae,Haliotis,,viscera,,
ABULON,ABULON ROJO CONCHA DE,Red abalone in shell,Red abalone,Haliotis rufescens,Haliotidae,Haliotis,rufescens,in shell,,
ABULON,ABULON BLANCO CONCHA DE,White abalone in shell,White abalone,Haliotis sorenseni,Haliotidae,Haliotis,sorenseni,in shell,,
ABULON,ABULON ASADO,Grilled abalone,Abalone spp.,Haliotis spp.,Haliotidae,Haliotis,,,grilled,
ABULON,ABULON AZUL,Blue abalone,Blue abalone,Haliotis fulgens,Haliotidae,Haliotis,fulgens,,,
ABULON,ABULON DE CULTIVO ENT. FCO.,"Farmed abalone, whole, frozen",Abalone spp.,Haliotis spp.,Haliotidae,Haliotis,,whole,frozen,farmed
ABULON,ABULON AMARILLO,Yellow abalone,Yellow abalone,Haliotis corrugata,Haliotidae,Haliotis,corrugata,,,
ABULON,ABULON CHINO S.C. FCO.,"Chinese abalone, shellless, frozen",Chinese abalone,Haliotis spp.,Haliotidae,Haliotis,,without shell,frozen,farmed
