"main_species_group","common_name"
"ANCHOVETA","ANCHOVETA IND."
"ANCHOVETA","MANJUA ENT. FCA."
"ANCHOVETA","ANCHOVETA ENT. FCA."
"ANCHOVETA","BOQUERON ENT. FCO."
"ANCHOVETA","ANCHOA ENT. FCA."
"ANCHOVETA","ANCHOVETA IND. (ENGRAULIS MORDAX)"
"ANCHOVETA","ANCHOVETA ENT. FCA. (ENGRAULIS MORDAX)"
"ANCHOVETA","MANJUA DESV. FCA."
"ANCHOVETA","ANCHOA DESV. FCA."
"ABULON","ABULON S.C. FCO."
"ABULON","ABULON AZUL ENT. FCO."
"ABULON","ABULON CONCHA DE"
"ABULON","ABULON AMARILLO ENT. FCO."
"ABULON","ABULON AMARILLO CONCHA DE"
"ABULON","ABULON AMARILLO S.C. FCO."
"ABULON","ABULON AZUL CONCHA DE"
"ABULON","ABULON AZUL S.C. FCO."
"ABULON","ABULON NEGRO S.C. FCO."
"ABULON","ABULON ENT. FCO."
"ABULON","ABULON CONCHA DE SECA"
"ABULON","ABULON TRIPA DE"
"ABULON","ABULON ROJO CONCHA DE"
"ABULON","ABULON BLANCO CONCHA DE"
"ABULON","ABULON ASADO"
"ABULON","ABULON AZUL"
"ABULON","ABULON DE CULTIVO ENT. FCO."
"ABULON","ABULON AMARILLO"
"ABULON","ABULON CHINO S.C. FCO."
