"main_species_group","recorded_species_name_clean","species_estimated","genus_estimated","family_estimated","source_of_estimate","classification_certainty","recorded_prep_types"
"ALMEJA","ALMEJA CALLO DE ARBOL",NA,"Panopea","Hiatellidae","some research suggests this; logical conclusion based on translation; seeking additional input","low","ENT, FCA"
"ALMEJA","ALMEJA CHOCOLATA",NA,"Megapitaria","Veneridae","ask the experts!!","low","ENT., CONCHA DE, DE CULTIVO, FCA., ENT, FCA"
"ALMEJA","ALMEJA CHOCOLATA C.",NA,"Megapitaria","Veneridae","ask the experts!!","low","S., FCA."
"ALMEJA","ALMEJA CHOCOLATA CAFE",NA,"Megapitaria","Veneridae","ask the experts!!","low","ENT., CONCHA DE, DE CULTIVO, FCA., ENT, FCA"
"ALMEJA","ALMEJA CHOCOLATA CAFE C.",NA,"Megapitaria","Veneridae","ask the experts!!","low","S., FCA."
"ALMEJA","ALMEJA CHOCOLATA ROJA",NA,"Megapitaria","Veneridae","ask the experts!!","low","ENT., FCA."
"ALMEJA","ALMEJA PARDA","Dosinia ponderosa","Dosinia","Veneridae","dataMares; ask the experts!!","low","ENT., FCA."
"ALMEJA","ALMEJA PRIETA","Megapitaria squalida","Megapitaria","Veneridae","dataMares; ask the experts!!","low","ENT., FCA."
"ALMEJA","ALMEJA PRIETA C.","Megapitaria squalida","Megapitaria","Veneridae","dataMares; ask the experts!!","low","S., FCA."
"ALMEJA","ALMEJA PURPURA",NA,NA,NA,"cannot draw a clear conclusion from research online or dataMares","low","ENT., FCA."
"ALMEJA","ALMEJA RAYA",NA,NA,NA,"ask the experts!!","low","ENT., FCA."
"ALMEJA","ALMEJA RONOSA NEGRA","Chionopsis gnidia","Chionopsis","Veneridae","ask the experts!!","low","ENT, ENT., FCA, FCA."
"ALMEJA","ALMEJA RONOSA NEGRA C.","Chionopsis gnidia","Chionopsis","Veneridae","ask the experts!!","low","S., FCA."
"ALMEJA","ALMEJA RONOSA NEGRA VIVA","Chionopsis gnidia","Chionopsis","Veneridae","ask the experts!!","low",""
"ALMEJA","ALMEJA RO�OSA NEGRA","Chionopsis gnidia","Chionopsis","Veneridae","ask the experts!!","low","ENT, FCA"
"ALMEJA","ALMEJA RO�OSA NEGRA VIVA","Chionopsis gnidia","Chionopsis","Veneridae","ask the experts!!","low",""
"BERRUGATA","BOCADULCE",NA,"Menticirrhus","Sciaenidae","Spanish common name - internet; dataMares suggests Menticirrhus nasus but I cannot find a good source for that name","low","ENT., DESV., FILETE DE, FCA., FCO."
"CAMARON","CAMARON",NA,NA,NA,"shrimp; cannot specify species, genus, or family","low","DE ALTA MAR, DE CULTIVO, DESC., ENT., POLVO DE, FCO., SECO"
"CAMARON","CAMARON BLANCO DEL ATLANTICO",NA,NA,NA,"could not logically specify species, genus, or family","low",""
"CAMARON","CAMARON BOTALON","Xiphopenaeus riveti","Xiphopenaeus","Penaeidae","Spanish common name - internet","low","DESC., ENT., FCO."
"CAMARON","CAMARON CEBRA","Rimapenaeus faoe","Rimapenaeus","Penaeidae","dataMares; I am not confident about this assignment","low","DESC., ENT., FCO."
"CAMARON","CAMARON DE ALTAMAR",NA,NA,NA,"shrimp; cannot specify species, genus, or family; dataMares","low","ENT., CABEZA DE, FCO."
"CAMARON","CAMARON DE ESTERO",NA,NA,NA,"shrimp; cannot specify species, genus, or family; dataMares","low","DESC., ENT., CABEZA DE, FCO., SECO"
"CAMARON","CAMARON DE ESTERO COCIDO",NA,NA,NA,"shrimp; cannot specify species, genus, or family; dataMares","low","DESC., ENT."
"CAMARON","CAMARON DE PROFUNDIDAD",NA,NA,NA,"shrimp; cannot specify species, genus, or family; dataMares","low",""
"CAMARON","CAMARON DE ROCA",NA,NA,NA,"shrimp; cannot specify species, genus, or family; dataMares","low","DESC., ENT., FCO."
"CAMARON","CAMARON JAPONES",NA,"Sicyonia","Sicyoniidae","dataMares","low","DESC., ENT., FCO."
"CAMARON","CAMARON MOTEADO",NA,NA,NA,"shrimp; cannot specify species, genus, or family","low","ENT., FCO."
"CAMARON","CAMARON PACOTILLA",NA,NA,NA,"shrimp; cannot specify species, genus, or family","low","DESC., ENT., FCO."
"CAMARON","CAMARON PIEDRA",NA,NA,NA,"shrimp; cannot specify species, genus, or family","low","DESC., FCO."
"CAMARON","CAMARON ROJO",NA,NA,NA,"shrimp; cannot specify species, genus, or family; Seafood Watch report suggests Red shrimp species (Farfantepenaeus brasiliensis in the GOM)","low","DESC., CONGELADO"
"CAMARON","CAMARON ROSADO",NA,NA,NA,"shrimp; cannot specify species, genus, or family; Seafood Watch report suggests Pink shrimp species from the GOM","low","DESC., ENT., FCO."
"CAMARON","CAMARON SIETE BARBAS","Xiphopenaeus riveti","Xiphopenaeus","Penaeidae","dataMares; Seafood Watch report","low","ENT., DESC., FCO."
"CARACOL","CARACOL BURRO","Titanostrombus galeatus","Titanostrombus","Strombidae","ask the experts!!","low","ENT., CONCHA DE, FCO."
"CARACOL","CARACOL BURRO C.","Titanostrombus galeatus","Titanostrombus","Strombidae","ask the experts!!","low","S., FCO."
"CARACOL","CARACOL DE UNA",NA,NA,NA,"ask the experts!!","low","ENT., CONCHA DE, FCO."
"CARACOL","CARACOL DE UNA C.",NA,NA,NA,"ask the experts!!","low","S., FCO."
"CARACOL","CARACOL DE U�A",NA,NA,NA,"ask the experts!!","low","ENT., FCO."
"CARACOL","CARACOL DE U�A C.",NA,NA,NA,"ask the experts!!","low","S., FCO."
"CARACOL","CARACOL GORRITO",NA,NA,NA,"ask the experts!!","low","ENTERO, FRESCO"
"CARACOL","CARACOL TOMBURRO C.",NA,"Strombus","Strombidae","ask the experts!!","low","S., FCO."
"CARPA","CARPA BARRIGONA","Cyprinus carpio","Cyprinus","Cyprinidae","dataMares","low","ENT., DESV., FCA."
"CARPA","CARPA CUERUDA",NA,NA,"Cyprinidae","carp; cannot specify species or genus","low","ENT., FCA."
"CARPA","CARPA DORADA",NA,NA,"Cyprinidae","carp; cannot specify species or genus","low","ENT., FCA."
"CARPA","CARPA HERBIVORA",NA,NA,"Cyprinidae","carp; cannot specify species or genus","low","ENT., FCA."
"CARPA","CARPA HOCICONA",NA,NA,"Cyprinidae","carp; cannot specify species or genus","low","ENT., FCA."
"CARPA","CARPA PLATEADA",NA,NA,"Cyprinidae","carp; cannot specify species or genus","low","FILETE DE, ENT., FCO., FCA."
"CARPA","PEZ PUERCO",NA,NA,"Balistidae","logical conclusion based on research; however, it is unclear why triggerfish would be lumped with carps","low","ENT., DE CULTIVO, FILETE DE, DESV., FCO., DESC."
"CARPA","PEZ PUERCO DE AGUA DULCE",NA,NA,"Balistidae","logical conclusion based on research; however, it is unclear why triggerfish would be lumped with carps","low","ENT., FCO."
"CORVINA","CORVINA AZUL","Cynoscion parvipinnis","Cynoscion","Sciaenidae","dataMares","low","ENT., FCA."
"CORVINA","CORVINA BLANCA","Cynoscion reticulatus","Cynoscion","Sciaenidae","dataMares","low","ENT., DE CULTIVO, FCA., DESV."
"CORVINA","CORVINA CHATA","Larimus effulgens","Larimus","Sciaenidae","dataMares","low","ENT., FCA."
"JUREL","CABALLA","Selene peruviana","Selene","Carangidae","dataMares; I am not confident about this assignment","low","DESV., ENT., FCA."
"JUREL","CABALLA MEXICANA",NA,NA,"Carangidae","I think I can be more specific about what kind of jack this is","low","ENT., FCA."
"JUREL","CABALLO","Caranx hippos","Caranx","Carangidae","logical conclusion based on research; I am not confident in this assignment","low","DESV., ENT., FCO."
"JUREL","JURELETE",NA,NA,"Carangidae","jack; maybe can be more specific?","low","ENT., FCO."
"JUREL","PEJEFUERTE",NA,"Caranx","Carangidae","I think I can be more specific about what kind of jack this is","low","ENT., DESV., FCO."
"MOJARRA","MOJARRA CHINA","Eugerres lineatus","Eugerres","Gerreidae","logical conclusion based on research; dataMares; could be imported tilapia!","low","ENT., FCA."
"MOJARRA","MOJARRA ESPAÑOLA",NA,NA,"Gerreidae","I think I can be more specific about what kind of mojarra this is","low","ENT., FCA."
"MOJARRA","MOJARRA GARABATA",NA,NA,NA,"I think I can be more specific about what kind of mojarra this is","low","ENT., FCA."
"MOJARRA","MOJARRA MEXICANA",NA,NA,NA,"I think I can be more specific about what kind of mojarra this is","low",""
"MOJARRA","MOJARRA PEINETA",NA,NA,NA,"dataMares suggests species Diapterus peruvianus; I am not confident in this classification","low","ENT., FCA."
"MOJARRA","MOJARRA PIEDRERA",NA,NA,NA,"dataMares suggests species Anisotremus davidsonii; perhaps I can be more specific about what kind of mojarra this is","low","ENT., FCA."
"MOJARRA","MOJARRA PINTA DE AGUA DULCE",NA,NA,NA,"not enough information to classify","low","ENT., FCA."
"MOJARRA","MOJARRA RAYADA","Eugerres plumieri","Eugerres","Gerreidae","logical conclusion based on research; dataMares; could also be Mayan cichlid (Cichlasoma urophthalmus)","low","ENT., FCA."
"MOJARRA","MOJARRA VERDE",NA,NA,NA,"mojarra; cannot specify species, genus, or family","low","ENT., FCA."
"MOJARRA","MOLPICH",NA,NA,NA,"possibly Diapterus auratus; cannot specify species, genus, or family","low","ENT., FCO."
"SARDINA","PESCADO NO APTO PARA EMPAQUE",NA,NA,"Clupeidae","not enough information to classify","low",""
"SARDINA","PI�A",NA,"Oligoplites","Clupeidae","logical conclusion based on research; dataMares; can we be more specific about the species?","low","ENT., FCA., IND."
"SARDINA","SARDINA DE AGUA DULCE",NA,NA,NA,"no known species of freshwater sardine","low","ENT., FCA."
"SARDINA","SARDINA ESCAMUDA",NA,NA,"Clupeidae","logical conclusion based on research; dataMares; can we be more specific about the species or genus?","low","ENT., FCA."
"SARDINA","SARDINA MACHETE",NA,NA,"Clupeidae","logical conclusion based on research; dataMares says Opisthonema medirastre; can we be more specific about the species?","low","ENT., FCA."
"SARDINA","XLAVITA",NA,NA,NA,"not enough information to classify","low","IND."
"TIBURON","TIBURON CHATITA",NA,NA,NA,"perhaps I can be more specific about what kind of shark this is","low","DESV., DESC."
"TIBURON","TIBURON ENCERADO",NA,NA,NA,"not enough information to classify; can I can be more specific about what kind of shark this is? (this might just be shark ""wax""","low","ENT., FCO."
"TIBURON","TIBURON NEGRO, ZORRO OJON, TRESHER",NA,NA,NA,"shark; unable to specify species, genus, or family","low","DESV, ENT, DESC, FCO"
"TIBURON","TIBURON PICUDO","Rhizoprionodon longurio","Rhizoprionodon","Carcharhinidae","dataMares","low","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON RAYADO","Triakis semifasciata","Triakis","Triakidae","dataMares Triakis semifasciata; I am not sure about this classification","low","ENT., FCO."
"TIBURON","TINTORERA","Prionace glauca","Prionace","Carcharhinidae","dataMares says species is Bull shark (Galeocerdo cuvier); internet research suggests Blue shark","low","DESC., DESV., ENT., FCA."
"ALMEJA","ALMEJA PATA DE MULA","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","DE CULTIVO, ENT., CONCHA DE, CONCHA, ENT, FCA., FCA"
"ALMEJA","ALMEJA PATA DE MULA C.","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","S., FCA."
"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","CONCHA DE, ENT., FCA."
"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL C.","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","S., FCA."
"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL VIVA","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium",""
"ALMEJA","ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","ENTERO, CONCHA, FCO."
